"","verbatim_name","tp","cell_grouping","Total_area","Total_Ncells","occupancy_Ncells","AOO","relative_occupancy_Ncells","scale"
"1","Sitta europaea",3,"1",89635.9803373288,671,653,87236.9528859228,0.97,0.015625
"2","Oriolus oriolus",3,"1",89635.9803373288,671,505,67465.9608066489,0.75,0.015625
"3","Motacilla alba",3,"1",89635.9803373288,671,658,87893.7516173044,0.98,0.015625
"4","Sylvia curruca",3,"1",89635.9803373288,671,625,83479.7523257101,0.93,0.015625
"5","Apus apus",3,"1",89635.9803373288,671,599,80024.2009172208,0.89,0.015625
"6","Passer domesticus",3,"1",89635.9803373288,671,631,84286.4821545484,0.94,0.015625
"7","Lanius collurio",3,"1",89635.9803373288,671,646,86299.0908873974,0.96,0.015625
"8","Alauda arvensis",3,"1",89635.9803373288,671,647,86418.3657191232,0.96,0.015625
"9","Ciconia nigra",3,"1",89635.9803373288,671,497,66384.9524442062,0.74,0.015625
"10","Hippolais icterina",3,"1",89635.9803373288,671,568,75916.610195961,0.85,0.015625
"11","Grus grus",3,"1",89635.9803373288,671,153,20327.3082022708,0.23,0.015625
"12","Sylvia atricapilla",3,"1",89635.9803373288,671,664,88702.2549227657,0.99,0.015625
"13","Phylloscopus collybita",3,"1",89635.9803373288,671,665,88834.4335321358,0.99,0.015625
"14","Falco tinnunculus",3,"1",89635.9803373288,671,635,84810.4880832414,0.95,0.015625
"15","Pyrrhula pyrrhula",3,"1",89635.9803373288,671,532,71004.6778785916,0.79,0.015625
"16","Sturnus vulgaris",3,"1",89635.9803373288,671,654,87355.530332447,0.97,0.015625
"17","Carduelis spinus",3,"1",89635.9803373288,671,494,65980.4764542456,0.74,0.015625
"18","Parus palustris",3,"1",89635.9803373288,671,569,76028.5653805389,0.85,0.015625
"19","Parus cristatus",3,"1",89635.9803373288,671,551,73575.4300509666,0.82,0.015625
"20","Haliaeetus albicilla",3,"1",89635.9803373288,671,230,30797.7776417985,0.34,0.015625
"21","Turdus pilaris",3,"1",89635.9803373288,671,596,79623.6336283592,0.89,0.015625
"22","Crex crex",3,"1",89635.9803373288,671,373,49792.818059613,0.56,0.015625
"23","Columba palumbus",3,"1",89635.9803373288,671,664,88708.2305844317,0.99,0.015625
"24","Troglodytes troglodytes",3,"1",89635.9803373288,671,653,87231.9595903679,0.97,0.015625
"25","Streptopelia turtur",3,"1",89635.9803373288,671,587,78416.8734789522,0.87,0.015625
