"","dataset","verbatim_name"
"1","Birds_Atlas_Czechia","Acrocephalus paludicola"
"2","Birds_Atlas_Czechia","Anas penelope"
"3","Birds_Atlas_Czechia","Aquila heliaca"
"4","Birds_Atlas_Czechia","Burhinus oedicnemus"
"5","Birds_Atlas_Czechia","Chlidonias hybridus"
"6","Birds_Atlas_Czechia","Coracius garrulus"
"7","Birds_Atlas_Czechia","Egretta alba"
"8","Birds_Atlas_Czechia","Falco vespertinus"
"9","Birds_Atlas_Czechia","Gavia arctica"
"10","Birds_Atlas_Czechia","Lanius minor"
"11","Birds_Atlas_Czechia","Lanius senator"
"12","Birds_Atlas_Czechia","Mergus albellus"
"13","Birds_Atlas_Czechia","Motacilla citreola"
"14","Birds_Atlas_Czechia","Otis tarda"
"15","Birds_Atlas_Czechia","Pandion haliaetus"
"16","Birds_Atlas_Czechia","Porzana pusilla"
"17","Birds_Atlas_Czechia","Sterna albifrons"
"18","Birds_Atlas_Czechia","Syrmaticus reevesii"
"19","Birds_Atlas_Czechia","Tadorna tadorna"
"20","Birds_Atlas_New_York","Ammodramus nelsoni"
"21","Birds_Atlas_New_York","Aythya marila"
"22","Birds_Atlas_New_York","Bucephala albeola"
"23","Birds_Atlas_New_York","Chlidonias leucopterus"
"24","Birds_Atlas_New_York","Coragyps atratus"
"25","Birds_Atlas_New_York","Cygnus buccinator"
"26","Birds_Atlas_New_York","Euphagus cyanocephalus"
"27","Birds_Atlas_New_York","Falco columbarius"
"28","Birds_Atlas_New_York","Grus canadensis"
"29","Birds_Atlas_New_York","Nandayus nenday"
"30","Birds_Atlas_New_York","Pelecanus erythrorhynchos"
"31","Birds_Atlas_New_York","Phalaropus tricolor"
"32","Birds_Atlas_New_York","Plegadis chihi"
"33","Birds_Atlas_New_York","Somateria mollissima"
"34","Birds_Atlas_New_York","Streptopelia decaocto"
"35","Birds_Atlas_New_York","Tyrannus verticalis"
"36","Birds_atlas_EBBA","Accipiter badius"
"37","Birds_atlas_EBBA","Acridotheres tristis"
"38","Birds_atlas_EBBA","Actitis macularius"
"39","Birds_atlas_EBBA","Agapornis fischeri"
"40","Birds_atlas_EBBA","Agapornis personatus"
"41","Birds_atlas_EBBA","Amazona aestiva"
"42","Birds_atlas_EBBA","Amazona oratrix"
"43","Birds_atlas_EBBA","Ammoperdix griseogularis"
"44","Birds_atlas_EBBA","Anas bahamensis"
"45","Birds_atlas_EBBA","Anas rubripes"
"46","Birds_atlas_EBBA","Anser caerulescens"
"47","Birds_atlas_EBBA","Anser canagicus"
"48","Birds_atlas_EBBA","Anser cygnoid"
"49","Birds_atlas_EBBA","Anser indicus"
"50","Birds_atlas_EBBA","Apus affinis"
"51","Birds_atlas_EBBA","Aratinga nenday"
"52","Birds_atlas_EBBA","Aythya affinis"
"53","Birds_atlas_EBBA","Aythya collaris"
"54","Birds_atlas_EBBA","Branta hutchinsii"
"55","Birds_atlas_EBBA","Cairina moschata"
"56","Birds_atlas_EBBA","Callonetta leucophrys"
"57","Birds_atlas_EBBA","Carpodacus sibiricus"
"58","Birds_atlas_EBBA","Carpospiza brachydactyla"
"59","Birds_atlas_EBBA","Chloephaga picta"
"60","Birds_atlas_EBBA","Corvus splendens"
"61","Birds_atlas_EBBA","Cursorius cursor"
"62","Birds_atlas_EBBA","Cygnus atratus"
"63","Birds_atlas_EBBA","Egretta gularis"
"64","Birds_atlas_EBBA","Emberiza buchanani"
"65","Birds_atlas_EBBA","Emberiza leucocephalos"
"66","Birds_atlas_EBBA","Estrilda troglodytes"
"67","Birds_atlas_EBBA","Euodice malabarica"
