"","x"
"1","Accipiter albogularis"
"2","Accipiter badius"
"3","Accipiter bicolor"
"4","Accipiter brachyurus"
"5","Accipiter brevipes"
"6","Accipiter butleri"
"7","Accipiter castanilius"
"8","Accipiter cirrocephalus"
"9","Accipiter collaris"
"10","Accipiter cooperii"
"11","Accipiter erythrauchen"
"12","Accipiter erythropus"
"13","Accipiter fasciatus"
"14","Accipiter francesiae"
"15","Accipiter gentilis"
"16","Accipiter griseiceps"
"17","Accipiter gularis"
"18","Accipiter gundlachi"
"19","Accipiter haplochrous"
"20","Accipiter henicogrammus"
"21","Accipiter henstii"
"22","Accipiter hiogaster"
"23","Accipiter imitator"
"24","Accipiter luteoschistaceus"
"25","Accipiter madagascariensis"
"26","Accipiter melanochlamys"
"27","Accipiter melanoleucus"
"28","Accipiter meyerianus"
"29","Accipiter minullus"
"30","Accipiter nanus"
"31","Accipiter nisus"
"32","Accipiter novaehollandiae"
"33","Accipiter ovampensis"
"34","Accipiter poliocephalus"
"35","Accipiter poliogaster"
"36","Accipiter princeps"
"37","Accipiter rhodogaster"
"38","Accipiter rufitorques"
"39","Accipiter rufiventris"
"40","Accipiter soloensis"
"41","Accipiter striatus"
"42","Accipiter superciliosus"
"43","Accipiter sylvestris"
"44","Accipiter tachiro"
"45","Accipiter toussenelii"
"46","Accipiter trinotatus"
"47","Accipiter trivirgatus"
"48","Accipiter virgatus"
"49","Aegypius monachus"
"50","Aquila adalberti"
"51","Aquila africana"
"52","Aquila audax"
"53","Aquila chrysaetos"
"54","Aquila fasciata"
"55","Aquila gurneyi"
"56","Aquila heliaca"
"57","Aquila nipalensis"
"58","Aquila rapax"
"59","Aquila spilogaster"
"60","Aquila verreauxii"
"61","Aviceda cuculoides"
"62","Aviceda jerdoni"
"63","Aviceda leuphotes"
"64","Aviceda madagascariensis"
"65","Aviceda subcristata"
"66","Busarellus nigricollis"
"67","Butastur indicus"
"68","Butastur liventer"
"69","Butastur rufipennis"
"70","Butastur teesa"
"71","Buteo albigula"
"72","Buteo albonotatus"
"73","Buteo augur"
"74","Buteo auguralis"
"75","Buteo brachypterus"
"76","Buteo brachyurus"
"77","Buteo buteo"
"78","Buteo galapagoensis"
"79","Buteo hemilasius"
"80","Buteo jamaicensis"
"81","Buteo japonicus"
"82","Buteo lagopus"
"83","Buteo lineatus"
"84","Buteo nitidus"
"85","Buteo oreophilus"
"86","Buteo plagiatus"
"87","Buteo platypterus"
"88","Buteo refectus"
"89","Buteo regalis"
"90","Buteo ridgwayi"
"91","Buteo rufinus"
"92","Buteo rufofuscus"
"93","Buteo socotraensis"
"94","Buteo solitarius"
"95","Buteo swainsoni"
"96","Buteo trizonatus"
"97","Buteo ventralis"
"98","Buteogallus aequinoctialis"
"99","Buteogallus anthracinus"
"100","Buteogallus coronatus"
"101","Buteogallus gundlachii"
"102","Buteogallus lacernulatus"
"103","Buteogallus meridionalis"
"104","Buteogallus schistaceus"
"105","Buteogallus solitarius"
"106","Buteogallus urubitinga"
"107","Chelictinia riocourii"
"108","Chondrohierax uncinatus"
"109","Chondrohierax wilsonii"
"110","Circaetus beaudouini"
"111","Circaetus cinerascens"
"112","Circaetus cinereus"
"113","Circaetus fasciolatus"
"114","Circaetus gallicus"
"115","Circaetus pectoralis"
"116","Circus aeruginosus"
"117","Circus approximans"
"118","Circus assimilis"
"119","Circus buffoni"
"120","Circus cinereus"
"121","Circus cyaneus"
"122","Circus hudsonius"
"123","Circus macrosceles"
"124","Circus macrourus"
"125","Circus maillardi"
"126","Circus maurus"
"127","Circus melanoleucos"
"128","Circus pygargus"
"129","Circus ranivorus"
"130","Circus spilonotus"
"131","Circus spilothorax"
"132","Clanga clanga"
"133","Clanga hastata"
"134","Clanga pomarina"
"135","Cryptoleucopteryx plumbea"
"136","Dryotriorchis spectabilis"
"137","Elanoides forficatus"
"138","Elanus axillaris"
"139","Elanus caeruleus"
"140","Elanus leucurus"
"141","Elanus scriptus"
"142","Erythrotriorchis buergersi"
"143","Erythrotriorchis radiatus"
"144","Eutriorchis astur"
"145","Gampsonyx swainsonii"
"146","Geranoaetus albicaudatus"
"147","Geranoaetus melanoleucus"
"148","Geranoaetus polyosoma"
"149","Geranospiza caerulescens"
"150","Gypaetus barbatus"
"151","Gypohierax angolensis"
"152","Gyps africanus"
"153","Gyps bengalensis"
"154","Gyps coprotheres"
"155","Gyps fulvus"
"156","Gyps himalayensis"
"157","Gyps indicus"
"158","Gyps rueppelli"
"159","Gyps tenuirostris"
"160","Haliaeetus albicilla"
"161","Haliaeetus leucocephalus"
"162","Haliaeetus leucogaster"
"163","Haliaeetus leucoryphus"
"164","Haliaeetus pelagicus"
"165","Haliaeetus sanfordi"
"166","Haliaeetus vocifer"
"167","Haliaeetus vociferoides"
"168","Haliastur indus"
"169","Haliastur sphenurus"
"170","Hamirostra melanosternon"
"171","Harpagus bidentatus"
"172","Harpagus diodon"
"173","Harpia harpyja"
"174","Harpyopsis novaeguineae"
"175","Helicolestes hamatus"
"176","Henicopernis infuscatus"
"177","Henicopernis longicauda"
"178","Hieraaetus ayresii"
"179","Hieraaetus morphnoides"
"180","Hieraaetus pennatus"
"181","Hieraaetus wahlbergi"
"182","Hieraaetus weiskei"
"183","Icthyophaga humilis"
"184","Icthyophaga ichthyaetus"
"185","Ictinaetus malaiensis"
"186","Ictinia mississippiensis"
"187","Ictinia plumbea"
"188","Kaupifalco monogrammicus"
"189","Leptodon cayanensis"
"190","Leptodon forbesi"
"191","Leucopternis kuhli"
"192","Leucopternis melanops"
"193","Leucopternis semiplumbeus"
"194","Lophaetus occipitalis"
"195","Lophoictinia isura"
"196","Lophotriorchis kienerii"
"197","Macheiramphus alcinus"
"198","Megatriorchis doriae"
"199","Melierax canorus"
"200","Melierax metabates"
"201","Melierax poliopterus"
"202","Micronisus gabar"
"203","Milvus aegyptius"
"204","Milvus migrans"
"205","Milvus milvus"
"206","Morphnarchus princeps"
"207","Morphnus guianensis"
"208","Necrosyrtes monachus"
"209","Neophron percnopterus"
"210","Nisaetus alboniger"
"211","Nisaetus bartelsi"
"212","Nisaetus cirrhatus"
"213","Nisaetus floris"
"214","Nisaetus lanceolatus"
"215","Nisaetus nanus"
"216","Nisaetus nipalensis"
"217","Nisaetus philippensis"
"218","Nisaetus pinskeri"
"219","Parabuteo leucorrhous"
"220","Parabuteo unicinctus"
"221","Pernis apivorus"
"222","Pernis celebensis"
"223","Pernis ptilorhynchus"
"224","Pernis steerei"
"225","Pithecophaga jefferyi"
"226","Polemaetus bellicosus"
"227","Polyboroides radiatus"
"228","Polyboroides typus"
"229","Pseudastur albicollis"
"230","Pseudastur occidentalis"
"231","Pseudastur polionotus"
"232","Rostrhamus sociabilis"
"233","Rupornis magnirostris"
"234","Sarcogyps calvus"
"235","Spilornis cheela"
"236","Spilornis elgini"
"237","Spilornis holospilus"
"238","Spilornis kinabaluensis"
"239","Spilornis klossi"
"240","Spilornis rufipectus"
"241","Spizaetus isidori"
"242","Spizaetus melanoleucus"
"243","Spizaetus ornatus"
"244","Spizaetus tyrannus"
"245","Stephanoaetus coronatus"
"246","Terathopius ecaudatus"
"247","Torgos tracheliotos"
"248","Trigonoceps occipitalis"
"249","Urotriorchis macrourus"
"250","Pandion haliaetus"
"251","Sagittarius serpentarius"
"252","Aix galericulata"
"253","Aix sponsa"
"254","Alopochen aegyptiaca"
"255","Amazonetta brasiliensis"
"256","Anas acuta"
"257","Anas albogularis"
"258","Anas andium"
"259","Anas aucklandica"
"260","Anas bahamensis"
"261","Anas bernieri"
"262","Anas capensis"
"263","Anas carolinensis"
"264","Anas castanea"
"265","Anas chlorotis"
"266","Anas crecca"
"267","Anas eatoni"
"268","Anas erythrorhyncha"
"269","Anas flavirostris"
"270","Anas fulvigula"
"271","Anas georgica"
"272","Anas gibberifrons"
"273","Anas gracilis"
"274","Anas laysanensis"
"275","Anas luzonica"
"276","Anas melleri"
"277","Anas nesiotis"
"278","Anas platyrhynchos"
"279","Anas poecilorhyncha"
"280","Anas rubripes"
"281","Anas sparsa"
"282","Anas superciliosa"
"283","Anas undulata"
"284","Anas wyvilliana"
"285","Anas zonorhyncha"
"286","Anser albifrons"
"287","Anser anser"
"288","Anser brachyrhynchus"
"289","Anser caerulescens"
"290","Anser canagicus"
"291","Anser cygnoid"
"292","Anser erythropus"
"293","Anser fabalis"
"294","Anser indicus"
"295","Anser rossii"
"296","Asarcornis scutulata"
"297","Aythya affinis"
"298","Aythya americana"
"299","Aythya australis"
"300","Aythya baeri"
"301","Aythya collaris"
"302","Aythya ferina"
"303","Aythya fuligula"
"304","Aythya innotata"
"305","Aythya marila"
"306","Aythya novaeseelandiae"
"307","Aythya nyroca"
"308","Aythya valisineria"
"309","Biziura lobata"
"310","Branta bernicla"
"311","Branta canadensis"
"312","Branta hutchinsii"
"313","Branta leucopsis"
"314","Branta ruficollis"
"315","Branta sandvicensis"
"316","Bucephala albeola"
"317","Bucephala clangula"
"318","Bucephala islandica"
"319","Cairina moschata"
"320","Callonetta leucophrys"
"321","Cereopsis novaehollandiae"
"322","Chenonetta jubata"
"323","Chloephaga hybrida"
"324","Chloephaga melanoptera"
"325","Chloephaga picta"
"326","Chloephaga poliocephala"
"327","Chloephaga rubidiceps"
"328","Clangula hyemalis"
"329","Coscoroba coscoroba"
"330","Cyanochen cyanoptera"
"331","Cygnus atratus"
"332","Cygnus buccinator"
"333","Cygnus columbianus"
"334","Cygnus cygnus"
"335","Cygnus melancoryphus"
"336","Cygnus olor"
"337","Dendrocygna arborea"
"338","Dendrocygna arcuata"
"339","Dendrocygna autumnalis"
"340","Dendrocygna bicolor"
"341","Dendrocygna eytoni"
"342","Dendrocygna guttata"
"343","Dendrocygna javanica"
"344","Dendrocygna viduata"
"345","Heteronetta atricapilla"
"346","Histrionicus histrionicus"
"347","Hymenolaimus malacorhynchos"
"348","Lophodytes cucullatus"
"349","Lophonetta specularioides"
"350","Malacorhynchus membranaceus"
"351","Mareca americana"
"352","Mareca falcata"
"353","Mareca penelope"
"354","Mareca sibilatrix"
"355","Mareca strepera"
"356","Marmaronetta angustirostris"
"357","Melanitta americana"
"358","Melanitta deglandi"
"359","Melanitta fusca"
"360","Melanitta nigra"
"361","Melanitta perspicillata"
"362","Melanitta stejnegeri"
"363","Merganetta armata"
"364","Mergellus albellus"
"365","Mergus merganser"
"366","Mergus octosetaceus"
"367","Mergus serrator"
"368","Mergus squamatus"
"369","Neochen jubata"
"370","Netta erythrophthalma"
"371","Netta peposaca"
"372","Netta rufina"
"373","Nettapus auritus"
"374","Nettapus coromandelianus"
"375","Nettapus pulchellus"
"376","Nomonyx dominicus"
"377","Oxyura australis"
"378","Oxyura ferruginea"
"379","Oxyura jamaicensis"
"380","Oxyura leucocephala"
"381","Oxyura maccoa"
"382","Oxyura vittata"
"383","Plectropterus gambensis"
"384","Polysticta stelleri"
"385","Pteronetta hartlaubii"
"386","Radjah radjah"
"387","Rhodonessa caryophyllacea"
"388","Salvadorina waigiuensis"
"389","Sarkidiornis melanotos"
"390","Sarkidiornis sylvicola"
"391","Sibirionetta formosa"
"392","Somateria fischeri"
"393","Somateria mollissima"
"394","Somateria spectabilis"
"395","Spatula clypeata"
"396","Spatula cyanoptera"
"397","Spatula discors"
"398","Spatula hottentota"
"399","Spatula platalea"
"400","Spatula puna"
"401","Spatula querquedula"
"402","Spatula rhynchotis"
"403","Spatula smithii"
"404","Spatula versicolor"
"405","Speculanas specularis"
"406","Stictonetta naevosa"
"407","Tachyeres brachypterus"
"408","Tachyeres leucocephalus"
"409","Tachyeres patachonicus"
"410","Tachyeres pteneres"
"411","Tadorna cana"
"412","Tadorna cristata"
"413","Tadorna ferruginea"
"414","Tadorna tadorna"
"415","Tadorna tadornoides"
"416","Tadorna variegata"
"417","Thalassornis leuconotus"
"418","Anhima cornuta"
"419","Chauna chavaria"
"420","Chauna torquata"
"421","Anseranas semipalmata"
"422","Aceros nipalensis"
"423","Anorrhinus austeni"
"424","Anorrhinus galeritus"
"425","Anorrhinus tickelli"
"426","Anthracoceros albirostris"
"427","Anthracoceros coronatus"
"428","Anthracoceros malayanus"
"429","Anthracoceros marchei"
"430","Anthracoceros montani"
"431","Berenicornis comatus"
"432","Buceros bicornis"
"433","Buceros hydrocorax"
"434","Buceros mindanensis"
"435","Buceros rhinoceros"
"436","Bucorvus abyssinicus"
"437","Bucorvus leadbeateri"
"438","Bycanistes albotibialis"
"439","Bycanistes brevis"
"440","Bycanistes bucinator"
"441","Bycanistes cylindricus"
"442","Bycanistes fistulator"
"443","Bycanistes sharpii"
"444","Bycanistes subcylindricus"
"445","Ceratogymna atrata"
"446","Ceratogymna elata"
"447","Horizocerus albocristatus"
"448","Horizocerus cassini"
"449","Horizocerus granti"
"450","Horizocerus hartlaubi"
"451","Lophoceros alboterminatus"
"452","Lophoceros bradfieldi"
"453","Lophoceros camurus"
"454","Lophoceros fasciatus"
"455","Lophoceros hemprichii"
"456","Lophoceros nasutus"
"457","Lophoceros pallidirostris"
"458","Lophoceros semifasciatus"
"459","Ocyceros birostris"
"460","Ocyceros gingalensis"
"461","Ocyceros griseus"
"462","Penelopides affinis"
"463","Penelopides manillae"
"464","Penelopides mindorensis"
"465","Penelopides panini"
"466","Rhabdotorrhinus corrugatus"
"467","Rhabdotorrhinus exarhatus"
"468","Rhabdotorrhinus leucocephalus"
"469","Rhabdotorrhinus waldeni"
"470","Rhinoplax vigil"
"471","Rhyticeros cassidix"
"472","Rhyticeros everetti"
"473","Rhyticeros narcondami"
"474","Rhyticeros plicatus"
"475","Rhyticeros subruficollis"
"476","Rhyticeros undulatus"
"477","Tockus damarensis"
"478","Tockus deckeni"
"479","Tockus erythrorhynchus"
"480","Tockus flavirostris"
"481","Tockus jacksoni"
"482","Tockus leucomelas"
"483","Tockus monteiri"
"484","Phoeniculus bollei"
"485","Phoeniculus damarensis"
"486","Phoeniculus purpureus"
"487","Phoeniculus somaliensis"
"488","Rhinopomastus aterrimus"
"489","Rhinopomastus castaneiceps"
"490","Rhinopomastus cyanomelas"
"491","Rhinopomastus minor"
"492","Upupa epops"
"493","Upupa marginata"
"494","Aegotheles affinis"
"495","Aegotheles albertisi"
"496","Aegotheles archboldi"
"497","Aegotheles bennettii"
"498","Aegotheles crinifrons"
"499","Aegotheles cristatus"
"500","Aegotheles insignis"
"501","Aegotheles savesi"
"502","Aegotheles tatei"
"503","Aegotheles wallacii"
"504","Aerodramus bartschi"
"505","Aerodramus brevirostris"
"506","Aerodramus elaphrus"
"507","Aerodramus francicus"
"508","Aerodramus fuciphagus"
"509","Aerodramus hirundinaceus"
"510","Aerodramus infuscatus"
"511","Aerodramus inquietus"
"512","Aerodramus leucophaeus"
"513","Aerodramus maximus"
"514","Aerodramus mearnsi"
"515","Aerodramus nuditarsus"
"516","Aerodramus orientalis"
"517","Aerodramus papuensis"
"518","Aerodramus pelewensis"
"519","Aerodramus salangana"
"520","Aerodramus sawtelli"
"521","Aerodramus spodiopygius"
"522","Aerodramus terraereginae"
