occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Cyanomitra bannermani","Cyanomitra bannermani Grant & Mackworth-Praed, 1943","6089125","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Nectariniidae","Cyanomitra","Cyanomitra bannermani","Cyanomitra bannermani","Grant & Mackworth-Praed, 1943","6089125",
,"Cyanomitra cyanolaema","Cyanomitra cyanolaema (Jardine & Fraser, 1852)","7340949","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Nectariniidae","Cyanomitra","Cyanomitra cyanolaema","Cyanomitra cyanolaema","(Jardine & Fraser, 1852) ","7340949",
,"Cyanomitra olivacea","Cyanomitra olivacea (A.Smith, 1840)","6088979","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Nectariniidae","Cyanomitra","Cyanomitra olivacea","Cyanomitra olivacea","(A.Smith, 1840) ","6088979",
,"Cyanomitra oritis","Cyanomitra oritis (Reichenow, 1892)","7340942","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Nectariniidae","Cyanomitra","Cyanomitra oritis","Cyanomitra oritis","(Reichenow, 1892) ","7340942",
,"Cyanomitra verreauxii","Cyanomitra verreauxii (Smith, 1831)","10808559","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Nectariniidae","Cyanomitra","Cyanomitra verreauxii","Cyanomitra verreauxii","(Smith, 1831) ","10808559",
,"Cyanomitra verticalis","Cyanomitra verticalis (Latham, 1790)","7340957","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Nectariniidae","Cyanomitra","Cyanomitra verticalis","Cyanomitra verticalis","(Latham, 1790) ","7340957",
,"Deleornis axillaris","Deleornis axillaris (Reichenow, 1893)","6089603","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Nectariniidae","Deleornis","Deleornis axillaris","Deleornis axillaris","(Reichenow, 1893) ","6089603",
,"Deleornis fraseri","Deleornis fraseri (Jardine & Selby, 1843)","7341052","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Nectariniidae","Deleornis","Deleornis fraseri","Deleornis fraseri","(Jardine & Selby, 1843) ","7341052",
,"Drepanorhynchus reichenowi","Drepanorhynchus reichenowi Fischer, 1884","7340778","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Nectariniidae","Drepanorhynchus","Drepanorhynchus reichenowi","Drepanorhynchus reichenowi","Fischer, 1884","7340778",
,"Dreptes thomensis","Dreptes thomensis (Bocage, 1889)","5788727","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Nectariniidae","Dreptes","Dreptes thomensis","Dreptes thomensis","(Bocage, 1889) ","5788727",
,"Hedydipna collaris","Hedydipna collaris (Vieillot, 1819)","7340984","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Nectariniidae","Hedydipna","Hedydipna collaris","Hedydipna collaris","(Vieillot, 1819) ","7340984",
,"Hedydipna metallica","Hedydipna metallica (Lichtenstein, 1823)","6089269","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Nectariniidae","Hedydipna","Hedydipna metallica","Hedydipna metallica","(Lichtenstein, 1823) ","6089269",
,"Hedydipna pallidigaster","Hedydipna pallidigaster (W.L.Sclater & Moreau, 1935)","6089255","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Nectariniidae","Hedydipna","Hedydipna pallidigaster","Hedydipna pallidigaster","(W.L.Sclater & Moreau, 1935) ","6089255",
,"Hedydipna platura","Hedydipna platura (Vieillot, 1819)","6089275","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Nectariniidae","Hedydipna","Hedydipna platura","Hedydipna platura","(Vieillot, 1819) ","6089275",
,"Kurochkinegramma hypogrammica","Kurochkinegramma hypogrammicum (S.Müller, 1843)","10324262","FUZZY","96","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Nectariniidae","Hypogramma","Hypogramma hypogrammicum","Kurochkinegramma hypogrammicum","(S.Müller, 1843) ","10324262","5229965"
,"Leptocoma aspasia","Leptocoma aspasia (R.P.Lesson & Garnot, 1828)","9057662","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Nectariniidae","Leptocoma","Leptocoma sericea","Leptocoma aspasia","(R.P.Lesson & Garnot, 1828) ","9057662","7340804"
,"Leptocoma brasiliana","Leptocoma brasiliana (Gmelin, 1788)","7340843","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Nectariniidae","Leptocoma","Leptocoma brasiliana","Leptocoma brasiliana","(Gmelin, 1788) ","7340843",
,"Leptocoma calcostetha","Leptocoma calcostetha (Jardine, 1843)","6088419","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Nectariniidae","Leptocoma","Leptocoma calcostetha","Leptocoma calcostetha","(Jardine, 1843) ","6088419",
,"Leptocoma juliae","Leptocoma juliae (Tweeddale, 1877)","7635897","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Nectariniidae","Leptocoma","Leptocoma sperata","Leptocoma juliae","(Tweeddale, 1877) ","7635897","6088615"
,"Leptocoma minima","Leptocoma minima (Sykes, 1832)","6088706","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Nectariniidae","Leptocoma","Leptocoma minima","Leptocoma minima","(Sykes, 1832) ","6088706",
,"Leptocoma sperata","Leptocoma sperata (Linnaeus, 1766)","7340838","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Nectariniidae","Leptocoma","Leptocoma sperata","Leptocoma sperata","(Linnaeus, 1766) ","7340838",
,"Leptocoma zeylonica","Leptocoma zeylonica (Linnaeus, 1766)","7340855","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Nectariniidae","Leptocoma","Leptocoma zeylonica","Leptocoma zeylonica","(Linnaeus, 1766) ","7340855",
,"Nectarinia bocagii","Nectarinia bocagii Shelley, 1879","5230012","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Nectariniidae","Nectarinia","Nectarinia bocagii","Nectarinia bocagii","Shelley, 1879","5230012",
,"Nectarinia famosa","Nectarinia famosa (Linnaeus, 1766)","5229971","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Nectariniidae","Nectarinia","Nectarinia famosa","Nectarinia famosa","(Linnaeus, 1766) ","5229971",
,"Nectarinia johnstoni","Nectarinia johnstoni Shelley, 1885","5230017","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Nectariniidae","Nectarinia","Nectarinia johnstoni","Nectarinia johnstoni","Shelley, 1885","5230017",
,"Nectarinia kilimensis","Nectarinia kilimensis Shelley, 1885","5229993","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Nectariniidae","Nectarinia","Nectarinia kilimensis","Nectarinia kilimensis","Shelley, 1885","5229993",
,"Nectarinia purpureiventris","Nectarinia purpureiventris (Reichenow, 1893)","5229997","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Nectariniidae","Nectarinia","Nectarinia purpureiventris","Nectarinia purpureiventris","(Reichenow, 1893) ","5229997",
,"Nectarinia tacazze","Nectarinia tacazze (Stanley, 1814)","5230037","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Nectariniidae","Nectarinia","Nectarinia tacazze","Nectarinia tacazze","(Stanley, 1814) ","5230037",
,"Daphoenositta chrysoptera","Daphoenositta chrysoptera (Latham, 1802)","2487489","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Neosittidae","Daphoenositta","Daphoenositta chrysoptera","Daphoenositta chrysoptera","(Latham, 1802) ","2487489",
,"Daphoenositta miranda","Daphoenositta miranda De Vis, 1897","2487488","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Neosittidae","Daphoenositta","Daphoenositta miranda","Daphoenositta miranda","De Vis, 1897","2487488",
,"Daphoenositta papuensis","Daphoenositta papuensis (Schlegel, 1871)","6101075","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Neosittidae","Daphoenositta","Daphoenositta papuensis","Daphoenositta papuensis","(Schlegel, 1871) ","6101075",
,"Nesospingus speculiferus","Nesospingus speculiferus (Lawrence, 1875)","2488375","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Nesospingidae","Nesospingus","Nesospingus speculiferus","Nesospingus speculiferus","(Lawrence, 1875) ","2488375",
