occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Accipiter brevipes","Accipiter brevipes (Severtzov, 1850)","2480578","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter brevipes","Accipiter brevipes","(Severtzov, 1850) ","2480578",
,"Acridotheres melanopterus","Acridotheres melanopterus (Daudin, 1800)","5845376","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Acridotheres","Acridotheres melanopterus","Acridotheres melanopterus","(Daudin, 1800) ","5845376",
,"Aegolius funereus","Aegolius funereus (Linnaeus, 1758)","5739298","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Strigiformes","Strigidae","Aegolius","Aegolius funereus","Aegolius funereus","(Linnaeus, 1758) ","5739298",
,"Aepypodius bruijnii","Aepypodius bruijnii (Oustalet, 1880)","2482103","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Galliformes","Megapodiidae","Aepypodius","Aepypodius bruijnii","Aepypodius bruijnii","(Oustalet, 1880) ","2482103",
,"Agelastes meleagrides","Agelastes meleagrides Bonaparte, 1850","2473337","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Galliformes","Numididae","Agelastes","Agelastes meleagrides","Agelastes meleagrides","Bonaparte, 1850","2473337",
,"Aix sponsa","Aix sponsa (Linnaeus, 1758)","2498387","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Anseriformes","Anatidae","Aix","Aix sponsa","Aix sponsa","(Linnaeus, 1758) ","2498387",
,"Alauda razae","Alauda razae (Alexander, 1898)","2490699","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Alauda","Alauda razae","Alauda razae","(Alexander, 1898) ","2490699",
,"Saucerottia beryllina","Saucerottia beryllina (Deppe, 1830)","5788537","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Apodiformes","Trochilidae","Saucerottia","Saucerottia beryllina","Saucerottia beryllina","(Deppe, 1830) ","5788537",
,"Chrysuronia coeruleogularis","Chrysuronia coeruleogularis (Gould, 1851)","10962601","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Apodiformes","Trochilidae","Chrysuronia","Chrysuronia coeruleogularis","Chrysuronia coeruleogularis","(Gould, 1851) ","10962601",
,"Saucerottia cyanura","Saucerottia cyanura (Gould, 1859)","11023781","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Apodiformes","Trochilidae","Saucerottia","Saucerottia cyanura","Saucerottia cyanura","(Gould, 1859) ","11023781",
,"Chrysuronia lilliae","Chrysuronia lilliae (Stone, 1917)","10983511","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Apodiformes","Trochilidae","Chrysuronia","Chrysuronia lilliae","Chrysuronia lilliae","(Stone, 1917) ","10983511",
,"Leucolia violiceps","Leucolia violiceps (Gould, 1859)","11003172","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Apodiformes","Trochilidae","Leucolia","Leucolia violiceps","Leucolia violiceps","(Gould, 1859) ","11003172",
,"Amazona arausiaca","Amazona arausiaca (Statius Muller, 1776)","2479645","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Amazona","Amazona arausiaca","Amazona arausiaca","(Statius Muller, 1776) ","2479645",
,"Amazona auropalliata","Amazona auropalliata (Lesson, 1842)","2479631","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Amazona","Amazona auropalliata","Amazona auropalliata","(Lesson, 1842) ","2479631",
,"Amazona barbadensis","Amazona barbadensis (Gmelin, 1788)","2479668","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Amazona","Amazona barbadensis","Amazona barbadensis","(Gmelin, 1788) ","2479668",
,"Amazona collaria","Amazona collaria (Linnaeus, 1758)","2479604","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Amazona","Amazona collaria","Amazona collaria","(Linnaeus, 1758) ","2479604",
