scientificName
Acanthiza robustirostris
Acanthorhynchus tenuirostris
Acrocephalus familiaris
Agriornis lividus
Acrocephalus atyphus
Acrocephalus kerearako
Acrocephalus newtoni
Bradypterus barratti
Acrocephalus rehsei
Aegithina viridissima
Anser fabalis
Agelaius assimilis
Ailuroedus buccoides
Arremonops tocuyensis
Terenura maculata
Aimophila notosticta
Aimophila rufescens
Amandava amandava
Alaemon hamertoni
Alcippe grotei
Amblyornis flavifrons
Alophoixus phaeocephalus
Amadina erythrocephala
Clytorhynchus pachycephaloides
Cyanocitta cristata
Delichon dasypus
Amytornis goyderi
Amytornis striatus
Amblyornis macgregoriae
Amblyornis subalaris
Ammodramus aurifrons
Ampelion rubrocristatus
Ampelion rufaxilla
Bradypterus seebohmi
Atlapetes melanocephalus
Anabacerthia striaticollis
Anabazenops fuscus
Anairetes nigrocristatus
Anairetes parulus
Anairetes reguloides
Ancistrops strigilatus
Anisognathus notabilis
Anthochaera lunulata
Anthoscopus minutus
Anthoscopus punctifrons
Anthreptes anchietae
Anthreptes longuemarei
Anthreptes neglectus
Anthreptes orientalis
Anthreptes simplex
Anthus melindae
Cyanocorax cayanus
Dendrocincla merula
Anthus chacoensis
Anthus correndera
Anthus furcatus
Anthus gutturalis
Anthus nilghiriensis
Apalis bamendae
Apalis chapini
Apalis goslingi
Arachnothera chrysogenys
Arachnothera crassirostris
Dicrurus macrocercus
Apalopteron familiare
Aphanotriccus capitalis
Calcarius ornatus
Aphelocephala nigricincta
Aphelocoma wollweberi
Arachnothera magna
Arachnothera robusta
Aplonis atrifusca
Aplonis cinerascens
Aplonis minor
Aplonis opaca
Poikilocarbo gaimardi
Arses insularis
Arundinicola leucocephala
Asthenes baeri
Arses kaupi
Artamus cyanopterus
Myzomela jugularis
Artamus maximus
Phylloscopus inornatus
Asthenes flammulata
Asthenes griseomurina
Progne tapera
Asthenes humilis
Asthenes moreirae
Asthenes palpebralis
Astrapia nigra
Astrapia rothschildi
Astrapia splendidissima
Astrapia stephaniae
Atlapetes blancae
