"","sp_atlas","Accepted_SPNAME","sp_sci_name"
"1","Acanthis flammea","Acanthis flammea","Acanthis flammea"
"2","Accipiter brevipes","Accipiter brevipes","Accipiter brevipes"
"3","Accipiter cooperii","Accipiter cooperii","Accipiter cooperii"
"4","Accipiter gentilis","Accipiter gentilis","Accipiter gentilis"
"5","Accipiter gularis","Accipiter gularis","Accipiter gularis"
"6","Accipiter nisus","Accipiter nisus","Accipiter nisus"
"7","Accipiter striatus","Accipiter striatus","Accipiter striatus"
"8","Acrocephalus agricola","Acrocephalus agricola","Acrocephalus agricola"
"9","Acrocephalus arundinaceus","Acrocephalus arundinaceus","Acrocephalus arundinaceus"
"10","Acrocephalus bistrigiceps","Acrocephalus bistrigiceps","Acrocephalus bistrigiceps"
"11","Acrocephalus dumetorum","Acrocephalus dumetorum","Acrocephalus dumetorum"
"12","Acrocephalus melanopogon","Acrocephalus melanopogon","Acrocephalus melanopogon"
"13","Acrocephalus orientalis","Acrocephalus orientalis","Acrocephalus orientalis"
"14","Acrocephalus paludicola","Acrocephalus paludicola","Acrocephalus paludicola"
"15","Acrocephalus palustris","Acrocephalus palustris","Acrocephalus palustris"
"16","Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","Acrocephalus schoenobaenus"
"17","Acrocephalus scirpaceus","Acrocephalus scirpaceus","Acrocephalus scirpaceus"
"18","Actitis hypoleucos","Actitis hypoleucos","Actitis hypoleucos"
"19","Actitis macularius","Actitis macularius","Actitis macularius"
"20","Aegithalos caudatus","Aegithalos caudatus","Aegithalos caudatus"
"21","Aegithalos caudatus","Aegithalos caudatus","Aegithalos iredalei"
"22","Aegolius acadicus","Aegolius acadicus","Aegolius acadicus"
"23","Aegolius funereus","Aegolius funereus","Aegolius funereus"
"24","Aegypius monachus","Aegypius monachus","Aegypius monachus"
"25","Agelaius phoeniceus","Agelaius phoeniceus","Agelaius phoeniceus"
"26","Agropsar philippensis","Agropsar philippensis","Agropsar philippensis"
"27","Aix galericulata","Aix galericulata","Aix galericulata"
"28","Aix sponsa","Aix sponsa","Aix sponsa"
"29","Alauda arvensis","Alauda arvensis","Alauda arvensis"
"30","Alca torda","Alca torda","Alca torda"
"31","Alcedo atthis","Alcedo atthis","Alcedo atthis"
"32","Alectoris barbara","Alectoris barbara","Alectoris barbara"
"33","Alectoris chukar","Alectoris chukar","Alectoris chukar"
"34","Alectoris graeca","Alectoris graeca","Alectoris graeca"
"35","Alectoris rufa","Alectoris rufa","Alectoris rufa"
"36","Alle alle","Alle alle","Alle alle"
"37","Alopochen aegyptiaca","Alopochen aegyptiaca","Alopochen aegyptiaca"
"38","Amandava amandava","Amandava amandava","Amandava amandava"
"39","Amaurornis phoenicurus","Amaurornis phoenicurus","Amaurornis phoenicurus"
"40","Ammodramus caudacutus","Ammodramus caudacutus","Ammospiza caudacuta"
"41","Ammodramus henslowii","Ammodramus henslowii",NA
"42","Ammodramus maritimus","Ammodramus maritimus","Ammospiza maritima"
"43","Ammodramus savannarum","Ammodramus savannarum","Ammodramus savannarum"
"44","Anas acuta","Anas acuta","Anas acuta"
"45","Anas americana","Anas americana","Mareca americana"
"46","Anas americana","Anas americana","Mareca falcata"
"47","Anas americana","Anas americana","Mareca penelope"
"48","Anas americana","Anas americana","Mareca sibilatrix"
"49","Anas americana","Anas americana","Mareca strepera"
"50","Anas clypeata","Anas clypeata",NA
"51","Anas crecca","Anas crecca","Anas crecca"
"52","Anas discors","Anas discors",NA
"53","Anas falcata","Anas falcata",NA
"54","Anas platyrhynchos","Anas platyrhynchos","Anas platyrhynchos"
"55","Anas querquedula","Anas querquedula",NA
"56","Anas rubripes","Anas rubripes","Anas rubripes"
"57","Anas strepera","Anas strepera",NA
"58","Anas zonorhyncha","Anas poecilorhyncha zonorhyncha","Anas zonorhyncha"
"59","Anous stolidus","Anous stolidus","Anous stolidus"
"60","Anser anser","Anser anser","Anser anser"
"61","Anser brachyrhynchus","Anser brachyrhynchus","Anser brachyrhynchus"
"62","Anser erythropus","Anser erythropus","Anser erythropus"
"63","Anser fabalis","Anser fabalis","Anser fabalis"
"64","Anthropoides virgo","Anthropoides virgo","Anthropoides virgo"
"65","Anthus berthelotii","Anthus berthelotii","Anthus berthelotii"
"66","Anthus campestris","Anthus campestris","Anthus campestris"
"67","Anthus cervinus","Anthus cervinus","Anthus cervinus"
"68","Anthus cervinus","Anthus cervinus","Anthus peruvianus"
"69","Anthus hodgsoni","Anthus hodgsoni","Anthus hodgsoni"
"70","Anthus petrosus","Anthus petrosus","Anthus petrosus"
"71","Anthus pratensis","Anthus pratensis","Anthus pratensis"
"72","Anthus spinoletta","Anthus spinoletta","Anthus spinoletta"
"73","Anthus trivialis","Anthus trivialis","Anthus trivialis"
"74","Apalopteron familiare","Apalopteron familiare","Apalopteron familiare"
"75","Apus apus","Apus apus","Apus apus"
"76","Apus caffer","Apus caffer","Apus caffer"
"77","Apus nipalensis","Apus nipalensis","Apus nipalensis"
"78","Apus pacificus","Apus pacificus","Apus pacificus"
"79","Apus pallidus","Apus pallidus","Apus pallidus"
"80","Apus unicolor","Apus unicolor","Apus unicolor"
"81","Aquila adalberti","Aquila adalberti","Aquila adalberti"
"82","Aquila chrysaetos","Aquila chrysaetos","Aquila chrysaetos"
"83","Aquila fasciata","Aquila fasciata","Aquila fasciata"
"84","Aquila heliaca","Aquila heliaca","Aquila heliaca"
"85","Aquila pomarina","Aquila pomarina",NA
"86","Archilochus colubris","Archilochus colubris","Archilochus colubris"
"87","Ardea alba","Ardea alba","Ardea alba"
"88","Ardea cinerea","Ardea cinerea","Ardea intermedia"
"89","Ardea cinerea","Ardea cinerea","Ardea cinerea"
"90","Ardea herodias","Ardea herodias","Ardea herodias"
"91","Ardea purpurea","Ardea purpurea","Ardea purpurea"
"92","Ardeola ralloides","Ardeola ralloides","Ardeola ralloides"
"93","Arenaria interpres","Arenaria interpres","Arenaria interpres"
"94","Asio flammeus","Asio flammeus","Asio flammeus"
"95","Asio otus","Asio otus","Asio otus"
"96","Athene noctua","Athene noctua","Athene noctua"
"97","Aythya affinis","Aythya affinis","Aythya affinis"
"98","Aythya affinis","Aythya affinis","Argya affinis"
"99","Aythya americana","Aythya americana","Aythya americana"
"100","Aythya collaris","Aythya collaris","Aythya collaris"
"101","Aythya ferina","Aythya ferina","Aythya ferina"
"102","Aythya fuligula","Aythya fuligula","Aythya fuligula"
"103","Aythya marila","Aythya marila","Aythya marila"
"104","Aythya nyroca","Aythya nyroca","Aythya nyroca"
"105","Aythya valisineria","Aythya valisineria","Aythya valisineria"
"106","Baeolophus bicolor","Baeolophus bicolor","Baeolophus bicolor"
