occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Nothura maculosa","Nothura maculosa (Temminck, 1815)","2477600","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Nothura","Nothura maculosa","Nothura maculosa","(Temminck, 1815) ","2477600",
,"Nothura minor","Nothura minor (von Spix, 1825)","2477598","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Nothura","Nothura minor","Nothura minor","(von Spix, 1825) ","2477598",
,"Nothura darwinii","Nothura darwinii G.R.Gray, 1867","2477610","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Nothura","Nothura darwinii","Nothura darwinii","G.R.Gray, 1867","2477610",
,"Nothura boraquira","Nothura boraquira (von Spix, 1825)","2477599","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Nothura","Nothura boraquira","Nothura boraquira","(von Spix, 1825) ","2477599",
,"Nothura chacoensis","Nothura chacoensis Conover, 1937","2477609","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Nothura","Nothura chacoensis","Nothura chacoensis","Conover, 1937","2477609",
,"Nothoprocta perdicaria","Nothoprocta perdicaria (Kittlitz, 1830)","2477581","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Nothoprocta","Nothoprocta perdicaria","Nothoprocta perdicaria","(Kittlitz, 1830) ","2477581",
,"Nothoprocta ornata","Nothoprocta ornata (G.R.Gray, 1867)","2477575","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Nothoprocta","Nothoprocta ornata","Nothoprocta ornata","(G.R.Gray, 1867) ","2477575",
,"Nothoprocta pentlandii","Nothoprocta pentlandii (G.R.Gray, 1867)","2477584","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Nothoprocta","Nothoprocta pentlandii","Nothoprocta pentlandii","(G.R.Gray, 1867) ","2477584",
,"Nothoprocta curvirostris","Nothoprocta curvirostris P.L.Sclater & Salvin, 1873","2477572","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Nothoprocta","Nothoprocta curvirostris","Nothoprocta curvirostris","P.L.Sclater & Salvin, 1873","2477572",
,"Nothoprocta cinerascens","Nothoprocta cinerascens (Burmeister, 1860)","2477593","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Nothoprocta","Nothoprocta cinerascens","Nothoprocta cinerascens","(Burmeister, 1860) ","2477593",
,"Nothoprocta taczanowskii","Nothoprocta taczanowskii P.L.Sclater & Salvin, 1875","2477596","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Nothoprocta","Nothoprocta taczanowskii","Nothoprocta taczanowskii","P.L.Sclater & Salvin, 1875","2477596",
,"Rhynchotus maculicollis","Rhynchotus maculicollis G.R.Gray, 1867","2477462","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Rhynchotus","Rhynchotus maculicollis","Rhynchotus maculicollis","G.R.Gray, 1867","2477462",
,"Rhynchotus rufescens","Rhynchotus rufescens (Temminck, 1815)","2477464","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Rhynchotus","Rhynchotus rufescens","Rhynchotus rufescens","(Temminck, 1815) ","2477464",
,"Tinamotis pentlandii","Tinamotis pentlandii Vigors, 1837","2477459","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Tinamotis","Tinamotis pentlandii","Tinamotis pentlandii","Vigors, 1837","2477459",
,"Tinamotis ingoufi","Tinamotis ingoufi Oustalet, 1890","2477460","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Tinamotis","Tinamotis ingoufi","Tinamotis ingoufi","Oustalet, 1890","2477460",
,"Taoniscus nanus","Taoniscus nanus (Temminck, 1815)","2477457","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Taoniscus","Taoniscus nanus","Taoniscus nanus","(Temminck, 1815) ","2477457",
,"Eudromia formosa","Eudromia formosa (Lillo, 1905)","5228703","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Eudromia","Eudromia formosa","Eudromia formosa","(Lillo, 1905) ","5228703",
,"Eudromia elegans","Eudromia elegans I.Geoffroy Saint-Hilaire, 1832","5228704","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Eudromia","Eudromia elegans","Eudromia elegans","I.Geoffroy Saint-Hilaire, 1832","5228704",
,"Nothocercus bonapartei","Nothocercus bonapartei (G.R.Gray, 1867)","2477473","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Nothocercus","Nothocercus bonapartei","Nothocercus bonapartei","(G.R.Gray, 1867) ","2477473",
,"Nothocercus nigrocapillus","Nothocercus nigrocapillus (G.R.Gray, 1867)","2477469","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Nothocercus","Nothocercus nigrocapillus","Nothocercus nigrocapillus","(G.R.Gray, 1867) ","2477469",
,"Nothocercus julius","Nothocercus julius (Bonaparte, 1854)","2477472","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Nothocercus","Nothocercus julius","Nothocercus julius","(Bonaparte, 1854) ","2477472",
,"Tinamus osgoodi","Tinamus osgoodi Conover, 1949","2477618","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Tinamus","Tinamus osgoodi","Tinamus osgoodi","Conover, 1949","2477618",
,"Tinamus guttatus","Tinamus guttatus Pelzeln, 1863","2477621","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Tinamus","Tinamus guttatus","Tinamus guttatus","Pelzeln, 1863","2477621",
,"Tinamus major","Tinamus major (J.F.Gmelin, 1789)","2477630","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Tinamus","Tinamus major","Tinamus major","(J.F.Gmelin, 1789) ","2477630",
,"Tinamus solitarius","Tinamus solitarius (Vieillot, 1819)","2477627","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Tinamus","Tinamus solitarius","Tinamus solitarius","(Vieillot, 1819) ","2477627",
,"Tinamus tao","Tinamus tao Temminck, 1815","2477622","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Tinamus","Tinamus tao","Tinamus tao","Temminck, 1815","2477622",
,"Crypturellus atrocapillus","Crypturellus atrocapillus (Tschudi, 1844)","2477529","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Crypturellus","Crypturellus atrocapillus","Crypturellus atrocapillus","(Tschudi, 1844) ","2477529",
,"Crypturellus erythropus","Crypturellus erythropus (Pelzeln, 1863)","2477546","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Crypturellus","Crypturellus erythropus","Crypturellus erythropus","(Pelzeln, 1863) ","2477546",
,"Crypturellus soui","Crypturellus soui (Hermann, 1783)","2477507","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Crypturellus","Crypturellus soui","Crypturellus soui","(Hermann, 1783) ","2477507",
,"Crypturellus boucardi","Crypturellus boucardi (P.L.Sclater, 1860)","2477567","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Crypturellus","Crypturellus boucardi","Crypturellus boucardi","(P.L.Sclater, 1860) ","2477567",
,"Crypturellus noctivagus","Crypturellus noctivagus (zu Wied-Neuwied, 1820)","2477503","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Crypturellus","Crypturellus noctivagus","Crypturellus noctivagus","(zu Wied-Neuwied, 1820) ","2477503",
,"Crypturellus bartletti","Crypturellus bartletti (P.L.Sclater & Salvin, 1873)","2477556","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Crypturellus","Crypturellus bartletti","Crypturellus bartletti","(P.L.Sclater & Salvin, 1873) ","2477556",
,"Crypturellus kerriae","Crypturellus kerriae (Chapman, 1915)","2477557","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Crypturellus","Crypturellus kerriae","Crypturellus kerriae","(Chapman, 1915) ","2477557",
,"Crypturellus cinereus","Crypturellus cinereus (J.F.Gmelin, 1789)","2477533","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Crypturellus","Crypturellus cinereus","Crypturellus cinereus","(J.F.Gmelin, 1789) ","2477533",
,"Crypturellus undulatus","Crypturellus undulatus (Temminck, 1815)","2477560","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Crypturellus","Crypturellus undulatus","Crypturellus undulatus","(Temminck, 1815) ","2477560",
,"Crypturellus variegatus","Crypturellus variegatus (J.F.Gmelin, 1789)","2477527","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Crypturellus","Crypturellus variegatus","Crypturellus variegatus","(J.F.Gmelin, 1789) ","2477527",
,"Crypturellus strigulosus","Crypturellus strigulosus (Temminck, 1815)","2477559","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Crypturellus","Crypturellus strigulosus","Crypturellus strigulosus","(Temminck, 1815) ","2477559",
,"Crypturellus cinnamomeus","Crypturellus cinnamomeus (Lesson, 1842)","2477493","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Crypturellus","Crypturellus cinnamomeus","Crypturellus cinnamomeus","(Lesson, 1842) ","2477493",
,"Crypturellus obsoletus","Crypturellus obsoletus (Temminck, 1815)","2477535","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Crypturellus","Crypturellus obsoletus","Crypturellus obsoletus","(Temminck, 1815) ","2477535",
,"Crypturellus ptaritepui","Crypturellus ptaritepui J.T.Zimmer & Phelps, 1945","2477506","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Crypturellus","Crypturellus ptaritepui","Crypturellus ptaritepui","J.T.Zimmer & Phelps, 1945","2477506",
,"Crypturellus duidae","Crypturellus duidae J.T.Zimmer, 1938","2477534","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Crypturellus","Crypturellus duidae","Crypturellus duidae","J.T.Zimmer, 1938","2477534",
,"Crypturellus tataupa","Crypturellus tataupa (Temminck, 1815)","2477522","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Crypturellus","Crypturellus tataupa","Crypturellus tataupa","(Temminck, 1815) ","2477522",
,"Crypturellus brevirostris","Crypturellus brevirostris (Pelzeln, 1863)","2477532","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Crypturellus","Crypturellus brevirostris","Crypturellus brevirostris","(Pelzeln, 1863) ","2477532",
,"Crypturellus transfasciatus","Crypturellus transfasciatus (P.L.Sclater & Salvin, 1878)","2477545","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Crypturellus","Crypturellus transfasciatus","Crypturellus transfasciatus","(P.L.Sclater & Salvin, 1878) ","2477545",
,"Crypturellus parvirostris","Crypturellus parvirostris (Wagler, 1827)","2477558","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Tinamiformes","Tinamidae","Crypturellus","Crypturellus parvirostris","Crypturellus parvirostris","(Wagler, 1827) ","2477558",
