occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Thryothorus leucopogon","Thryothorus leucopogon (Salvadori & Festa, 1899)","2493828","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Cantorchilus","Cantorchilus leucopogon","Thryothorus leucopogon","(Salvadori & Festa, 1899) ","2493828","7341082"
,"Thryothorus thoracicus","Thryothorus thoracicus Salvin, 1865","2493816","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Cantorchilus","Cantorchilus thoracicus","Thryothorus thoracicus","Salvin, 1865","2493816","6089791"
,"Thryothorus griseus","Thryothorus griseus (Todd, 1925)","2493817","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Cantorchilus","Cantorchilus griseus","Thryothorus griseus","(Todd, 1925) ","2493817","6089514"
,"Thryothorus modestus","Thryothorus modestus Cabanis, 1861","2493811","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Cantorchilus","Cantorchilus modestus","Thryothorus modestus","Cabanis, 1861","2493811","7341074"
,"Thryothorus semibadius","Thryothorus semibadius Salvin, 1870","2493824","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Cantorchilus","Cantorchilus semibadius","Thryothorus semibadius","Salvin, 1870","2493824","6089710"
,"Thryothorus superciliaris","Thryothorus superciliaris Lawrence, 1869","2493826","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Cantorchilus","Cantorchilus superciliaris","Thryothorus superciliaris","Lawrence, 1869","2493826","7341058"
,"Thryothorus longirostris","Thryothorus longirostris Vieillot, 1819","2493810","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Cantorchilus","Cantorchilus longirostris","Thryothorus longirostris","Vieillot, 1819","2493810","7341035"
,"Thryothorus guarayanus","Thryothorus guarayanus (Orbigny & Lafresnaye, 1837)","2493809","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Cantorchilus","Cantorchilus guarayanus","Thryothorus guarayanus","(Orbigny & Lafresnaye, 1837) ","2493809","6089532"
,"Thryothorus leucotis","Thryothorus leucotis Lafresnaye, 1845","2493818","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Cantorchilus","Cantorchilus leucotis","Thryothorus leucotis","Lafresnaye, 1845","2493818","7341038"
,"Thryothorus nigricapillus","Thryothorus nigricapillus P.L.Sclater, 1860","2493812","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Cantorchilus","Cantorchilus nigricapillus","Thryothorus nigricapillus","P.L.Sclater, 1860","2493812","7341063"
,"Henicorhina leucophrys","Henicorhina leucophrys (Tschudi, 1844)","2493957","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Henicorhina","Henicorhina leucophrys","Henicorhina leucophrys","(Tschudi, 1844) ","2493957",
,"Thryothorus spadix","Thryothorus spadix (Bangs, 1910)","2493807","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Pheugopedius","Pheugopedius spadix","Thryothorus spadix","(Bangs, 1910) ","2493807","7341222"
,"Thryothorus fasciatoventris","Thryothorus fasciatoventris Lafresnaye, 1845","2493815","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Pheugopedius","Pheugopedius fasciatoventris","Thryothorus fasciatoventris","Lafresnaye, 1845","2493815","7341215"
