original_verbatim_name,name_in_data,wordCount,cellID,submitted_name,Birds of the World,eBird/Clements,American Ornithological Society,GBIF,BirdLife
Accipiter gentilis,Accipiter gentilis,2,NA,Accipiter gentilis,Accipiter gentilis,Accipiter gentilis,Accipiter gentilis,Accipiter gentilis,Accipiter gentilis
Accipiter nisus,Accipiter nisus,2,NA,Accipiter nisus,Accipiter nisus,Accipiter nisus,NA,Accipiter nisus,Accipiter nisus
Acrocephalus arundinaceus,Acrocephalus arundinaceus,2,NA,Acrocephalus arundinaceus,Acrocephalus arundinaceus,Acrocephalus arundinaceus,NA,Acrocephalus arundinaceus,Acrocephalus arundinaceus
Acrocephalus dumetorum,Acrocephalus dumetorum,2,NA,Acrocephalus dumetorum,Acrocephalus dumetorum,Acrocephalus dumetorum,Acrocephalus dumetorum,Acrocephalus dumetorum,Acrocephalus dumetorum
Acrocephalus melanopogon,Acrocephalus melanopogon,2,NA,Acrocephalus melanopogon,Acrocephalus melanopogon,Acrocephalus melanopogon,NA,Acrocephalus melanopogon,Acrocephalus melanopogon
Acrocephalus paludicola,Acrocephalus paludicola,2,NA,Acrocephalus paludicola,Acrocephalus paludicola,Acrocephalus paludicola,NA,Acrocephalus paludicola,Acrocephalus paludicola
Acrocephalus palustris,Acrocephalus palustris,2,NA,Acrocephalus palustris,Acrocephalus palustris,Acrocephalus palustris,NA,Acrocephalus palustris,Acrocephalus palustris
Acrocephalus schoenobaenus,Acrocephalus schoenobaenus,2,NA,Acrocephalus schoenobaenus,Acrocephalus schoenobaenus,Acrocephalus schoenobaenus,Acrocephalus schoenobaenus,Acrocephalus schoenobaenus,Acrocephalus schoenobaenus
Acrocephalus scirpaceus,Acrocephalus scirpaceus,2,NA,Acrocephalus scirpaceus,Acrocephalus scirpaceus,Acrocephalus scirpaceus,NA,Acrocephalus scirpaceus,Acrocephalus scirpaceus
Actitis hypoleucos,Actitis hypoleucos,2,NA,Actitis hypoleucos,Actitis hypoleucos,Actitis hypoleucos,Actitis hypoleucos,Actitis hypoleucos,Actitis hypoleucos
Aegithalos caudatus,Aegithalos caudatus,2,NA,Aegithalos caudatus,Aegithalos caudatus,Aegithalos caudatus,NA,Aegithalos caudatus,Aegithalos caudatus
