original_verbatim_name,name_in_data,wordCount,cellID,submitted_name,Birds of the World,eBird/Clements,American Ornithological Society,GBIF,BirdLife
Accipiter cooperii,Accipiter cooperii,2,NA,Accipiter cooperii,Accipiter cooperii,Accipiter cooperii,Accipiter cooperii,Accipiter cooperii,Accipiter cooperii
Accipiter gentilis,Accipiter gentilis,2,NA,Accipiter gentilis,Accipiter gentilis,Accipiter gentilis,Accipiter gentilis,Accipiter gentilis,Accipiter gentilis
Accipiter striatus,Accipiter striatus,2,NA,Accipiter striatus,Accipiter striatus,Accipiter striatus,Accipiter striatus,Accipiter striatus,Accipiter striatus
Actitis macularius,Actitis macularius,2,NA,Actitis macularius,Actitis macularius,Actitis macularius,Actitis macularius,Actitis macularius,Actitis macularius
Aegolius acadicus,Aegolius acadicus,2,NA,Aegolius acadicus,Aegolius acadicus,Aegolius acadicus,Aegolius acadicus,Aegolius acadicus,Aegolius acadicus
Agelaius phoeniceus,Agelaius phoeniceus,2,NA,Agelaius phoeniceus,Agelaius phoeniceus,Agelaius phoeniceus,Agelaius phoeniceus,Agelaius phoeniceus,Agelaius phoeniceus
Aix sponsa,Aix sponsa,2,NA,Aix sponsa,Aix sponsa,Aix sponsa,Aix sponsa,Aix sponsa,Aix sponsa
Ammodramus caudacutus,Ammodramus caudacutus,2,NA,Ammodramus caudacutus,Ammodramus caudacutus,NA,NA,Ammodramus caudacutus,Ammodramus caudacutus
Ammodramus henslowii,Ammodramus henslowii,2,NA,Ammodramus henslowii,Ammodramus henslowii,NA,NA,Ammodramus henslowii,Ammodramus henslowii
Ammodramus maritimus,Ammodramus maritimus,2,NA,Ammodramus maritimus,Ammodramus maritimus,NA,NA,Ammodramus maritimus,Ammodramus maritimus
Ammodramus nelsoni,Ammodramus nelsoni,2,NA,Ammodramus nelsoni,Ammodramus nelsoni,NA,NA,Ammodramus nelsoni,Ammodramus nelsoni
Ammodramus savannarum,Ammodramus savannarum,2,NA,Ammodramus savannarum,Ammodramus savannarum,Ammodramus savannarum,Ammodramus savannarum,Ammodramus savannarum,Ammodramus savannarum
Anas acuta,Anas acuta,2,NA,Anas acuta,Anas acuta,Anas acuta,Anas acuta,Anas acuta,Anas acuta
Anas americana,Anas americana,2,NA,Anas americana,Anas americana,NA,NA,Anas americana,Anas americana
Anas clypeata,Anas clypeata,2,NA,Anas clypeata,Anas clypeata,NA,NA,Anas clypeata,Anas clypeata
Anas crecca,Anas crecca,2,NA,Anas crecca,Anas crecca,Anas crecca,Anas crecca,Anas crecca,Anas crecca
Anas discors,Anas discors,2,NA,Anas discors,Anas discors,NA,NA,Anas discors,Anas discors
Anas platyrhynchos,Anas platyrhynchos,2,NA,Anas platyrhynchos,Anas platyrhynchos,Anas platyrhynchos,Anas platyrhynchos,Anas platyrhynchos,Anas platyrhynchos
Anas platyrhynchos x A. rubripes,Anas platyrhynchos,5,"5695C, 3576C, 5093C, 5874C, 3378A, 5068C, 4288A, 3675D, 4891B, 5378C, 4270D, 4967B, 4182B, 6058B, 4567D, 4965B, 5857C, 6051A, 5659C, 5066C, 4866A, 3278B, 6056C, 2879D, 6051B, 3774A, 5854A, 4993D, 5768A, 6183C, 6084D, 6451B, 4970B, 4971C, 5863B, 4267B, 5949A, 4166B, 5570A, 2877D, 5973C, 6553C, 5972C, 3875B, 5781A, 6072A, 5782C, 4997C, 3470D, 5754A, 6350B, 4870D, 5458D, 5870D, 6952D, 2773A, 5968D, 5872A, 6249B, 6751B, 5360D, 7457D, 1069C, 4388D, 5953D, 1971C, 6252B, 4265A, 6066C, 6296A, 2674C, 4078A, 4275A, 4378D, 5764D, 3467C, 6953D, 3076C, 2675D, 6352C, 6351C, 6088A, 4387C, 1775D, 6275C, 6951A, 4166A, 4372C, 5069C, 6192D, 6192C, 4078D, 6058D, 5855A, 5754B, 5954A, 5870A, 5852B, 4465C, 3574B, 1773D, 1773B, 5377B, 4085A, 4776C, 5573D, 3367A, 6952B, 7052A, 6080C, 5855B, 5973B, 6165B, 5368A, 6165D, 5380C, 5850C, 6153D, 3978D, 3470C, 6651A, 6751D, 7253B, 6452D, 6550B, 1875C, 6292C, 6290B, 5184D, 4378A, 4077A, 4282A, 4392A, 6552C, 6952C, 6550A, 5953C, 5954C, 4167B, 6197B, 2076B, 5489C, 5084C, 4874A, 4787C, 4279D, 4178C, 3880A, 6051C, 5951B, 7253A, 6175A, 6287A",Anas platyrhynchos x a. rubripes,Anas platyrhynchos,Anas platyrhynchos,Anas platyrhynchos,Anas platyrhynchos,Anas platyrhynchos
Anas rubripes,Anas rubripes,2,NA,Anas rubripes,Anas rubripes,Anas rubripes,Anas rubripes,Anas rubripes,Anas rubripes
Anas strepera,Anas strepera,2,NA,Anas strepera,Anas strepera,NA,NA,Anas strepera,Anas strepera
Aquila chrysaetos,Aquila chrysaetos,2,NA,Aquila chrysaetos,Aquila chrysaetos,Aquila chrysaetos,Aquila chrysaetos,Aquila chrysaetos,Aquila chrysaetos
Archilochus colubris,Archilochus colubris,2,NA,Archilochus colubris,Archilochus colubris,Archilochus colubris,Archilochus colubris,Archilochus colubris,Archilochus colubris
Ardea alba,Ardea alba,2,NA,Ardea alba,Ardea alba,Ardea alba,Ardea alba,Ardea alba,Ardea alba
Ardea herodias,Ardea herodias,2,NA,Ardea herodias,Ardea herodias,Ardea herodias,Ardea herodias,Ardea herodias,Ardea herodias
Asio flammeus,Asio flammeus,2,NA,Asio flammeus,Asio flammeus,Asio flammeus,Asio flammeus,Asio flammeus,Asio flammeus
Asio otus,Asio otus,2,NA,Asio otus,Asio otus,Asio otus,Asio otus,Asio otus,Asio otus
Aythya affinis,Aythya affinis,2,NA,Aythya affinis,Aythya affinis,Aythya affinis,Aythya affinis,Aythya affinis,Aythya affinis
Aythya americana,Aythya americana,2,NA,Aythya americana,Aythya americana,Aythya americana,Aythya americana,Aythya americana,Aythya americana
Aythya collaris,Aythya collaris,2,NA,Aythya collaris,Aythya collaris,Aythya collaris,Aythya collaris,Aythya collaris,Aythya collaris
Aythya marila,Aythya marila,2,NA,Aythya marila,Aythya marila,Aythya marila,Aythya marila,Aythya marila,Aythya marila
Aythya valisineria,Aythya valisineria,2,NA,Aythya valisineria,Aythya valisineria,Aythya valisineria,Aythya valisineria,Aythya valisineria,Aythya valisineria
Baeolophus bicolor,Baeolophus bicolor,2,NA,Baeolophus bicolor,Baeolophus bicolor,Baeolophus bicolor,Baeolophus bicolor,Baeolophus bicolor,Baeolophus bicolor
Bartramia longicauda,Bartramia longicauda,2,NA,Bartramia longicauda,Bartramia longicauda,Bartramia longicauda,Bartramia longicauda,Bartramia longicauda,Bartramia longicauda
Bombycilla cedrorum,Bombycilla cedrorum,2,NA,Bombycilla cedrorum,Bombycilla cedrorum,Bombycilla cedrorum,Bombycilla cedrorum,Bombycilla cedrorum,Bombycilla cedrorum
Bonasa umbellus,Bonasa umbellus,2,NA,Bonasa umbellus,Bonasa umbellus,Bonasa umbellus,Bonasa umbellus,Bonasa umbellus,Bonasa umbellus
Botaurus lentiginosus,Botaurus lentiginosus,2,NA,Botaurus lentiginosus,Botaurus lentiginosus,Botaurus lentiginosus,Botaurus lentiginosus,Botaurus lentiginosus,Botaurus lentiginosus
Branta canadensis,Branta canadensis,2,NA,Branta canadensis,Branta canadensis,Branta canadensis,Branta canadensis,Branta canadensis,Branta canadensis
Bubo virginianus,Bubo virginianus,2,NA,Bubo virginianus,Bubo virginianus,Bubo virginianus,Bubo virginianus,Bubo virginianus,Bubo virginianus
Bubulcus ibis,Bubulcus ibis,2,NA,Bubulcus ibis,Bubulcus ibis,Bubulcus ibis,Bubulcus ibis,Bubulcus ibis,Bubulcus ibis
Bucephala albeola,Bucephala albeola,2,NA,Bucephala albeola,Bucephala albeola,Bucephala albeola,Bucephala albeola,Bucephala albeola,Bucephala albeola
Bucephala clangula,Bucephala clangula,2,NA,Bucephala clangula,Bucephala clangula,Bucephala clangula,Bucephala clangula,Bucephala clangula,Bucephala clangula
Buteo jamaicensis,Buteo jamaicensis,2,NA,Buteo jamaicensis,Buteo jamaicensis,Buteo jamaicensis,Buteo jamaicensis,Buteo jamaicensis,Buteo jamaicensis
Buteo lineatus,Buteo lineatus,2,NA,Buteo lineatus,Buteo lineatus,Buteo lineatus,Buteo lineatus,Buteo lineatus,Buteo lineatus
Buteo platypterus,Buteo platypterus,2,NA,Buteo platypterus,Buteo platypterus,Buteo platypterus,Buteo platypterus,Buteo platypterus,Buteo platypterus
Butorides virescens,Butorides virescens,2,NA,Butorides virescens,Butorides virescens,Butorides virescens,Butorides virescens,Butorides virescens,Butorides virescens
Caprimulgus carolinensis,Caprimulgus carolinensis,2,NA,Caprimulgus carolinensis,NA,NA,NA,Caprimulgus carolinensis,Caprimulgus carolinensis
Caprimulgus vociferus,Caprimulgus vociferus,2,NA,Caprimulgus vociferus,NA,NA,NA,Caprimulgus vociferus,Caprimulgus vociferus
Cardinalis cardinalis,Cardinalis cardinalis,2,NA,Cardinalis cardinalis,Cardinalis cardinalis,Cardinalis cardinalis,Cardinalis cardinalis,Cardinalis cardinalis,Cardinalis cardinalis
Carpodacus mexicanus,Carpodacus mexicanus,2,NA,Carpodacus mexicanus,Carpodacus mexicanus,NA,NA,Carpodacus mexicanus,Carpodacus mexicanus
Carpodacus purpureus,Carpodacus purpureus,2,NA,Carpodacus purpureus,Carpodacus purpureus,NA,NA,Carpodacus purpureus,Carpodacus purpureus
Cathartes aura,Cathartes aura,2,NA,Cathartes aura,Cathartes aura,Cathartes aura,Cathartes aura,Cathartes aura,Cathartes aura
Catharus bicknelli,Catharus bicknelli,2,NA,Catharus bicknelli,Catharus bicknelli,Catharus bicknelli,Catharus bicknelli,Catharus bicknelli,Catharus bicknelli
Catharus fuscescens,Catharus fuscescens,2,NA,Catharus fuscescens,Catharus fuscescens,Catharus fuscescens,Catharus fuscescens,Catharus fuscescens,Catharus fuscescens
Catharus guttatus,Catharus guttatus,2,NA,Catharus guttatus,Catharus guttatus,Catharus guttatus,Catharus guttatus,Catharus guttatus,Catharus guttatus
Catharus ustulatus,Catharus ustulatus,2,NA,Catharus ustulatus,Catharus ustulatus,Catharus ustulatus,Catharus ustulatus,Catharus ustulatus,Catharus ustulatus
Certhia americana,Certhia americana,2,NA,Certhia americana,Certhia americana,Certhia americana,Certhia americana,Certhia americana,Certhia americana
Chaetura pelagica,Chaetura pelagica,2,NA,Chaetura pelagica,Chaetura pelagica,Chaetura pelagica,Chaetura pelagica,Chaetura pelagica,Chaetura pelagica
Charadrius melodus,Charadrius melodus,2,NA,Charadrius melodus,Charadrius melodus,Charadrius melodus,Charadrius melodus,Charadrius melodus,Charadrius melodus
Charadrius vociferus,Charadrius vociferus,2,NA,Charadrius vociferus,Charadrius vociferus,Charadrius vociferus,Charadrius vociferus,Charadrius vociferus,Charadrius vociferus
Chlidonias leucopterus,Chlidonias leucopterus,2,NA,Chlidonias leucopterus,Chlidonias leucopterus,Chlidonias leucopterus,Chlidonias leucopterus,Chlidonias leucopterus,Chlidonias leucopterus
Chlidonias niger,Chlidonias niger,2,NA,Chlidonias niger,Chlidonias niger,Chlidonias niger,Chlidonias niger,Chlidonias niger,Chlidonias niger
Chordeiles minor,Chordeiles minor,2,NA,Chordeiles minor,Chordeiles minor,Chordeiles minor,Chordeiles minor,Chordeiles minor,Chordeiles minor
Circus cyaneus,Circus cyaneus,2,NA,Circus cyaneus,Circus cyaneus,Circus cyaneus,NA,Circus cyaneus,Circus cyaneus
Cistothorus palustris,Cistothorus palustris,2,NA,Cistothorus palustris,Cistothorus palustris,Cistothorus palustris,Cistothorus palustris,Cistothorus palustris,Cistothorus palustris
Cistothorus platensis,Cistothorus platensis,2,NA,Cistothorus platensis,Cistothorus platensis,Cistothorus platensis,Cistothorus platensis,Cistothorus platensis,Cistothorus platensis
