original_verbatim_name,name_in_data,wordCount,cellID,submitted_name,Birds of the World,eBird/Clements,American Ornithological Society,GBIF,BirdLife
Acanthis flammea,Acanthis flammea,2,NA,Acanthis flammea,Acanthis flammea,Acanthis flammea,Acanthis flammea,NA,NA
Accipiter badius,Accipiter badius,2,NA,Accipiter badius,Accipiter badius,NA,Accipiter badius,Accipiter badius,Accipiter badius
Accipiter brevipes,Accipiter brevipes,2,NA,Accipiter brevipes,Accipiter brevipes,NA,Accipiter brevipes,Accipiter brevipes,Accipiter brevipes
Accipiter gentilis,Accipiter gentilis,2,NA,Accipiter gentilis,Accipiter gentilis,Accipiter gentilis,Accipiter gentilis,Accipiter gentilis,Accipiter gentilis
Accipiter nisus,Accipiter nisus,2,NA,Accipiter nisus,Accipiter nisus,NA,Accipiter nisus,Accipiter nisus,Accipiter nisus
Acridotheres cristatellus,Acridotheres cristatellus,2,NA,Acridotheres cristatellus,Acridotheres cristatellus,NA,Acridotheres cristatellus,Acridotheres cristatellus,Acridotheres cristatellus
Acridotheres tristis,Acridotheres tristis,2,NA,Acridotheres tristis,Acridotheres tristis,Acridotheres tristis,Acridotheres tristis,Acridotheres tristis,Acridotheres tristis
Acrocephalus agricola,Acrocephalus agricola,2,NA,Acrocephalus agricola,Acrocephalus agricola,NA,Acrocephalus agricola,Acrocephalus agricola,Acrocephalus agricola
Acrocephalus arundinaceus,Acrocephalus arundinaceus,2,NA,Acrocephalus arundinaceus,Acrocephalus arundinaceus,NA,Acrocephalus arundinaceus,Acrocephalus arundinaceus,Acrocephalus arundinaceus
Acrocephalus dumetorum,Acrocephalus dumetorum,2,NA,Acrocephalus dumetorum,Acrocephalus dumetorum,Acrocephalus dumetorum,Acrocephalus dumetorum,Acrocephalus dumetorum,Acrocephalus dumetorum
Acrocephalus melanopogon,Acrocephalus melanopogon,2,NA,Acrocephalus melanopogon,Acrocephalus melanopogon,NA,Acrocephalus melanopogon,Acrocephalus melanopogon,Acrocephalus melanopogon
Acrocephalus paludicola,Acrocephalus paludicola,2,NA,Acrocephalus paludicola,Acrocephalus paludicola,NA,Acrocephalus paludicola,Acrocephalus paludicola,Acrocephalus paludicola
Acrocephalus palustris,Acrocephalus palustris,2,NA,Acrocephalus palustris,Acrocephalus palustris,NA,Acrocephalus palustris,Acrocephalus palustris,Acrocephalus palustris
Acrocephalus schoenobaenus,Acrocephalus schoenobaenus,2,NA,Acrocephalus schoenobaenus,Acrocephalus schoenobaenus,Acrocephalus schoenobaenus,Acrocephalus schoenobaenus,Acrocephalus schoenobaenus,Acrocephalus schoenobaenus
Acrocephalus scirpaceus,Acrocephalus scirpaceus,2,NA,Acrocephalus scirpaceus,Acrocephalus scirpaceus,NA,Acrocephalus scirpaceus,Acrocephalus scirpaceus,Acrocephalus scirpaceus
Actitis hypoleucos,Actitis hypoleucos,2,NA,Actitis hypoleucos,Actitis hypoleucos,Actitis hypoleucos,Actitis hypoleucos,Actitis hypoleucos,Actitis hypoleucos
Actitis macularius,Actitis macularius,2,NA,Actitis macularius,Actitis macularius,Actitis macularius,Actitis macularius,Actitis macularius,Actitis macularius
