original_verbatim_name,name_in_data,wordCount,cellID,submitted_name,Birds of the World,eBird/Clements,American Ornithological Society,GBIF,BirdLife
Accipiter gentilis,Accipiter gentilis,2,NA,Accipiter gentilis,Accipiter gentilis,Accipiter gentilis,Accipiter gentilis,Accipiter gentilis,Accipiter gentilis
Accipiter gularis,Accipiter gularis,2,NA,Accipiter gularis,Accipiter gularis,Accipiter gularis,NA,Accipiter gularis,Accipiter gularis
Accipiter nisus,Accipiter nisus,2,NA,Accipiter nisus,Accipiter nisus,Accipiter nisus,NA,Accipiter nisus,Accipiter nisus
Acridotheres cristatellus,Acridotheres cristatellus,2,NA,Acridotheres cristatellus,Acridotheres cristatellus,Acridotheres cristatellus,NA,Acridotheres cristatellus,Acridotheres cristatellus
Acridotheres tristis,Acridotheres tristis,2,NA,Acridotheres tristis,Acridotheres tristis,Acridotheres tristis,Acridotheres tristis,Acridotheres tristis,Acridotheres tristis
Acrocephalus bistrigiceps,Acrocephalus bistrigiceps,2,NA,Acrocephalus bistrigiceps,Acrocephalus bistrigiceps,Acrocephalus bistrigiceps,NA,Acrocephalus bistrigiceps,Acrocephalus bistrigiceps
Acrocephalus orientalis,Acrocephalus orientalis,2,NA,Acrocephalus orientalis,Acrocephalus orientalis,Acrocephalus orientalis,NA,Acrocephalus orientalis,Acrocephalus orientalis
Actitis hypoleucos,Actitis hypoleucos,2,NA,Actitis hypoleucos,Actitis hypoleucos,Actitis hypoleucos,Actitis hypoleucos,Actitis hypoleucos,Actitis hypoleucos
Aegithalos caudatus,Aegithalos caudatus,2,NA,Aegithalos caudatus,Aegithalos caudatus,Aegithalos caudatus,NA,Aegithalos caudatus,Aegithalos caudatus
Agropsar philippensis,Agropsar philippensis,2,NA,Agropsar philippensis,Agropsar philippensis,Agropsar philippensis,NA,Agropsar philippensis,NA
Aix galericulata,Aix galericulata,2,NA,Aix galericulata,Aix galericulata,Aix galericulata,NA,Aix galericulata,Aix galericulata
Alauda arvensis,Alauda arvensis,2,NA,Alauda arvensis,Alauda arvensis,Alauda arvensis,Alauda arvensis,Alauda arvensis,Alauda arvensis
Alcedo atthis,Alcedo atthis,2,NA,Alcedo atthis,Alcedo atthis,Alcedo atthis,NA,Alcedo atthis,Alcedo atthis
Amaurornis phoenicurus,Amaurornis phoenicurus,2,NA,Amaurornis phoenicurus,Amaurornis phoenicurus,Amaurornis phoenicurus,NA,Amaurornis phoenicurus,Amaurornis phoenicurus
Anas clypeata,Anas clypeata,2,NA,Anas clypeata,Anas clypeata,NA,NA,Anas clypeata,Anas clypeata
Anas crecca,Anas crecca,2,NA,Anas crecca,Anas crecca,Anas crecca,Anas crecca,Anas crecca,Anas crecca
Anas falcata,Anas falcata,2,NA,Anas falcata,Anas falcata,NA,NA,Anas falcata,Anas falcata
Anas platyrhynchos,Anas platyrhynchos,2,NA,Anas platyrhynchos,Anas platyrhynchos,Anas platyrhynchos,Anas platyrhynchos,Anas platyrhynchos,Anas platyrhynchos
Anas strepera,Anas strepera,2,NA,Anas strepera,Anas strepera,NA,NA,Anas strepera,Anas strepera
Anas zonorhyncha,Anas zonorhyncha,2,NA,Anas zonorhyncha,Anas zonorhyncha,Anas zonorhyncha,Anas zonorhyncha,Anas zonorhyncha,Anas zonorhyncha
Anous stolidus,Anous stolidus,2,NA,Anous stolidus,Anous stolidus,Anous stolidus,Anous stolidus,Anous stolidus,Anous stolidus
Anthus hodgsoni,Anthus hodgsoni,2,NA,Anthus hodgsoni,Anthus hodgsoni,Anthus hodgsoni,Anthus hodgsoni,Anthus hodgsoni,Anthus hodgsoni
Apalopteron familiare,Apalopteron familiare,2,NA,Apalopteron familiare,Apalopteron familiare,Apalopteron familiare,NA,Apalopteron familiare,Apalopteron familiare
Apus nipalensis,Apus nipalensis,2,NA,Apus nipalensis,Apus nipalensis,Apus nipalensis,NA,Apus nipalensis,Apus nipalensis
Apus pacificus,Apus pacificus,2,NA,Apus pacificus,Apus pacificus,Apus pacificus,Apus pacificus,Apus pacificus,Apus pacificus
Ardea alba,Ardea alba,2,NA,Ardea alba,Ardea alba,Ardea alba,Ardea alba,Ardea alba,Ardea alba
Ardea cinerea,Ardea cinerea,2,NA,Ardea cinerea,Ardea cinerea,Ardea cinerea,Ardea cinerea,Ardea cinerea,Ardea cinerea
Ardea purpurea,Ardea purpurea,2,NA,Ardea purpurea,Ardea purpurea,Ardea purpurea,Ardea purpurea,Ardea purpurea,Ardea purpurea
Ardeola bacchus,Ardeola bacchus,2,NA,Ardeola bacchus,Ardeola bacchus,Ardeola bacchus,Ardeola bacchus,Ardeola bacchus,Ardeola bacchus
Asio otus,Asio otus,2,NA,Asio otus,Asio otus,Asio otus,Asio otus,Asio otus,Asio otus
Aythya ferina,Aythya ferina,2,NA,Aythya ferina,Aythya ferina,Aythya ferina,Aythya ferina,Aythya ferina,Aythya ferina
Aythya fuligula,Aythya fuligula,2,NA,Aythya fuligula,Aythya fuligula,Aythya fuligula,Aythya fuligula,Aythya fuligula,Aythya fuligula
Bambusicola thoracicus,Bambusicola thoracicus,2,NA,Bambusicola thoracicus,Bambusicola thoracicus,Bambusicola thoracicus,NA,Bambusicola thoracicus,Bambusicola thoracicus
Botaurus stellaris,Botaurus stellaris,2,NA,Botaurus stellaris,Botaurus stellaris,Botaurus stellaris,NA,Botaurus stellaris,Botaurus stellaris
Bubulcus ibis,Bubulcus ibis,2,NA,Bubulcus ibis,Bubulcus ibis,Bubulcus ibis,Bubulcus ibis,Bubulcus ibis,Bubulcus ibis
Butastur indicus,Butastur indicus,2,NA,Butastur indicus,Butastur indicus,Butastur indicus,NA,Butastur indicus,Butastur indicus
Buteo buteo,Buteo buteo,2,NA,Buteo buteo,Buteo buteo,Buteo buteo,NA,Buteo buteo,Buteo buteo
Butorides striata,Butorides striata,2,NA,Butorides striata,Butorides striata,Butorides striata,Butorides striata,Butorides striata,Butorides striata
Calonectris leucomelas,Calonectris leucomelas,2,NA,Calonectris leucomelas,Calonectris leucomelas,Calonectris leucomelas,Calonectris leucomelas,Calonectris leucomelas,Calonectris leucomelas
Caprimulgus indicus,Caprimulgus indicus,2,NA,Caprimulgus indicus,Caprimulgus indicus,Caprimulgus indicus,NA,Caprimulgus indicus,Caprimulgus indicus
Carduelis spinus,Carduelis spinus,2,NA,Carduelis spinus,Carduelis spinus,NA,NA,Carduelis spinus,Carduelis spinus
Cepphus carbo,Cepphus carbo,2,NA,Cepphus carbo,Cepphus carbo,Cepphus carbo,NA,Cepphus carbo,Cepphus carbo
Cerorhinca monocerata,Cerorhinca monocerata,2,NA,Cerorhinca monocerata,Cerorhinca monocerata,Cerorhinca monocerata,Cerorhinca monocerata,Cerorhinca monocerata,Cerorhinca monocerata
Certhia familiaris,Certhia familiaris,2,NA,Certhia familiaris,Certhia familiaris,Certhia familiaris,NA,Certhia familiaris,Certhia familiaris
Cettia diphone,Cettia diphone,2,NA,Cettia diphone,Cettia diphone,NA,NA,Cettia diphone,Cettia diphone
Chalcophaps indica,Chalcophaps indica,2,NA,Chalcophaps indica,Chalcophaps indica,Chalcophaps indica,NA,Chalcophaps indica,Chalcophaps indica
Charadrius alexandrinus,Charadrius alexandrinus,2,NA,Charadrius alexandrinus,Charadrius alexandrinus,Charadrius alexandrinus,NA,Charadrius alexandrinus,Charadrius alexandrinus
Charadrius dubius,Charadrius dubius,2,NA,Charadrius dubius,Charadrius dubius,Charadrius dubius,Charadrius dubius,Charadrius dubius,Charadrius dubius
Charadrius placidus,Charadrius placidus,2,NA,Charadrius placidus,Charadrius placidus,Charadrius placidus,NA,Charadrius placidus,Charadrius placidus
Chloris sinica,Chloris sinica,2,NA,Chloris sinica,Chloris sinica,Chloris sinica,Chloris sinica,Chloris sinica,NA
Ciconia boyciana,Ciconia boyciana,2,NA,Ciconia boyciana,Ciconia boyciana,Ciconia boyciana,NA,Ciconia boyciana,Ciconia boyciana
Cinclus pallasii,Cinclus pallasii,2,NA,Cinclus pallasii,Cinclus pallasii,Cinclus pallasii,NA,Cinclus pallasii,Cinclus pallasii
Circus spilonotus,Circus spilonotus,2,NA,Circus spilonotus,Circus spilonotus,Circus spilonotus,NA,Circus spilonotus,Circus spilonotus
Cisticola juncidis,Cisticola juncidis,2,NA,Cisticola juncidis,Cisticola juncidis,Cisticola juncidis,NA,Cisticola juncidis,Cisticola juncidis
Coccothraustes coccothraustes,Coccothraustes coccothraustes,2,NA,Coccothraustes coccothraustes,Coccothraustes coccothraustes,Coccothraustes coccothraustes,Coccothraustes coccothraustes,Coccothraustes coccothraustes,Coccothraustes coccothraustes
Columba janthina,Columba janthina,2,NA,Columba janthina,Columba janthina,Columba janthina,NA,Columba janthina,Columba janthina
Columba livia,Columba livia,2,NA,Columba livia,Columba livia,Columba livia,Columba livia,Columba livia,Columba livia
Corvus corone,Corvus corone,2,NA,Corvus corone,Corvus corone,Corvus corone,NA,Corvus corone,Corvus corone
Corvus macrorhynchos,Corvus macrorhynchos,2,NA,Corvus macrorhynchos,Corvus macrorhynchos,Corvus macrorhynchos,NA,Corvus macrorhynchos,Corvus macrorhynchos
Cuculus canorus,Cuculus canorus,2,NA,Cuculus canorus,Cuculus canorus,Cuculus canorus,Cuculus canorus,Cuculus canorus,Cuculus canorus
Cuculus micropterus,Cuculus micropterus,2,NA,Cuculus micropterus,Cuculus micropterus,Cuculus micropterus,NA,Cuculus micropterus,Cuculus micropterus
Cuculus optatus,Cuculus optatus,2,NA,Cuculus optatus,Cuculus optatus,Cuculus optatus,Cuculus optatus,Cuculus optatus,Cuculus optatus
Cuculus poliocephalus,Cuculus poliocephalus,2,NA,Cuculus poliocephalus,Cuculus poliocephalus,Cuculus poliocephalus,NA,Cuculus poliocephalus,Cuculus poliocephalus
Cyanopica cyanus,Cyanopica cyanus,2,NA,Cyanopica cyanus,Cyanopica cyanus,Cyanopica cyanus,NA,Cyanopica cyanus,Cyanopica cyanus
Cyanoptila cyanomelana,Cyanoptila cyanomelana,2,NA,Cyanoptila cyanomelana,Cyanoptila cyanomelana,Cyanoptila cyanomelana,NA,Cyanoptila cyanomelana,Cyanoptila cyanomelana
Cygnus olor,Cygnus olor,2,NA,Cygnus olor,Cygnus olor,Cygnus olor,Cygnus olor,Cygnus olor,Cygnus olor
Delichon dasypus,Delichon dasypus,2,NA,Delichon dasypus,Delichon dasypus,Delichon dasypus,NA,Delichon dasypus,Delichon dasypus
Dendrocopos kizuki,Dendrocopos kizuki,2,NA,Dendrocopos kizuki,Dendrocopos kizuki,NA,NA,Dendrocopos kizuki,Dendrocopos kizuki
Dendrocopos leucotos,Dendrocopos leucotos,2,NA,Dendrocopos leucotos,Dendrocopos leucotos,Dendrocopos leucotos,NA,Dendrocopos leucotos,Dendrocopos leucotos
Dendrocopos major,Dendrocopos major,2,NA,Dendrocopos major,Dendrocopos major,Dendrocopos major,Dendrocopos major,Dendrocopos major,Dendrocopos major
Dendrocopos minor,Dendrocopos minor,2,NA,Dendrocopos minor,Dendrocopos minor,NA,NA,Dendrocopos minor,Dendrocopos minor
Dryocopus martius,Dryocopus martius,2,NA,Dryocopus martius,Dryocopus martius,Dryocopus martius,NA,Dryocopus martius,Dryocopus martius
Egretta garzetta,Egretta garzetta,2,NA,Egretta garzetta,Egretta garzetta,Egretta garzetta,Egretta garzetta,Egretta garzetta,Egretta garzetta
Egretta intermedia,Egretta intermedia,2,NA,Egretta intermedia,Egretta intermedia,NA,NA,Egretta intermedia,NA
Egretta sacra,Egretta sacra,2,NA,Egretta sacra,Egretta sacra,Egretta sacra,NA,Egretta sacra,Egretta sacra
Emberiza aureola,Emberiza aureola,2,NA,Emberiza aureola,Emberiza aureola,Emberiza aureola,Emberiza aureola,Emberiza aureola,Emberiza aureola
Emberiza cioides,Emberiza cioides,2,NA,Emberiza cioides,Emberiza cioides,Emberiza cioides,NA,Emberiza cioides,Emberiza cioides
Emberiza elegans,Emberiza elegans,2,NA,Emberiza elegans,Emberiza elegans,Emberiza elegans,Emberiza elegans,Emberiza elegans,Emberiza elegans
Emberiza fucata,Emberiza fucata,2,NA,Emberiza fucata,Emberiza fucata,Emberiza fucata,NA,Emberiza fucata,Emberiza fucata
Emberiza schoeniclus,Emberiza schoeniclus,2,NA,Emberiza schoeniclus,Emberiza schoeniclus,Emberiza schoeniclus,Emberiza schoeniclus,Emberiza schoeniclus,Emberiza schoeniclus
Emberiza spodocephala,Emberiza spodocephala,2,NA,Emberiza spodocephala,Emberiza spodocephala,Emberiza spodocephala,NA,Emberiza spodocephala,Emberiza spodocephala
Emberiza sulphurata,Emberiza sulphurata,2,NA,Emberiza sulphurata,Emberiza sulphurata,Emberiza sulphurata,NA,Emberiza sulphurata,Emberiza sulphurata
Emberiza variabilis,Emberiza variabilis,2,NA,Emberiza variabilis,Emberiza variabilis,Emberiza variabilis,Emberiza variabilis,Emberiza variabilis,Emberiza variabilis
Emberiza yessoensis,Emberiza yessoensis,2,NA,Emberiza yessoensis,Emberiza yessoensis,Emberiza yessoensis,NA,Emberiza yessoensis,Emberiza yessoensis
Eophona migratoria,Eophona migratoria,2,NA,Eophona migratoria,Eophona migratoria,Eophona migratoria,NA,Eophona migratoria,Eophona migratoria
Eophona personata,Eophona personata,2,NA,Eophona personata,Eophona personata,Eophona personata,NA,Eophona personata,Eophona personata
