occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Acanthis flammea","Acanthis flammea (Linnaeus, 1758)","5231630","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Acanthis","Acanthis flammea","Acanthis flammea","(Linnaeus, 1758) ","5231630",
,"Accipiter brevipes","Accipiter brevipes (Severtzov, 1850)","2480578","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter brevipes","Accipiter brevipes","(Severtzov, 1850) ","2480578",
,"Accipiter cooperii","Accipiter cooperii (Bonaparte, 1828)","2480621","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter cooperii","Accipiter cooperii","(Bonaparte, 1828) ","2480621",
,"Accipiter gentilis","Accipiter gentilis (Linnaeus, 1758)","2480589","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter gentilis","Accipiter gentilis","(Linnaeus, 1758) ","2480589",
,"Accipiter gularis","Accipiter gularis (Temminck & Schlegel, 1844)","2480583","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter gularis","Accipiter gularis","(Temminck & Schlegel, 1844) ","2480583",
,"Accipiter nisus","Accipiter nisus (Linnaeus, 1758)","2480637","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter nisus","Accipiter nisus","(Linnaeus, 1758) ","2480637",
,"Accipiter striatus","Accipiter striatus Vieillot, 1808","9740253","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter striatus","Accipiter striatus","Vieillot, 1808","9740253",
,"Acrocephalus agricola","Acrocephalus agricola (Jerdon, 1845)","2493137","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus","Acrocephalus agricola","Acrocephalus agricola","(Jerdon, 1845) ","2493137",
,"Acrocephalus arundinaceus","Acrocephalus arundinaceus (Linnaeus, 1758)","2493128","EXACT","98","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus","Acrocephalus arundinaceus","Acrocephalus arundinaceus","(Linnaeus, 1758) ","2493128",
,"Acrocephalus bistrigiceps","Acrocephalus bistrigiceps Swinhoe, 1860","5231332","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus","Acrocephalus bistrigiceps","Acrocephalus bistrigiceps","Swinhoe, 1860","5231332",
,"Acrocephalus dumetorum","Acrocephalus dumetorum Blyth, 1849","2493145","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus","Acrocephalus dumetorum","Acrocephalus dumetorum","Blyth, 1849","2493145",
,"Acrocephalus melanopogon","Acrocephalus melanopogon (Temminck, 1823)","2493124","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus","Acrocephalus melanopogon","Acrocephalus melanopogon","(Temminck, 1823) ","2493124",
,"Acrocephalus orientalis","Acrocephalus orientalis (Temminck & Schlegel, 1847)","5817100","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus","Acrocephalus orientalis","Acrocephalus orientalis","(Temminck & Schlegel, 1847) ","5817100",
,"Acrocephalus paludicola","Acrocephalus paludicola (Vieillot, 1817)","2493114","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus","Acrocephalus paludicola","Acrocephalus paludicola","(Vieillot, 1817) ","2493114",
,"Acrocephalus palustris","Acrocephalus palustris (Bechstein, 1798)","2493136","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus","Acrocephalus palustris","Acrocephalus palustris","(Bechstein, 1798) ","2493136",
,"Acrocephalus schoenobaenus","Acrocephalus schoenobaenus (Linnaeus, 1758)","2493129","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus","Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","(Linnaeus, 1758) ","2493129",
,"Acrocephalus scirpaceus","Acrocephalus scirpaceus (Hermann, 1804)","2493118","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus","Acrocephalus scirpaceus","Acrocephalus scirpaceus","(Hermann, 1804) ","2493118",
,"Actitis hypoleucos","Actitis hypoleucos (Linnaeus, 1758)","2481800","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Actitis hypoleucos","Actitis hypoleucos","(Linnaeus, 1758) ","2481800",
,"Actitis macularius","Actitis macularius (Linnaeus, 1766)","2481798","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Actitis macularius","Actitis macularius","(Linnaeus, 1766) ","2481798",
,"Aegithalos caudatus","Aegithalos caudatus (Linnaeus, 1758)","2495000","EXACT","97","DOUBTFUL","SPECIES","Animalia","Chordata","Aves","Passeriformes","Aegithalidae","Aegithalos","Aegithalos caudatus","Aegithalos caudatus","(Linnaeus, 1758) ","2495000",
,"Aegolius acadicus","Aegolius acadicus (J.F.Gmelin, 1788)","5232207","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Strigiformes","Strigidae","Aegolius","Aegolius acadicus","Aegolius acadicus","(J.F.Gmelin, 1788) ","5232207",
,"Aegolius funereus","Aegolius funereus (Linnaeus, 1758)","5739298","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Strigiformes","Strigidae","Aegolius","Aegolius funereus","Aegolius funereus","(Linnaeus, 1758) ","5739298",
,"Aegypius monachus","Aegypius monachus (Linnaeus, 1766)","5229165","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aegypius","Aegypius monachus","Aegypius monachus","(Linnaeus, 1766) ","5229165",
,"Agelaius phoeniceus","Agelaius phoeniceus (Linnaeus, 1766)","9409198","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Icteridae","Agelaius","Agelaius phoeniceus","Agelaius phoeniceus","(Linnaeus, 1766) ","9409198",
,"Agropsar philippensis","Agropsar philippensis (J.R.Forster, 1781)","6100939","EXACT","98","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Agropsar","Agropsar philippensis","Agropsar philippensis","(J.R.Forster, 1781) ","6100939",
