"","x"
"1","Carduelis hornemanni"
"2","Accipiter chionogaster"
"3","Acrocephalus baeticatus"
"4","Sturnus philippensis"
"5","Melanocorypha leucoptera"
"6","Calandrella cheleensis"
"7",NA
"8","Anas poecilorhyncha"
"9","Grus virgo"
"10","Aquila fasciatus"
"11","Casmerodius albus"
"12","Bubo scandiaca"
"13","Eremopsaltria mongolicus"
"14","Limicola falcinellus"
"15","Philomachus pugnax"
"16","Hirundo striolata"
"17","Erythropygia galactotes"
"18","Carduelis sinica"
"19","Aquila clanga"
"20","Corvus levaillantii"
"21","Parus cyanus"
"22","Parus teneriffae"
"23","Mesophoyx intermedia"
"24","Dendragapus canadensis"
"25","Sterna nilotica"
"26","Phalacrocorax aristotelis"
"27","Cuculus fugax"
"28","Himantopus mexicanus"
"29","Oceanodroma castro"
"30","Oceanodroma leucorhoa"
"31","Larus minutus"
"32","Sterna caspia"
"33","Ixos amaurotis"
"34","Hippolais caligata"
"35","Hippolais opaca"
"36","Hippolais pallida"
"37","Carduelis flavirostris"
"38","Erithacus akahige"
"39","Erithacus komadori"
"40","Tetrao mlokosiewiczi"
"41","Anas penelope"
"42","Phalacrocorax pygmeus"
"43","Sterna fuscata"
"44","Sturnus roseus"
"45","Pernis ptilorhyncus"
"46","Parus atricapillus"
"47","Parus cinctus"
"48","Parus hudsonicus"
"49","Parus lugubris"
"50","Parus varius"
"51","Pterodroma feae"
"52","Hirundo rupestris"
"53","Stigmatopelia senegalensis"
"54","Carduelis pinus"
"55","Carduelis tristis"
"56","Sturnus cineraceus"
"57","Sterna antillarum"
"58","Strix davidi"
"59","Sylvia althaea"
"60","Sylvia rueppelli"
"61","Sterna sandvicensis"
"62","Catoptrophorus semipalmatus"
"63","Turdus ruficollis"
"64","Porzana pusilla"
