"","verbatim_name","dataset","log_R2_1"
"1","Acanthis flammea","Birds_atlas_EBBA",-0.0010848786049293
"2","Accipiter brevipes","Birds_atlas_EBBA",0
"3","Accipiter cooperii","Birds_Atlas_New_York",0.90158252981675
"4","Accipiter gentilis","Birds_Atlas_Czechia",-0.0247001479295922
"5","Accipiter gentilis","Birds_atlas_EBBA",0
"6","Accipiter gentilis","Birds_atlas_Japan",-0.082012192393554
"7","Accipiter gentilis","Birds_Atlas_New_York",-0.226059499613419
"8","Accipiter gularis","Birds_atlas_Japan",-0.265697838028919
"9","Accipiter nisus","Birds_Atlas_Czechia",0.0458622379873845
"10","Accipiter nisus","Birds_atlas_EBBA",0
"11","Accipiter nisus","Birds_atlas_Japan",-0.868931708389236
"12","Accipiter striatus","Birds_Atlas_New_York",0.516645526309228
"13","Acridotheres cristatellus","Birds_atlas_EBBA",0
"14","Acrocephalus agricola","Birds_atlas_EBBA",0
"15","Acrocephalus arundinaceus","Birds_Atlas_Czechia",0.0581575795490123
"16","Acrocephalus arundinaceus","Birds_atlas_EBBA",-0.00062326811364714
"17","Acrocephalus bistrigiceps","Birds_atlas_Japan",-0.59633050826416
"18","Acrocephalus dumetorum","Birds_atlas_EBBA",0
"19","Acrocephalus melanopogon","Birds_atlas_EBBA",0
"20","Acrocephalus orientalis","Birds_atlas_Japan",0.00299855630441005
"21","Acrocephalus paludicola","Birds_atlas_EBBA",0
"22","Acrocephalus palustris","Birds_Atlas_Czechia",0.060697905878757
"23","Acrocephalus palustris","Birds_atlas_EBBA",0
"24","Acrocephalus schoenobaenus","Birds_Atlas_Czechia",0.197183793405806
"25","Acrocephalus schoenobaenus","Birds_atlas_EBBA",0
"26","Acrocephalus scirpaceus","Birds_Atlas_Czechia",0.0412875076482117
"27","Acrocephalus scirpaceus","Birds_atlas_EBBA",0
"28","Actitis hypoleucos","Birds_Atlas_Czechia",0.00436178571016933
"29","Actitis hypoleucos","Birds_atlas_EBBA",-0.000510711543528636
"30","Actitis hypoleucos","Birds_atlas_Japan",-0.434186479411829
"31","Actitis macularius","Birds_Atlas_New_York",-0.131929514459838
"32","Aegithalos caudatus","Birds_Atlas_Czechia",0.0363760014296008
"33","Aegithalos caudatus","Birds_atlas_EBBA",0
"34","Aegithalos caudatus","Birds_atlas_Japan",-0.0952609640563411
"35","Aegolius acadicus","Birds_Atlas_New_York",0.123689465338014
"36","Aegolius funereus","Birds_Atlas_Czechia",0.471542366470092
"37","Aegolius funereus","Birds_atlas_EBBA",0
"38","Aegypius monachus","Birds_atlas_EBBA",0
"39","Agelaius phoeniceus","Birds_Atlas_New_York",-0.0159406776702542
"40","Agropsar philippensis","Birds_atlas_Japan",0.0828071662800355
"41","Aix galericulata","Birds_atlas_EBBA",0
"42","Aix galericulata","Birds_atlas_Japan",0.269586203727644
"43","Aix sponsa","Birds_atlas_EBBA",0
"44","Aix sponsa","Birds_Atlas_New_York",0.371797431520901
"45","Alauda arvensis","Birds_Atlas_Czechia",-0.00326600935814488
"46","Alauda arvensis","Birds_atlas_EBBA",0
"47","Alauda arvensis","Birds_atlas_Japan",-0.00300844726606135
"48","Alauda leucoptera","Birds_atlas_EBBA",0
"49","Alaudala rufescens","Birds_atlas_EBBA",0
"50","Alca torda","Birds_atlas_EBBA",0
"51","Alcedo atthis","Birds_Atlas_Czechia",0.237952723612848
"52","Alcedo atthis","Birds_atlas_EBBA",0
"53","Alcedo atthis","Birds_atlas_Japan",-0.08787789682163
"54","Alectoris barbara","Birds_atlas_EBBA",0
"55","Alectoris chukar","Birds_atlas_EBBA",0.0110606863538933
"56","Alectoris graeca","Birds_atlas_EBBA",0
"57","Alectoris rufa","Birds_atlas_EBBA",0
"58","Alle alle","Birds_atlas_EBBA",0
"59","Alopochen aegyptiaca","Birds_atlas_EBBA",0
"60","Amandava amandava","Birds_atlas_EBBA",0
"61","Amaurornis phoenicurus","Birds_atlas_Japan",-0.238777872305709
"62","Ammodramus caudacutus","Birds_Atlas_New_York",-0.16578555690676
"63","Ammodramus henslowii","Birds_Atlas_New_York",-1.60348804929205
"64","Ammodramus maritimus","Birds_Atlas_New_York",-0.287713284339052
"65","Ammodramus savannarum","Birds_Atlas_New_York",-0.544170788256649
"66","Anas acuta","Birds_Atlas_Czechia",0.000992090673383979
"67","Anas acuta","Birds_atlas_EBBA",-0.00156320302584531
"68","Anas acuta","Birds_Atlas_New_York",-1.25269327744596
"69","Anas americana","Birds_Atlas_New_York",-0.646860450483645
"70","Anas clypeata","Birds_Atlas_Czechia",-0.0850334114705441
"71","Anas clypeata","Birds_atlas_Japan",-0.698566604415768
"72","Anas clypeata","Birds_Atlas_New_York",0.274414210425644
"73","Anas crecca","Birds_Atlas_Czechia",-0.180130222362953
"74","Anas crecca","Birds_atlas_EBBA",-0.000618386988450086
"75","Anas crecca","Birds_atlas_Japan",-0.197256378445674
"76","Anas crecca","Birds_Atlas_New_York",-0.597716503135712
"77","Anas discors","Birds_Atlas_New_York",-0.995233927450801
"78","Anas falcata","Birds_atlas_Japan",0.39033942083046
"79","Anas platyrhynchos","Birds_Atlas_Czechia",0.0231657585357419
"80","Anas platyrhynchos","Birds_atlas_EBBA",0
"81","Anas platyrhynchos","Birds_atlas_Japan",-0.0117256939816462
"82","Anas platyrhynchos","Birds_Atlas_New_York",0.23701574044259
"83","Anas querquedula","Birds_Atlas_Czechia",0.032125932982107
"84","Anas rubripes","Birds_Atlas_New_York",-0.414539294193266
"85","Anas strepera","Birds_Atlas_Czechia",0.32105383302819
"86","Anas strepera","Birds_atlas_Japan",1.1783528405658
"87","Anas strepera","Birds_Atlas_New_York",0.00889931434099039
"88","Anas zonorhyncha","Birds_atlas_Japan",0.306485299732015
"89","Anous stolidus","Birds_atlas_Japan",0
"90","Anser albifrons","Birds_atlas_EBBA",0
"91","Anser anser","Birds_Atlas_Czechia",0.720339628530981
"92","Anser anser","Birds_atlas_EBBA",0
"93","Anser brachyrhynchus","Birds_atlas_EBBA",0
"94","Anser erythropus","Birds_atlas_EBBA",-0.338693685055876
"95","Anser fabalis","Birds_atlas_EBBA",-0.147077328436084
"96","Anthropoides virgo","Birds_atlas_EBBA",0
"97","Anthus berthelotii","Birds_atlas_EBBA",0
"98","Anthus campestris","Birds_Atlas_Czechia",-0.361933935698617
"99","Anthus campestris","Birds_atlas_EBBA",0.000935201165849898
"100","Anthus cervinus","Birds_atlas_EBBA",-0.042776524316372
"101","Anthus hodgsoni","Birds_atlas_EBBA",-0.19354618197423
"102","Anthus hodgsoni","Birds_atlas_Japan",-0.447629282180392
"103","Anthus petrosus","Birds_atlas_EBBA",0
"104","Anthus pratensis","Birds_Atlas_Czechia",0.036440607967284
"105","Anthus pratensis","Birds_atlas_EBBA",-0.000592725899833298
"106","Anthus spinoletta","Birds_Atlas_Czechia",-0.155443469816212
"107","Anthus spinoletta","Birds_atlas_EBBA",0
"108","Anthus trivialis","Birds_Atlas_Czechia",-0.00810084601349004
"109","Anthus trivialis","Birds_atlas_EBBA",-0.000300651911680808
"110","Apalopteron familiare","Birds_atlas_Japan",0
"111","Apus apus","Birds_Atlas_Czechia",0.0147293564678972
"112","Apus apus","Birds_atlas_EBBA",0.000380293112650342
"113","Apus caffer","Birds_atlas_EBBA",0
"114","Apus nipalensis","Birds_atlas_Japan",-0.770485672987337
"115","Apus pacificus","Birds_atlas_Japan",-0.507211434932342
"116","Apus pallidus","Birds_atlas_EBBA",0
"117","Apus unicolor","Birds_atlas_EBBA",0
"118","Aquila adalberti","Birds_atlas_EBBA",0
"119","Aquila chrysaetos","Birds_atlas_EBBA",0
"120","Aquila chrysaetos","Birds_Atlas_New_York",0.11777239575503
"121","Aquila fasciata","Birds_atlas_EBBA",0.00377081255326859
"122","Aquila heliaca","Birds_atlas_EBBA",0
"123","Aquila nipalensis","Birds_atlas_EBBA",0
"124","Aquila pomarina","Birds_Atlas_Czechia",0.0717998866340549
"125","Archilochus colubris","Birds_Atlas_New_York",0.18995679083768
"126","Ardea alba","Birds_atlas_EBBA",0
"127","Ardea alba","Birds_atlas_Japan",0.443035567727092
"128","Ardea alba","Birds_Atlas_New_York",0.535123602969968
"129","Ardea cinerea","Birds_Atlas_Czechia",0.460172085561732
"130","Ardea cinerea","Birds_atlas_EBBA",0
"131","Ardea cinerea","Birds_atlas_Japan",0.206377502798409
"132","Ardea herodias","Birds_Atlas_New_York",0.184115967950378
