"","dataset","tp","cell_grouping","scale","verbatim_name","Total_area","Total_Ncells","occupancy_area","occupancy_Ncells","AOO","relative_occupancy_area","relative_occupancy_Ncells","mean_area","total_SR_atlas"
"1","Birds_Atlas_Czechia",1,"1",0.015625,"Accipiter gentilis",90569.1442272689,678,77122.3816667135,577,77122.3816667135,0.85153042269216,0.851032448377581,133.660973425847,204
"2","Birds_Atlas_Czechia",2,"1",0.015625,"Accipiter gentilis",90569.1442272689,678,75240.7810005811,563,75240.7810005811,0.830755127947067,0.830383480825959,133.642595027675,200
"3","Birds_Atlas_Czechia",1,"1",0.015625,"Accipiter nisus",90569.1442272689,678,76442.6679247639,572,76442.6679247639,0.844025507549714,0.843657817109145,133.641027840496,204
"4","Birds_Atlas_Czechia",2,"1",0.015625,"Accipiter nisus",90569.1442272689,678,80030.1356172906,599,80030.1356172906,0.883635771322601,0.883480825958702,133.606236422856,200
"5","Birds_Atlas_Czechia",2,"1",0.015625,"Acrocephalus arundinaceus",90569.1442272689,678,33714.376461846,252,33714.376461846,0.372250138272756,0.371681415929204,133.787208181929,200
"6","Birds_Atlas_Czechia",1,"1",0.015625,"Acrocephalus palustris",90569.1442272689,678,72444.8406020999,542,72444.8406020999,0.799884344941044,0.799410029498525,133.66206753155,204
"7","Birds_Atlas_Czechia",2,"1",0.015625,"Acrocephalus palustris",90569.1442272689,678,76978.284214406,576,76978.2842144061,0.849939401229643,0.849557522123894,133.642854538899,200
"8","Birds_Atlas_Czechia",1,"1",0.015625,"Acrocephalus scirpaceus",90569.1442272689,678,57987.2558985154,434,57987.2558985154,0.640253989294694,0.640117994100295,133.611188706257,204
"9","Birds_Atlas_Czechia",2,"1",0.015625,"Acrocephalus scirpaceus",90569.1442272689,678,60431.5166784961,452,60431.5166784961,0.667241776369806,0.666666666666667,133.698045748885,200
"10","Birds_Atlas_Czechia",1,"1",0.015625,"Aegithalos caudatus",90569.1442272689,678,76161.0406773723,570,76161.0406773723,0.840915980019181,0.84070796460177,133.615860837495,204
"11","Birds_Atlas_Czechia",2,"1",0.015625,"Aegithalos caudatus",90569.1442272689,678,78982.4800359817,591,78982.4800359817,0.87206830438618,0.871681415929204,133.642098199631,200
"12","Birds_Atlas_Czechia",2,"1",0.015625,"Aegolius funereus",90569.1442272689,678,31263.2648347628,234,31263.2648347628,0.345186709022143,0.345132743362832,133.603695875055,200
"13","Birds_Atlas_Czechia",1,"1",0.015625,"Alauda arvensis",90569.1442272689,678,83776.3804420608,627,83776.3804420608,0.924999139131063,0.924778761061947,133.614641853367,204
"14","Birds_Atlas_Czechia",2,"1",0.015625,"Alauda arvensis",90569.1442272689,678,83503.2123271748,625,83503.2123271748,0.921983011318256,0.921828908554572,133.60513972348,200
"15","Birds_Atlas_Czechia",1,"1",0.015625,"Alcedo atthis",90569.1442272689,678,53216.1430257142,398,53216.1430257142,0.587574758266201,0.587020648967552,133.708902074659,204
"16","Birds_Atlas_Czechia",2,"1",0.015625,"Alcedo atthis",90569.1442272689,678,67512.6180352925,505,67512.6180352925,0.745426255390912,0.744837758112094,133.688352545134,200
"17","Birds_Atlas_Czechia",1,"1",0.015625,"Anas platyrhynchos",90569.1442272689,678,79503.3055729725,595,79503.3055729725,0.877818889107217,0.877581120943953,133.619000962979,204
"18","Birds_Atlas_Czechia",2,"1",0.015625,"Anas platyrhynchos",90569.1442272689,678,81366.5584600616,609,81366.5584600616,0.898391600740813,0.898230088495575,133.606828341645,200
"19","Birds_Atlas_Czechia",1,"1",0.015625,"Anthus pratensis",90569.1442272689,678,43145.8752662181,323,43145.8752662181,0.476386032288771,0.476401179941003,133.578561195722,204
"20","Birds_Atlas_Czechia",2,"1",0.015625,"Anthus pratensis",90569.1442272689,678,44747.1354482215,335,44747.1354482215,0.494066007027026,0.494100294985251,133.573538651407,200
"21","Birds_Atlas_Czechia",1,"1",0.015625,"Anthus trivialis",90569.1442272689,678,81375.0125339691,609,81375.0125339691,0.898484944605101,0.898230088495575,133.620710236402,204
"22","Birds_Atlas_Czechia",2,"1",0.015625,"Anthus trivialis",90569.1442272689,678,80718.4689576899,604,80718.4689576899,0.891235857933467,0.890855457227139,133.639849267698,200
"23","Birds_Atlas_Czechia",1,"1",0.015625,"Apus apus",90569.1442272689,678,80692.9590531526,604,80692.9590531526,0.890954195732119,0.890855457227139,133.597614326412,204
"24","Birds_Atlas_Czechia",2,"1",0.015625,"Apus apus",90569.1442272689,678,81890.3108749582,613,81890.3108749582,0.904174501963576,0.904129793510325,133.589414151645,200
"25","Birds_Atlas_Czechia",1,"1",0.015625,"Ardea cinerea",90569.1442272689,678,33597.7524642663,251,33597.7524642663,0.370962459134626,0.370206489675516,133.855587507037,204
"26","Birds_Atlas_Czechia",2,"1",0.015625,"Ardea cinerea",90569.1442272689,678,53230.4850427246,398,53230.4850427246,0.58773311260567,0.587020648967552,133.744937293278,200
"27","Birds_Atlas_Czechia",1,"1",0.015625,"Asio otus",90569.1442272689,678,66550.1953967013,498,66550.1953967013,0.734799869917111,0.734513274336283,133.634930515464,204
"28","Birds_Atlas_Czechia",2,"1",0.015625,"Asio otus",90569.1442272689,678,65790.0085688291,492,65790.0085688291,0.726406428261479,0.725663716814159,133.719529611441,200
"29","Birds_Atlas_Czechia",2,"1",0.015625,"Athene noctua",90569.1442272689,678,22440.2678603893,168,22440.2678603893,0.247769458923881,0.247787610619469,133.573022978508,200
"30","Birds_Atlas_Czechia",1,"1",0.015625,"Aythya ferina",90569.1442272689,678,51874.6040612137,388,51874.6040612137,0.572762440274832,0.572271386430678,133.697433147458,204
"31","Birds_Atlas_Czechia",1,"1",0.015625,"Aythya fuligula",90569.1442272689,678,58944.919931912,441,58944.919931912,0.650827833638343,0.650442477876106,133.661949958984,204
"32","Birds_Atlas_Czechia",2,"1",0.015625,"Aythya fuligula",90569.1442272689,678,60017.199706213,449,60017.199706213,0.662667183379909,0.662241887905605,133.668596227646,200
"33","Birds_Atlas_Czechia",2,"1",0.015625,"Bubo bubo",90569.1442272689,678,53027.5747587652,397,53027.5747587652,0.585492721734247,0.585545722713864,133.570717276487,200
"34","Birds_Atlas_Czechia",1,"1",0.015625,"Buteo buteo",90569.1442272689,678,83775.5539576502,627,83775.5539576502,0.924990013678706,0.924778761061947,133.613323696412,204
"35","Birds_Atlas_Czechia",2,"1",0.015625,"Buteo buteo",90569.1442272689,678,83637.6186350999,626,83637.6186350999,0.923467030065169,0.92330383480826,133.606419544888,200
"36","Birds_Atlas_Czechia",1,"1",0.015625,"Carduelis cannabina",90569.1442272689,678,77264.4168536936,578,77264.4168536936,0.853098674089388,0.852507374631268,133.675461684591,204
"37","Birds_Atlas_Czechia",2,"1",0.015625,"Carduelis cannabina",90569.1442272689,678,80453.7317989868,602,80453.7317989868,0.888312818735495,0.887905604719764,133.644072755792,200
"38","Birds_Atlas_Czechia",1,"1",0.015625,"Carduelis carduelis",90569.1442272689,678,82574.9219459483,618,82574.9219459483,0.911733489926101,0.911504424778761,133.616378553314,204
"39","Birds_Atlas_Czechia",2,"1",0.015625,"Carduelis carduelis",90569.1442272689,678,83242.5956917449,623,83242.5956917449,0.919105468004212,0.918879056047198,133.615723421741,200
"40","Birds_Atlas_Czechia",1,"1",0.015625,"Carduelis chloris",90569.1442272689,678,83773.6403648837,627,83773.6403648837,0.92496888514997,0.924778761061947,133.610271714328,204
"41","Birds_Atlas_Czechia",2,"1",0.015625,"Carduelis chloris",90569.1442272689,678,83907.5085275841,628,83907.5085275841,0.926446962080502,0.926253687315634,133.610682368764,200
"42","Birds_Atlas_Czechia",1,"1",0.015625,"Carduelis spinus",90569.1442272689,678,61436.4825205458,460,61436.4825205458,0.678337893602933,0.678466076696165,133.557570696839,204
"43","Birds_Atlas_Czechia",2,"1",0.015625,"Carduelis spinus",90569.1442272689,678,63157.9309055104,473,63157.9309055104,0.697344900897216,0.6976401179941,133.526280984166,200
"44","Birds_Atlas_Czechia",2,"1",0.015625,"Carpodacus erythrinus",90569.1442272689,678,16552.3306808308,124,16552.3306808308,0.182759049144766,0.182890855457227,133.486537748636,200
"45","Birds_Atlas_Czechia",1,"1",0.015625,"Certhia brachydactyla",90569.1442272689,678,54380.5037897241,407,54380.5037897241,0.600430800729053,0.600294985250737,133.613031424384,204
"46","Birds_Atlas_Czechia",2,"1",0.015625,"Certhia brachydactyla",90569.1442272689,678,58253.7311040904,436,58253.7311040904,0.643196218768634,0.64306784660767,133.609475009382,200
"47","Birds_Atlas_Czechia",1,"1",0.015625,"Certhia familiaris",90569.1442272689,678,74156.2531602768,555,74156.2531602768,0.818780543782035,0.81858407079646,133.614870559057,204
"48","Birds_Atlas_Czechia",2,"1",0.015625,"Certhia familiaris",90569.1442272689,678,79392.5359801583,594,79392.5359801583,0.876595850137828,0.876106194690266,133.657467980064,200
"49","Birds_Atlas_Czechia",1,"1",0.015625,"Charadrius dubius",90569.1442272689,678,48252.1743479482,361,48252.1743479482,0.532766150763963,0.532448377581121,133.662532819801,204
"50","Birds_Atlas_Czechia",2,"1",0.015625,"Charadrius dubius",90569.1442272689,678,50118.0474744593,375,50118.0474744593,0.553367793215491,0.553097345132743,133.648126598558,200
"51","Birds_Atlas_Czechia",1,"1",0.015625,"Ciconia ciconia",90569.1442272689,678,57424.4137309623,429,57424.4137309623,0.6340394868573,0.632743362831858,133.856442263315,204
"52","Birds_Atlas_Czechia",2,"1",0.015625,"Ciconia ciconia",90569.1442272689,678,60236.5190879,450,60236.5190879001,0.665088751824198,0.663716814159292,133.858931306445,200
"53","Birds_Atlas_Czechia",1,"1",0.015625,"Ciconia nigra",90569.1442272689,678,52175.0278774683,390,52175.0278774683,0.576079506134488,0.575221238938053,133.782122762739,204
"54","Birds_Atlas_Czechia",2,"1",0.015625,"Ciconia nigra",90569.1442272689,678,66007.6257763218,494,66007.6257763218,0.728809202510363,0.728613569321534,133.618675660571,200
"55","Birds_Atlas_Czechia",1,"1",0.015625,"Cinclus cinclus",90569.1442272689,678,52106.6632675343,390,52106.6632675343,0.57532467279122,0.575221238938053,133.606828891114,204
"56","Birds_Atlas_Czechia",2,"1",0.015625,"Cinclus cinclus",90569.1442272689,678,54212.5981132441,406,54212.5981132441,0.598576905808077,0.59882005899705,133.528566781389,200
"57","Birds_Atlas_Czechia",1,"1",0.015625,"Circus aeruginosus",90569.1442272689,678,49704.9936183463,372,49704.9936183463,0.54880714665493,0.548672566371681,133.615574242866,204
"58","Birds_Atlas_Czechia",2,"1",0.015625,"Circus aeruginosus",90569.1442272689,678,66175.0854607848,495,66175.0854607848,0.730658173105059,0.730088495575221,133.687041334919,200
"59","Birds_Atlas_Czechia",1,"1",0.015625,"Coccothraustes coccothraustes",90569.1442272689,678,72943.4217486915,546,72943.4217486915,0.805389322942609,0.805309734513274,133.596010528739,204
"60","Birds_Atlas_Czechia",2,"1",0.015625,"Coccothraustes coccothraustes",90569.1442272689,678,78978.9166972827,591,78978.9166972827,0.872028960537572,0.871681415929204,133.63606886173,200
"61","Birds_Atlas_Czechia",1,"1",0.015625,"Columba livia",90569.1442272689,678,65436.0006302256,490,65436.0006302256,0.722497724677893,0.722713864306785,133.542858429032,204
"62","Birds_Atlas_Czechia",2,"1",0.015625,"Columba livia",90569.1442272689,678,66255.2103277118,496,66255.2103277118,0.731542854832048,0.731563421828909,133.579053080064,200
"63","Birds_Atlas_Czechia",2,"1",0.015625,"Columba oenas",90569.1442272689,678,58018.9661737648,434,58018.9661737648,0.640604111574417,0.640117994100295,133.684253856601,200
"64","Birds_Atlas_Czechia",1,"1",0.015625,"Columba palumbus",90569.1442272689,678,82579.5382030329,618,82579.5382030329,0.911784459349783,0.911504424778761,133.623848224972,204
"65","Birds_Atlas_Czechia",2,"1",0.015625,"Columba palumbus",90569.1442272689,678,83640.336698462,626,83640.336698462,0.923497040985392,0.92330383480826,133.610761499141,200
"66","Birds_Atlas_Czechia",1,"1",0.015625,"Corvus corax",90569.1442272689,678,37784.1159936253,284,37784.1159936253,0.417185304288755,0.418879056047198,133.042661949385,204
"67","Birds_Atlas_Czechia",2,"1",0.015625,"Corvus corax",90569.1442272689,678,75628.9619980792,566,75628.9619980792,0.83504114611374,0.834808259587021,133.620074201553,200
"68","Birds_Atlas_Czechia",1,"1",0.015625,"Corvus corone",90569.1442272689,678,78978.3502605841,591,78978.3502605841,0.872022706346882,0.871681415929204,133.635110424,204
"69","Birds_Atlas_Czechia",2,"1",0.015625,"Corvus corone",90569.1442272689,678,76962.9937994892,576,76962.9937994892,0.849770575355806,0.849557522123894,133.616308679669,200
"70","Birds_Atlas_Czechia",1,"1",0.015625,"Corvus monedula",90569.1442272689,678,53459.9083726757,400,53459.9083726757,0.590266241652086,0.589970501474926,133.649770931689,204
"71","Birds_Atlas_Czechia",2,"1",0.015625,"Corvus monedula",90569.1442272689,678,38076.0822156883,285,38076.0822156883,0.420408987415652,0.420353982300885,133.600288476099,200
"72","Birds_Atlas_Czechia",2,"1",0.015625,"Coturnix coturnix",90569.1442272689,678,78443.281162437,587,78443.281162437,0.866114854365809,0.865781710914454,133.634209816758,200
"73","Birds_Atlas_Czechia",2,"1",0.015625,"Crex crex",90569.1442272689,678,51661.6880436278,387,51661.6880436278,0.570411573217375,0.570796460176991,133.492733962862,200
"74","Birds_Atlas_Czechia",1,"1",0.015625,"Cuculus canorus",90569.1442272689,678,82705.4933909887,619,82705.4933909887,0.913175166847689,0.912979351032448,133.611459436169,204
"75","Birds_Atlas_Czechia",2,"1",0.015625,"Cuculus canorus",90569.1442272689,678,83373.6791759452,624,83373.6791759452,0.920552798497601,0.920353982300885,133.611665346066,200
"76","Birds_Atlas_Czechia",1,"1",0.015625,"Cygnus olor",90569.1442272689,678,60107.1875586707,450,60107.1875586707,0.663660765170103,0.663716814159292,133.571527908157,204
"77","Birds_Atlas_Czechia",2,"1",0.015625,"Cygnus olor",90569.1442272689,678,60026.1097750416,449,60026.1097750416,0.662765562015422,0.662241887905605,133.688440478935,200
"78","Birds_Atlas_Czechia",1,"1",0.015625,"Delichon urbica",90569.1442272689,678,83774.4580168468,627,83774.4580168468,0.92497791308073,0.924778761061947,133.611575784445,204
"79","Birds_Atlas_Czechia",2,"1",0.015625,"Delichon urbica",90569.1442272689,678,83769.8042246978,627,83769.8042246978,0.924926529221595,0.924778761061947,133.604153468418,200
"80","Birds_Atlas_Czechia",1,"1",0.015625,"Dendrocopos major",90569.1442272689,678,83108.7228208416,622,83108.7228208416,0.917627339089056,0.91740412979351,133.615310001353,204
"81","Birds_Atlas_Czechia",2,"1",0.015625,"Dendrocopos major",90569.1442272689,678,83775.279356609,627,83775.279356609,0.924986981729542,0.924778761061947,133.612885736218,200
"82","Birds_Atlas_Czechia",2,"1",0.015625,"Dendrocopos minor",90569.1442272689,678,66417.3532648897,497,66417.3532648897,0.733333121689059,0.733038348082596,133.636525683883,200
"83","Birds_Atlas_Czechia",2,"1",0.015625,"Dryocopus martius",90569.1442272689,678,80043.4505891446,599,80043.4505891446,0.88378278576077,0.883480825958702,133.628465090392,200
"84","Birds_Atlas_Czechia",1,"1",0.015625,"Emberiza citrinella",90569.1442272689,678,83907.5085275841,628,83907.5085275841,0.926446962080502,0.926253687315634,133.610682368764,204
"85","Birds_Atlas_Czechia",2,"1",0.015625,"Emberiza citrinella",90569.1442272689,678,83907.5085275841,628,83907.5085275841,0.926446962080502,0.926253687315634,133.610682368764,200
"86","Birds_Atlas_Czechia",1,"1",0.015625,"Emberiza schoeniclus",90569.1442272689,678,61775.624819179,462,61775.624819179,0.682082461375178,0.68141592920354,133.713473634587,204
"87","Birds_Atlas_Czechia",2,"1",0.015625,"Emberiza schoeniclus",90569.1442272689,678,66869.6554030159,500,66869.6554030159,0.738327119832524,0.737463126843658,133.739310806032,200
"88","Birds_Atlas_Czechia",1,"1",0.015625,"Erithacus rubecula",90569.1442272689,678,83244.9953734393,623,83244.9953734393,0.919131963580767,0.918879056047198,133.619575238265,204
"89","Birds_Atlas_Czechia",2,"1",0.015625,"Erithacus rubecula",90569.1442272689,678,83774.4578903555,627,83774.4578903555,0.924977911684103,0.924778761061947,133.611575582704,200
