"","verbatim_name","global_moran","p_value","tp","dataset","neighbor_method","mean_area","mean_area_cropped"
"1","Ardea cinerea",0.112998479745286,2.37118884904598e-08,1,"Birds_Atlas_Czechia","contiguity",133.610682368764,124.633850425396
"2","Ciconia nigra",0.197244744051467,1.32230236654201e-21,1,"Birds_Atlas_Czechia","contiguity",133.610682368764,124.633850425396
"3","Ciconia ciconia",0.241978973009124,1.80743911185759e-31,1,"Birds_Atlas_Czechia","contiguity",133.610682368764,124.633850425396
"4","Cygnus olor",0.346456334343975,3.74350266726063e-62,1,"Birds_Atlas_Czechia","contiguity",133.610682368764,124.633850425396
"5","Anas platyrhynchos",0.178804915905756,1.54360265324542e-18,1,"Birds_Atlas_Czechia","contiguity",133.610682368764,124.633850425396
"6","Aythya ferina",0.319333220831288,4.19281166461446e-53,1,"Birds_Atlas_Czechia","contiguity",133.610682368764,124.633850425396
"7","Aythya fuligula",0.297370044698976,2.12992922547655e-46,1,"Birds_Atlas_Czechia","contiguity",133.610682368764,124.633850425396
"8","Circus aeruginosus",0.310508022513441,2.49352998137955e-50,1,"Birds_Atlas_Czechia","contiguity",133.610682368764,124.633850425396
"9","Accipiter gentilis",0.0472634461063455,0.00949725978435079,1,"Birds_Atlas_Czechia","contiguity",133.610682368764,124.633850425396
"10","Accipiter nisus",0.0235847485847486,0.113565930322626,1,"Birds_Atlas_Czechia","contiguity",133.610682368764,124.633850425396
"11","Buteo buteo",-0.00131958684590263,0.0780936852409919,1,"Birds_Atlas_Czechia","contiguity",133.610682368764,124.633850425396
"12","Falco tinnunculus",0.00331948539265613,0.403950351664198,1,"Birds_Atlas_Czechia","contiguity",133.610682368764,124.633850425396
"13","Phasianus colchicus",0.200413998102354,1.31922711062809e-22,1,"Birds_Atlas_Czechia","contiguity",133.610682368764,124.633850425396
"14","Gallinula chloropus",0.248689385496579,4.14461040884679e-33,1,"Birds_Atlas_Czechia","contiguity",133.610682368764,124.633850425396
"15","Fulica atra",0.384448575664569,4.05923003271203e-76,1,"Birds_Atlas_Czechia","contiguity",133.610682368764,124.633850425396
"16","Charadrius dubius",0.1192210024371,4.28415225099461e-09,1,"Birds_Atlas_Czechia","contiguity",133.610682368764,124.633850425396
"17","Vanellus vanellus",0.168886167118849,1.57781023390207e-16,1,"Birds_Atlas_Czechia","contiguity",133.610682368764,124.633850425396
