"","verbatim_name","global_moran","x_intercept","tp","dataset","mean_area","mean_area_cropped","increment","mean_cellside","increment2"
"1","Egretta garzetta",-0.00141160635879423,0,1,"Birds_Atlas_Czechia",133.610682368764,124.633850425396,15,11.5590087104719,17.3385130657078
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,17.3385130657078
"207","Aquila heliaca",0.131132625236399,44.3765452638955,2,"Birds_Atlas_Czechia",133.610682368764,124.633850425396,15,11.5590087104719,17.3385130657078
"420","Laterallus jamaicensis",-0.000201676798261304,0,1,"Birds_Atlas_New_York",25.0069316195643,23.8410454418147,7.5,5.00069311391574,7.50103967087361
"421",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.50103967087361
"662","Somateria mollissima",0.129611009794025,156.266215261872,2,"Birds_Atlas_New_York",25.0069520172767,23.8408561706193,7.5,5.00069515340385,7.50104273010577
"663",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.50104273010577
"910","Motacilla flava",-0.00103779785835535,0,1,"Birds_atlas_Japan",410.000931915394,320.808358692415,30,20.2484797433139,30.3727196149709
"911",NA,NA,NA,NA,NA,NA,NA,NA,NA,30.3727196149709
"1131","Cerorhinca monocerata",-0.000244543765305373,0,2,"Birds_atlas_Japan",410.037746182275,320.828642117996,30,20.2493887853998,30.3740831780997
"1132",NA,NA,NA,NA,NA,NA,NA,NA,NA,30.3740831780997
"1358","Calidris melanotos",0.148576709491651,59.7647634440085,1,"Birds_atlas_EBBA",2573.34816390503,2156.12371157235,75,50.7281791897268,76.0922687845902
"1359",NA,NA,NA,NA,NA,NA,NA,NA,NA,76.0922687845902
"1869","Emberiza pallasi",0.718939405988385,1218.99324004735,2,"Birds_atlas_EBBA",2569.15831204628,2159.3798701776,75,50.686865281316,76.030297921974
"1870",NA,NA,NA,NA,NA,NA,NA,NA,NA,76.030297921974
