sp_atlas.adapted1;RL_Category
Acanthis flammea;LC
Acanthis flammea;LC
Acanthis flammea;LC
Acanthis flammea;LC
Acanthis flammea;LC
Accipiter brevipes;LC
Accipiter cooperii;LC
Accipiter gentilis;LC
Accipiter gularis;LC
Accipiter nisus;LC
Accipiter striatus;LC
Accipiter striatus;LC
Accipiter striatus;LC
Accipiter striatus;LC
Acridotheres cristatellus;LC
Acrocephalus agricola;LC
Acrocephalus arundinaceus;LC
Acrocephalus arundinaceus;LC
Acrocephalus bistrigiceps;LC
Acrocephalus dumetorum;LC
Acrocephalus melanopogon;LC
Acrocephalus orientalis;LC
Acrocephalus paludicola;VU
Acrocephalus palustris;LC
Acrocephalus schoenobaenus;LC
Acrocephalus scirpaceus;LC
Acrocephalus scirpaceus;LC
Actitis hypoleucos;LC
Actitis macularius;LC
Aegithalos caudatus;LC
Aegithalos caudatus;LC
Aegolius acadicus;LC
Aegolius funereus;LC
Aegypius monachus;NT
Agelaius phoeniceus;LC
Agropsar philippensis;LC
Aix galericulata;LC
Aix sponsa;LC
Alauda arvensis;LC
Alauda arvensis;LC
Alauda leucoptera;LC
Alaudala rufescens;LC
Alaudala rufescens;LC
Alca torda;LC
Alcedo atthis;LC
Alectoris barbara;LC
Alectoris chukar;LC
Alectoris graeca;NT
Alectoris rufa;NT
Alle alle;LC
Alopochen aegyptiaca;LC
Amandava amandava;LC
Amaurornis phoenicurus;LC
Ammodramus caudacutus;#N/A
Ammodramus henslowii;#N/A
Ammodramus maritimus;#N/A
Ammodramus savannarum;LC
Anas acuta;LC
Anas americana;#N/A
Anas clypeata;#N/A
Anas crecca;LC
Anas crecca;LC
Anas crecca;LC
Anas discors;#N/A
Anas falcata;#N/A
Anas platyrhynchos;LC
Anas querquedula;#N/A
Anas rubripes;LC
Anas strepera;#N/A
Anas zonorhyncha;LC
Anous stolidus;LC
Anser albifrons;LC
Anser anser;LC
Anser brachyrhynchus;LC
Anser erythropus;VU
Anser fabalis;LC
Anser fabalis;LC
Anthropoides virgo;LC
Anthus berthelotii;LC
Anthus campestris;LC
Anthus cervinus;LC
Anthus hodgsoni;LC
Anthus petrosus;LC
Anthus pratensis;LC
Anthus spinoletta;LC
Anthus trivialis;LC
Apalopteron familiare;NT
Apus apus;LC
Apus caffer;LC
Apus nipalensis;LC
Apus pacificus;LC
Apus pallidus;LC
Apus unicolor;LC
Aquila adalberti;VU
Aquila chrysaetos;LC
Aquila fasciata;LC
Aquila heliaca;VU
Aquila nipalensis;EN
Aquila pomarina;#N/A
Archilochus colubris;LC
Ardea alba;LC
Ardea cinerea;LC
Ardea herodias;LC
Ardea herodias;LC
Ardea herodias;LC
Ardea intermedia;LC
Ardea purpurea;LC
Ardeola ralloides;LC
Arenaria interpres;LC
Asio flammeus;LC
Asio otus;LC
Athene noctua;LC
Aythya affinis;LC
Aythya americana;LC
Aythya collaris;LC
Aythya ferina;VU
Aythya fuligula;LC
Aythya marila;LC
Aythya nyroca;NT
Aythya valisineria;LC
Baeolophus bicolor;LC
Bambusicola thoracicus;LC
Bambusicola thoracicus;LC
Bartramia longicauda;LC
Bombycilla cedrorum;LC
Bombycilla garrulus;LC
Bonasa bonasia;#N/A
Bonasa umbellus;LC
Botaurus lentiginosus;LC
Botaurus stellaris;LC
Branta bernicla;LC
Branta canadensis;LC
Branta leucopsis;LC
Bubo bubo;LC
Bubo scandiacus;VU
Bubo virginianus;LC
Bubo virginianus;LC
Bubulcus ibis;LC
Bucanetes githagineus;LC
Bucanetes mongolicus;LC
Bucephala clangula;LC
Bucephala islandica;LC
Bulweria bulwerii;LC
Burhinus oedicnemus;LC
Burhinus oedicnemus;LC
Butastur indicus;LC
Buteo buteo;LC
Buteo buteo;LC
Buteo buteo;LC
Buteo buteo;LC
Buteo buteo;LC
Buteo buteo;LC
Buteo buteo;LC
Buteo buteo;LC
Buteo buteo;LC
Buteo jamaicensis;LC
Buteo lagopus;LC
Buteo lineatus;LC
Buteo platypterus;LC
Buteo rufinus;LC
Butorides striata;LC
Butorides striata;LC
Butorides virescens;#N/A
Calandrella brachydactyla;LC
Calandrella brachydactyla;LC
Calcarius lapponicus;LC
Calidris alba;LC
Calidris alpina;LC
Calidris canutus;NT
Calidris falcinellus;LC
Calidris maritima;LC
Calidris melanotos;LC
Calidris minuta;LC
Calidris pugnax;LC
Calidris temminckii;LC
Calliope calliope;LC
Callipepla californica;LC
Calonectris borealis;LC
Calonectris diomedea;LC
Calonectris diomedea;LC
Calonectris diomedea;LC
Calonectris leucomelas;NT
Caprimulgus carolinensis;#N/A
Caprimulgus europaeus;LC
Caprimulgus indicus;LC
Caprimulgus indicus;LC
Caprimulgus indicus;LC
Caprimulgus ruficollis;NT
Caprimulgus vociferus;#N/A
Caprimulgus vociferus;#N/A
Cardinalis cardinalis;LC
Carduelis cannabina;#N/A
Carduelis carduelis;LC
Carduelis carduelis;LC
Carduelis chloris;#N/A
Carduelis citrinella;LC
Carduelis corsicana;LC
Carduelis flammea;#N/A
Carduelis flammea;#N/A
Carduelis flammea;#N/A
Carduelis spinus;#N/A
Carpodacus erythrinus;LC
Carpodacus mexicanus;#N/A
Carpodacus purpureus;#N/A
Carpodacus rubicilla;LC
Catharacta skua;LC
Cathartes aura;LC
Catharus bicknelli;VU
Catharus fuscescens;LC
Catharus guttatus;LC
Catharus ustulatus;LC
Catharus ustulatus;LC
Catharus ustulatus;LC
Cecropis daurica;LC
Cecropis daurica;LC
Cepphus carbo;LC
Cepphus grylle;LC
Cercotrichas galactotes;LC
Cerorhinca monocerata;LC
Certhia americana;LC
Certhia brachydactyla;LC
Certhia familiaris;LC
Cettia cetti;LC
Cettia diphone;#N/A
Chaetura pelagica;VU
Chalcophaps indica;LC
Chalcophaps indica;LC
Chalcophaps indica;LC
Charadrius alexandrinus;LC
Charadrius alexandrinus;LC
Charadrius alexandrinus;LC
Charadrius asiaticus;LC
Charadrius dubius;LC
Charadrius hiaticula;LC
Charadrius leschenaultii;LC
Charadrius melodus;NT
Charadrius morinellus;#N/A
Charadrius placidus;LC
Charadrius vociferus;LC
Chersophilus duponti;VU
Chlidonias hybrida;LC
Chlidonias leucopterus;LC
Chlidonias niger;LC
Chloris chloris;LC
Chloris sinica;LC
Chordeiles minor;LC
Chrysolophus amherstiae;LC
Chrysolophus pictus;LC
Ciconia ciconia;LC
Ciconia nigra;LC
Cinclus cinclus;LC
Cinclus pallasii;LC
Circaetus gallicus;LC
Circus aeruginosus;LC
Circus cyaneus;LC
Circus cyaneus;LC
Circus macrourus;NT
Circus pygargus;LC
Circus spilonotus;LC
Circus spilonotus;LC
Circus spilonotus;LC
Cisticola juncidis;LC
Cistothorus palustris;LC
Cistothorus platensis;LC
Cistothorus platensis;LC
Clamator glandarius;LC
Clanga clanga;VU
Clanga pomarina;LC
Clangula hyemalis;VU
Coccothraustes coccothraustes;LC
Coccothraustes vespertinus;#N/A
Coccyzus americanus;LC
Coccyzus erythropthalmus;LC
Colaptes auratus;LC
Colaptes auratus;LC
Colaptes auratus;LC
Colaptes auratus;LC
Colinus virginianus;NT
Columba janthina;NT
Columba livia;LC
Columba oenas;LC
Columba palumbus;LC
Columba trocaz;LC
Contopus cooperi;NT
Contopus virens;LC
Coracias garrulus;LC
Corvus brachyrhynchos;LC
Corvus corax;LC
Corvus corone;LC
Corvus corone;LC
Corvus corone;LC
Corvus frugilegus;LC
Corvus macrorhynchos;LC
Corvus macrorhynchos;LC
Corvus monedula;LC
Corvus ossifragus;LC
Coturnix coturnix;LC
Crex crex;LC
Cuculus canorus;LC
Cuculus micropterus;LC
Cuculus optatus;LC
Cuculus poliocephalus;LC
Cuculus saturatus;LC
Cuculus saturatus;LC
Cyanecula svecica;#N/A
Cyanistes caeruleus;LC
Cyanistes cyanus;LC
Cyanistes teneriffae;LC
Cyanocitta cristata;LC
Cyanopica cooki;LC
Cyanopica cyanus;LC
Cyanopica cyanus;LC
Cyanopica cyanus;LC
Cyanoptila cyanomelana;LC
Cyanoptila cyanomelana;LC
Cyanoptila cyanomelana;LC
Cygnus columbianus;LC
Cygnus cygnus;LC
Cygnus olor;LC
Delichon dasypus;LC
Delichon urbicum;LC
Delichon urbicum;LC
Delichon urbicum;LC
Delichon urbicum;LC
Dendrocopos kizuki;#N/A
Dendrocopos leucotos;LC
Dendrocopos leucotos;LC
Dendrocopos major;LC
Dendrocopos medius;#N/A
Dendrocopos minor;#N/A
Dendrocopos noguchii;CR
Dendrocopos syriacus;LC
Dendroica caerulescens;#N/A
Dendroica castanea;#N/A
Dendroica cerulea;#N/A
Dendroica coronata;#N/A
Dendroica coronata;#N/A
Dendroica coronata;#N/A
Dendroica discolor;#N/A
Dendroica dominica;#N/A
Dendroica dominica;#N/A
Dendroica fusca;#N/A
Dendroica magnolia;#N/A
Dendroica palmarum;#N/A
Dendroica pensylvanica;#N/A
Dendroica petechia;#N/A
Dendroica pinus;#N/A
Dendroica striata;#N/A
Dendroica tigrina;#N/A
Dendroica virens;#N/A
Dolichonyx oryzivorus;LC
Dryobates minor;LC
Dryocopus martius;LC
Dryocopus pileatus;#N/A
Dumetella carolinensis;LC
Egretta caerulea;LC
Egretta garzetta;LC
Egretta sacra;LC
Egretta thula;LC
Egretta tricolor;LC
Elanus caeruleus;LC
Emberiza aureola;CR
Emberiza bruniceps;LC
Emberiza caesia;LC
Emberiza calandra;LC
Emberiza cia;LC
Emberiza cineracea;NT
Emberiza cioides;LC
Emberiza cirlus;LC
Emberiza citrinella;LC
Emberiza fucata;LC
Emberiza hortulana;LC
Emberiza melanocephala;LC
Emberiza pallasi;LC
Emberiza pusilla;LC
Emberiza rustica;VU
Emberiza schoeniclus;LC
Emberiza spodocephala;LC
Emberiza spodocephala;LC
Emberiza sulphurata;LC
Emberiza variabilis;LC
Emberiza yessoensis;NT
Empidonax alnorum;LC
Empidonax flaviventris;LC
Empidonax minimus;LC
Empidonax traillii;LC
Empidonax virescens;LC
Eophona personata;LC
Eremophila alpestris;LC
Erithacus rubecula;LC
Estrilda astrild;LC
Estrilda melpoda;LC
Eudromias morinellus;LC
Euphagus carolinus;VU
Eurystomus orientalis;LC
Falcipennis canadensis;#N/A
Falco biarmicus;LC
Falco cherrug;EN
Falco columbarius;LC
Falco eleonorae;LC
Falco naumanni;LC
Falco peregrinus;LC
Falco peregrinus;LC
Falco rusticolus;LC
Falco sparverius;LC
Falco subbuteo;LC
Falco tinnunculus;LC
Falco tinnunculus;LC
Falco vespertinus;VU
Ficedula albicollis;LC
Ficedula hypoleuca;LC
Ficedula hypoleuca;LC
Ficedula narcissina;LC
Ficedula narcissina;LC
Ficedula narcissina;LC
Ficedula parva;LC
Ficedula semitorquata;LC
Francolinus francolinus;LC
Fratercula arctica;VU
Fringilla coelebs;LC
Fringilla montifringilla;LC
Fulica americana;LC
Fulica americana;LC
Fulica atra;LC
Fulica cristata;LC
Fulmarus glacialis;LC
Galerida cristata;LC
Galerida theklae;LC
Gallinago delicata;LC
Gallinago gallinago;LC
Gallinago gallinago;LC
Gallinago gallinago;LC
Gallinago hardwickii;NT
Gallinago media;NT
Gallinago stenura;LC
Gallinula chloropus;LC
Gallinula chloropus;LC
Gallirallus okinawae;#N/A
Garrulax canorus;LC
Garrulus glandarius;LC
Garrulus glandarius;LC
Garrulus glandarius;LC
Garrulus glandarius;LC
Garrulus lidthi;VU
Gavia arctica;LC
Gavia immer;LC
Gavia stellata;LC
Gelochelidon nilotica;LC
Geothlypis trichas;LC
Glareola maldivarum;LC
Glareola nordmanni;NT
Glareola pratincola;LC
Glaucidium passerinum;LC
Gorsachius goisagi;VU
Grus grus;LC
Grus japonensis;VU
Gulosus aristotelis;LC
Gypaetus barbatus;NT
Gyps fulvus;LC
Haematopus ostralegus;NT
Haematopus palliatus;LC
Halcyon coromanda;LC
Haliaeetus albicilla;LC
Haliaeetus leucocephalus;LC
Helmitheros vermivorum;LC
Hieraaetus pennatus;LC
Hierococcyx hyperythrus;LC
Himantopus himantopus;LC
Himantopus himantopus;LC
Himantopus himantopus;LC
Hippolais icterina;LC
Hippolais olivetorum;LC
Hippolais polyglotta;LC
Hirundapus caudacutus;LC
Hirundo daurica;#N/A
Hirundo daurica;#N/A
Hirundo rustica;LC
Hirundo tahitica;LC
Hirundo tahitica;LC
Histrionicus histrionicus;LC
Hydrobates castro;LC
Hydrobates leucorhous;VU
Hydrobates pelagicus;LC
Hydrocoloeus minutus;LC
Hydroprogne caspia;LC
Hydroprogne caspia;LC
Hylocichla mustelina;LC
Hypsipetes amaurotis;LC
Icteria virens;LC
Icterus galbula;LC
Icterus spurius;LC
Icterus spurius;LC
Iduna caligata;LC
Iduna opaca;LC
Iduna pallida;LC
Ixobrychus cinnamomeus;LC
Ixobrychus exilis;LC
Ixobrychus minutus;LC
Ixobrychus minutus;LC
Ixobrychus sinensis;LC
Junco hyemalis;LC
Jynx torquilla;LC
Lagopus lagopus;LC
Lagopus muta;LC
Lanius bucephalus;LC
Lanius collurio;LC
Lanius cristatus;LC
Lanius excubitor;LC
Lanius excubitor;LC
Lanius ludovicianus;NT
Lanius meridionalis;VU
Lanius minor;LC
Lanius nubicus;LC
Lanius senator;NT
Lanius tigrinus;LC
Larus argentatus;LC
Larus argentatus;LC
Larus argentatus;LC
Larus armenicus;LC
Larus audouinii;VU
Larus cachinnans;LC
Larus canus;LC
Larus crassirostris;LC
Larus delawarensis;LC
Larus fuscus;LC
Larus genei;LC
Larus hyperboreus;LC
Larus ichthyaetus;LC
Larus marinus;LC
Larus melanocephalus;LC
Larus michahellis;LC
Larus ridibundus;LC
Larus schistisagus;LC
Larvivora akahige;LC
Larvivora komadori;NT
Laterallus jamaicensis;EN
Leiopicus medius;LC
Leiothrix lutea;LC
Leucophaeus atricilla;#N/A
Limosa lapponica;NT
Limosa limosa;NT
Linaria cannabina;LC
Linaria flavirostris;LC
Locustella fasciolata;#N/A
Locustella fasciolata;#N/A
Locustella fasciolata;#N/A
Locustella fluviatilis;LC
Locustella lanceolata;LC
Locustella luscinioides;LC
Locustella naevia;LC
Locustella ochotensis;#N/A
Locustella pleskei;#N/A
