"","x"
"1","Accipiter brevipes"
"2","Acridotheres melanopterus"
"3","Aegolius funereus"
"4","Aepypodius bruijnii"
"5","Agelastes meleagrides"
"6","Aix sponsa"
"7","Alauda razae"
"8","Saucerottia beryllina"
"9","Chrysuronia coeruleogularis"
"10","Saucerottia cyanura"
"11","Chrysuronia lilliae"
"12","Leucolia violiceps"
"13","Amazona arausiaca"
"14","Amazona auropalliata"
"15","Amazona barbadensis"
"16","Amazona collaria"
"17","Amazona viridigenalis"
"18","Amazona xantholora"
"19","Ammospiza leconteii"
"20","Amphispiza bilineata"
"21","Anas aucklandica"
"22","Anas rubripes"
"23","Androphobus viridis"
"24","Anser caerulescens"
"25","Anser rossii"
"26","Anthracoceros marchei"
"27","Anthropoides paradiseus"
"28","Anthus antarcticus"
"29","Anthus hoeschi"
"30","Anthus pratensis"
"31","Antrostomus vociferus"
"32","Apalis fuscigularis"
"33","Aquila adalberti"
"34","Ara glaucogularis"
"35","Ara rubrogenys"
"36","Aramides axillaris"
"37","Arcanator orostruthus"
"38","Archilochus alexandri"
"39","Archilochus colubris"
"40","Ardenna gravis"
"41","Ardeola idae"
"42","Artemisiospiza belli"
"43","Artemisiospiza nevadensis"
"44","Asio clamator"
"45","Asio otus"
"46","Asthenes berlepschi"
"47","Asthenes heterura"
"48","Asthenes huancavelicae"
"49","Asthenes urubambensis"
"50","Atlapetes melanopsis"
"51","Aythya affinis"
"52","Aythya americana"
"53","Aythya collaris"
"54","Aythya valisineria"
"55","Batrachostomus stellatus"
"56","Bolborhynchus ferrugineifrons"
"57","Bombycilla cedrorum"
"58","Bonasa umbellus"
"59","Bostrychia bocagei"
"60","Bradypterus graueri"
"61","Branta bernicla"
"62","Branta hutchinsii"
"63","Branta sandvicensis"
"64","Brotogeris pyrrhoptera"
"65","Buteo buteo"
"66","Buteo galapagoensis"
"67","Buteo japonicus"
"68","Buteo rufinus"
"69","Cacatua citrinocristata"
"70","Cacatua ophthalmica"
"71","Calamospiza melanocorys"
"72","Calcarius pictus"
"73","Calendulauda africanoides"
"74","Callipepla douglasii"
"75","Callonetta leucophrys"
"76","Calothorax lucifer"
"77","Calothorax pulcher"
"78","Calypte costae"
"79","Calyptophilus tertius"
"80","Campylopterus calcirupicola"
"81","Campylopterus diamantinensis"
"82","Campylopterus largipennis"
"83","Campylorhamphus multostriatus"
"84","Campylorhynchus albobrunneus"
"85","Campylorhynchus capistratus"
"86","Campylorhynchus chiapensis"
"87","Campylorhynchus gularis"
"88","Campylorhynchus humilis"
"89","Campylorhynchus rufinucha"
"90","Campylorhynchus zonatus"
"91","Cardellina canadensis"
"92","Cardellina pusilla"
"93","Catharus aurantiirostris"
"94","Catharus frantzii"
"95","Catharus guttatus"
"96","Catharus minimus"
"97","Catharus swainsoni"
"98","Ceblepyris cucullatus"
"99","Cephalopterus glabricollis"
"100","Certhia americana"
"101","Ceyx fallax"
"102","Chaetocercus bombus"
"103","Chaetops frenatus"
"104","Chaetura fumosa"
"105","Chlamydotis macqueenii"
"106","Chlorostilbon assimilis"
"107","Chondestes grammacus"
"108","Cichlopsis gularis"
"109","Cinclodes palliatus"
"110","Cinclus mexicanus"
"111","Cinnyris loveridgei"
"112","Circaetus beaudouini"
"113","Circaetus gallicus"
"114","Circaetus pectoralis"
"115","Circus aeruginosus"
"116","Circus cyaneus"
"117","Circus macrourus"
"118","Circus maurus"
"119","Circus melanoleucos"
"120","Circus pygargus"
"121","Circus spilonotus"
"122","Cistothorus apolinari"
"123","Cistothorus palustris"
"124","Clamator glandarius"
"125","Clanga clanga"
"126","Clanga pomarina"
"127","Coccyzus americanus"
"128","Coccyzus erythropthalmus"
"129","Coeligena phalerata"
"130","Colaptes fernandinae"
"131","Colibri delphinae"
"132","Colinus cristatus"
"133","Colinus nigrogularis"
"134","Columba malherbii"
"135","Columba thomensis"
"136","Conirostrum binghami"
"137","Conopophaga cearae"
"138","Contopus sordidulus"
"139","Contopus virens"
"140","Copsychus sechellarum"
"141","Coturnicops noveboracensis"
"142","Crax fasciolata"
"143","Crithagra leucoptera"
"144","Crotophaga sulcirostris"
"145","Cuculus optatus"
"146","Cuculus saturatus"
"147","Cyanerpes cyaneus"
"148","Cynanthus latirostris"
"149","Phaeoptila sordida"
"150","Cypseloides niger"
"151","Deltarhynchus flammulatus"
"152","Dendrocygna autumnalis"
"153","Diglossa baritula"
"154","Doricha eliza"
"155","Drymophila hellmayri"
"156","Ducula aenea"
"157","Ducula bakeri"
"158","Ducula bicolor"
"159","Ducula brenchleyi"
"160","Ducula nicobarica"
"161","Ducula rosacea"
"162","Ducula subflavescens"
"163","Dysithamnus plumbeus"
"164","Elaenia frantzii"
"165","Eleothreptus anomalus"
"166","Emberiza cineracea"
"167","Emberizoides duidae"
"168","Empidonax albigularis"
"169","Empidonax alnorum"
"170","Empidonax flavescens"
"171","Empidonax fulvifrons"
"172","Empidonax hammondii"
"173","Empidonax minimus"
"174","Empidonax oberholseri"
"175","Empidonax occidentalis"
"176","Empidonax traillii"
"177","Empidonax virescens"
"178","Empidonax wrightii"
"179","Eubucco glaucogularis"
"180","Eudocimus albus"
"181","Eulipoa wallacei"
"182","Eupherusa poliocerca"
"183","Eurochelidon sirintarae"
"184","Falco amurensis"
"185","Falco biarmicus"
"186","Falco cherrug"
"187","Falco columbarius"
"188","Falco concolor"
"189","Falco severus"
"190","Falco tinnunculus"
"191","Falco vespertinus"
"192","Fluvicola pica"
"193","Foudia aldabrana"
"194","Gallinago media"
"195","Geokichla crossleyi"
"196","Geokichla guttata"
"197","Geospiza heliobates"
"198","Geospiza pallida"
"199","Geothlypis beldingi"
"200","Geothlypis formosa"
"201","Geothlypis philadelphia"
"202","Geothlypis tolmiei"
"203","Geothlypis trichas"
"204","Glareola nordmanni"
"205","Glareola ocularis"
"206","Glaucidium brodiei"
"207","Glaucidium sylvaticum"
"208","Glaucis aeneus"
"209","Glaucis dohrnii"
"210","Goura scheepmakeri"
"211","Grus japonensis"
"212","Gyps rueppelli"
"213","Gyps tenuirostris"
"214","Haematopus moquini"
"215","Haliaeetus leucoryphus"
"216","Hapalopsittaca amazonina"
"217","Hapalopsittaca fuertesi"
"218","Hapalopsittaca pyrrhops"
"219","Harpia harpyja"
"220","Hartertula flavoviridis"
"221","Hedydipna pallidigaster"
"222","Herpsilochmus stotzi"
"223","Hirundo megaensis"
"224","Hylopezus auricularis"
"225","Hylophilus flavipes"
"226","Hylopsar cupreocauda"
"227","Icteria virens"
"228","Icterus northropi"
"229","Indicator pumilio"
"230","Ixoreus naevius"
"231","Klais guimeti"
"232","Knipolegus franciscanus"
"233","Lampornis clemenciae"
"234","Laniarius brauni"
"235","Laterallus jamaicensis"
"236","Legatus leucophaius"
"237","Leiothlypis celata"
"238","Leiothlypis luciae"
"239","Leiothlypis peregrina"
"240","Leiothlypis ruficapilla"
"241","Leiothlypis virginiae"
"242","Lepidothrix iris"
"243","Lepidothrix vilasboasi"
"244","Leptotila wellsi"
"245","Locustella accentor"
"246","Lophodytes cucullatus"
"247","Lophornis delattrei"
"248","Lophornis gouldii"
"249","Lorius chlorocercus"
"250","Macrocephalon maleo"
"251","Malaconotus gladiator"
"252","Malaconotus lagdeni"
"253","Malimbus ballmanni"
"254","Manacus aurantiacus"
"255","Mareca americana"
"256","Megapodius bernsteinii"
"257","Megapodius cumingii"
"258","Megapodius freycinet"
"259","Megapodius geelvinkianus"
"260","Megapodius laperouse"
"261","Melanerpes superciliaris"
"262","Melanitta americana"
"263","Melanopareia maranonica"
"264","Melanoperdix niger"
"265","Melignomon eisentrauti"
"266","Mellisuga helenae"
"267","Melospiza georgiana"
"268","Melospiza lincolnii"
"269","Melospiza melodia"
"270","Merops mentalis"
"271","Merulaxis stresemanni"
"272","Metopothrix aurantiaca"
"273","Micrathene whitneyi"
"274","Microcarbo coronatus"
"275","Milvus aegyptius"
"276","Mirafra somalica"
"277","Mitrephanes phaeocercus"
"278","Mitu tuberosum"
"279","Mniotilta varia"
"280","Molothrus armenti"
"281","Myadestes townsendi"
"282","Myiarchus cinerascens"
"283","Myiarchus crinitus"
"284","Myiodynastes luteiventris"
"285","Myzomela chermesina"
"286","Neomorphus geoffroyi"
"287","Neopelma aurifrons"
"288","Neophron percnopterus"
"289","Nesospiza wilkinsi"
"290","Nisaetus nipalensis"
"291","Nomonyx dominicus"
"292","Nystactes noanamae"
"293","Ochthoeca salvini"
"294","Odontophorus dialeucos"
"295","Odontophorus gujanensis"
"296","Oporornis agilis"
"297","Oreotrochilus adela"
"298","Oreotrochilus cyanolaemus"
"299","Otidiphaps insularis"
"300","Otus insularis"
"301","Otus scops"
"302","Oxypogon stuebelii"
"303","Oxyura maccoa"
"304","Pachyramphus major"
"305","Palmeria dolei"
"306","Paradisornis rudolphi"
"307","Parkesia motacilla"
"308","Parkesia noveboracensis"
"309","Passerella arborea"
"310","Passerella iliaca"
"311","Patagioenas cayennensis"
"312","Patagioenas subvinacea"
"313","Pelecanus onocrotalus"
"314","Penelope ochrogaster"
"315","Penelope perspicax"
"316","Penelope pileata"
"317","Penelope purpurascens"
"318","Penelope superciliaris"
"319","Pernis ptilorhynchus"
"320","Peucaea cassinii"
"321","Phaethornis anthophilus"
"322","Phalaenoptilus nuttallii"
"323","Pheugopedius fasciatoventris"
"324","Pheugopedius felix"
"325","Philortyx fasciatus"
"326","Phoenicopterus ruber"
"327","Phylloscartes ceciliae"
"328","Pipile cujubi"
"329","Pipilo chlorurus"
"330","Pipilo erythrophthalmus"
"331","Pipilo maculatus"
"332","Ploceus bannermani"
"333","Ploceus megarhynchus"
"334","Ploceus nicolli"
"335","Ploceus ruweti"
"336","Ploceus subpersonatus"
"337","Podilymbus podiceps"
"338","Arizelospar femoralis"
"339","Poliolais lopezi"
"340","Polystictus pectoralis"
"341","Poospiza garleppi"
"342","Primolius couloni"
"343","Procnias tricarunculatus"
"344","Protonotaria citrea"
"345","Pselliophorus luteoviridis"
"346","Pseudastur polionotus"
"347","Pseudocolopteryx dinelliana"
"348","Psittacara erythrogenys"
"349","Psittacara frontatus"
"350","Psittacara wagleri"
"351","Psophia crepitans"
"352","Ptilinopus rarotongensis"
"353","Puffinus subalaris"
"354","Pyrilia pyrilia"
"355","Pyrocephalus rubinus"
"356","Pyrrhura albipectus"
"357","Pyrrhura caeruleiceps"
"358","Pyrrhura pfrimeri"
"359","Rallus antarcticus"
"360","Rallus elegans"
"361","Rallus madagascariensis"
"362","Rallus semiplumbeus"
"363","Ramphastos sulfuratus"
"364","Ramphodon naevius"
"365","Recurvirostra americana"
"366","Recurvirostra avosetta"
"367","Corthylio calendula"
"368","Rhegmatorhina hoffmannsi"
"369","Rheinardia nigrescens"
"370","Rheinardia ocellata"
"371","Rhynchophanes mccownii"
"372","Rhynchopsitta pachyrhyncha"
"373","Rollulus rouloul"
"374","Rynchops flavirostris"
"375","Salpinctes obsoletus"
"376","Sarothrura ayresi"
"377","Sayornis nigricans"
"378","Sayornis phoebe"
"379","Scepomycter winifredae"
"380","Scolopax rochussenii"
"381","Scytalopus alvarezlopezi"
"382","Scytalopus canus"
"383","Scytalopus gettyae"
"384","Scytalopus latebricola"
"385","Scytalopus panamensis"
"386","Scytalopus perijanus"
"387","Seiurus aurocapilla"
"388","Selasphorus calliope"
"389","Selasphorus sasin"
"390","Setophaga americana"
"391","Setophaga caerulescens"
"392","Setophaga castanea"
"393","Setophaga citrina"
"394","Setophaga discolor"
"395","Setophaga dominica"
"396","Setophaga fusca"
"397","Setophaga graciae"
"398","Setophaga magnolia"
"399","Setophaga nigrescens"
"400","Setophaga occidentalis"
"401","Setophaga palmarum"
"402","Setophaga pensylvanica"
"403","Setophaga petechia"
"404","Setophaga pinus"
"405","Setophaga ruticilla"
"406","Setophaga tigrina"
"407","Setophaga townsendi"
"408","Setophaga virens"
"409","Sheppardia gunningi"
"410","Sheppardia montana"
"411","Sialia mexicana"
"412","Sialia sialis"
"413","Siphonorhis brewsteri"
"414","Sitta ledanti"
"415","Spatula cyanoptera"
"416","Spatula discors"
"417","Spinus siemiradzkii"
"418","Spizella atrogularis"
"419","Spizella breweri"
"420","Spizella pallida"
"421","Spizella passerina"
"422","Spizella pusilla"
"423","Sporophila corvina"
"424","Sporophila nigrorufa"
"425","Sporophila torqueola"
"426","Steatornis caripensis"
"427","Sternula balaenarum"
"428","Strix butleri"
"429","Strix nebulosa"
"430","Surnia ulula"
"431","Synallaxis beverlyae"
"432","Synallaxis hypochondriaca"
"433","Synallaxis zimmeri"
"434","Sypheotides indicus"
"435","Tachybaptus dominicus"
"436","Talegalla cuvieri"
"437","Tangara abbas"
"438","Terenura sicki"
"439","Thryomanes bewickii"
"440","Thryophilus nicefori"
"441","Thryorchilus browni"
"442","Tinamus major"
"443","Todirostrum nigriceps"
"444","Touit costaricensis"
"445","Treron chloropterus"
"446","Treron psittaceus"
"447","Treron sanctithomae"
"448","Troglodytes hiemalis"
"449","Troglodytes pacificus"
"450","Trogon elegans"
"451","Tropicoperdix charltonii"
"452","Tropicoperdix chloropus"
"453","Tropicoperdix graydoni"
