"","AtlasSp","ScientificName"
"1","Accipiter gentilis","Accipiter gentilis"
"2","Accipiter nisus","Accipiter nisus"
"3","Acrocephalus arundinaceus","Acrocephalus arundinaceus"
"4","Acrocephalus palustris","Acrocephalus palustris"
"5","Acrocephalus scirpaceus","Acrocephalus scirpaceus"
"6","Aegithalos caudatus","Aegithalos caudatus"
"7","Aegolius funereus","Aegolius funereus"
"8","Alauda arvensis","Alauda arvensis"
"9","Alcedo atthis","Alcedo atthis"
"10","Anas platyrhynchos","Anas platyrhynchos"
"11","Anthus pratensis","Anthus pratensis"
"12","Anthus trivialis","Anthus trivialis"
"13","Apus apus","Apus apus"
"14","Ardea cinerea","Ardea cinerea"
"15","Asio otus","Asio otus"
"16","Athene noctua","Athene noctua"
"17","Aythya ferina","Aythya ferina"
"18","Aythya fuligula","Aythya fuligula"
"19","Bubo bubo","Bubo bubo"
"20","Buteo buteo","Buteo buteo"
"21","Carduelis carduelis","Carduelis carduelis"
"22","Carpodacus erythrinus","Carpodacus erythrinus"
"23","Certhia brachydactyla","Certhia brachydactyla"
"24","Certhia familiaris","Certhia familiaris"
"25","Charadrius dubius","Charadrius dubius"
"26","Ciconia ciconia","Ciconia ciconia"
"27","Ciconia nigra","Ciconia nigra"
"28","Cinclus cinclus","Cinclus cinclus"
"29","Circus aeruginosus","Circus aeruginosus"
"30","Coccothraustes coccothraustes","Coccothraustes coccothraustes"
"31","Columba livia","Columba livia"
"32","Columba oenas","Columba oenas"
"33","Columba palumbus","Columba palumbus"
"34","Corvus corax","Corvus corax"
"35","Corvus corone","Corvus corone"
"36","Corvus monedula","Corvus monedula"
"37","Coturnix coturnix","Coturnix coturnix"
"38","Crex crex","Crex crex"
"39","Cuculus canorus","Cuculus canorus"
"40","Cygnus olor","Cygnus olor"
"41","Dendrocopos major","Dendrocopos major"
"42","Dryocopus martius","Dryocopus martius"
"43","Emberiza citrinella","Emberiza citrinella"
"44","Emberiza schoeniclus","Emberiza schoeniclus"
"45","Erithacus rubecula","Erithacus rubecula"
"46","Falco tinnunculus","Falco tinnunculus"
"47","Ficedula albicollis","Ficedula albicollis"
"48","Ficedula hypoleuca","Ficedula hypoleuca"
"49","Ficedula parva","Ficedula parva"
"50","Fringilla coelebs","Fringilla coelebs"
"51","Fulica atra","Fulica atra"
"52","Gallinago gallinago","Gallinago gallinago"
"53","Gallinula chloropus","Gallinula chloropus"
"54","Garrulus glandarius","Garrulus glandarius"
"55","Glaucidium passerinum","Glaucidium passerinum"
"56","Haliaeetus albicilla","Haliaeetus albicilla"
"57","Hippolais icterina","Hippolais icterina"
"58","Hirundo rustica","Hirundo rustica"
"59","Jynx torquilla","Jynx torquilla"
"60","Lanius collurio","Lanius collurio"
"61","Larus ridibundus","Larus ridibundus"
"62","Locustella fluviatilis","Locustella fluviatilis"
"63","Locustella naevia","Locustella naevia"
"64","Loxia curvirostra","Loxia curvirostra"
"65","Lullula arborea","Lullula arborea"
"66","Milvus milvus","Milvus milvus"
"67","Motacilla alba","Motacilla alba"
"68","Motacilla cinerea","Motacilla cinerea"
"69","Muscicapa striata","Muscicapa striata"
"70","Nucifraga caryocatactes","Nucifraga caryocatactes"
"71","Parus major","Parus major"
"72","Passer domesticus","Passer domesticus"
"73","Passer montanus","Passer montanus"
"74","Phasianus colchicus","Phasianus colchicus"
"75","Phoenicurus ochruros","Phoenicurus ochruros"
"76","Phoenicurus phoenicurus","Phoenicurus phoenicurus"
"77","Phylloscopus collybita","Phylloscopus collybita"
"78","Phylloscopus sibilatrix","Phylloscopus sibilatrix"
"79","Phylloscopus trochilus","Phylloscopus trochilus"
"80","Pica pica","Pica pica"
"81","Picus canus","Picus canus"
"82","Picus viridis","Picus viridis"
"83","Podiceps cristatus","Podiceps cristatus"
"84","Prunella modularis","Prunella modularis"
"85","Pyrrhula pyrrhula","Pyrrhula pyrrhula"
"86","Rallus aquaticus","Rallus aquaticus"
"87","Regulus regulus","Regulus regulus"
"88","Saxicola rubetra","Saxicola rubetra"
"89","Serinus serinus","Serinus serinus"
"90","Sitta europaea","Sitta europaea"
"91","Streptopelia decaocto","Streptopelia decaocto"
"92","Streptopelia turtur","Streptopelia turtur"
"93","Strix aluco","Strix aluco"
"94","Sturnus vulgaris","Sturnus vulgaris"
"95","Sylvia atricapilla","Sylvia atricapilla"
"96","Sylvia borin","Sylvia borin"
"97","Tachybaptus ruficollis","Tachybaptus ruficollis"
"98","Troglodytes troglodytes","Troglodytes troglodytes"
"99","Turdus merula","Turdus merula"
"100","Turdus philomelos","Turdus philomelos"
"101","Turdus pilaris","Turdus pilaris"
"102","Turdus viscivorus","Turdus viscivorus"
"103","Vanellus vanellus","Vanellus vanellus"
"104","Actitis hypoleucos","Actitis hypoleucos"
"105","Caprimulgus europaeus","Caprimulgus europaeus"
"106","Falco peregrinus","Falco peregrinus"
"107","Grus grus","Grus grus"
"108","Oriolus oriolus","Oriolus oriolus"
"109","Scolopax rusticola","Scolopax rusticola"
"110","Tyto alba","Tyto alba"
"111","Circus pygargus","Circus pygargus"
"112","Lanius excubitor","Lanius excubitor"
"113","Milvus migrans","Milvus migrans"
"114","Oenanthe oenanthe","Oenanthe oenanthe"
"115","Perdix perdix","Perdix perdix"
"116","Pernis apivorus","Pernis apivorus"
"117","Circus cyaneus","Circus cyaneus"
"118","Luscinia megarhynchos","Luscinia megarhynchos"
"119","Remiz pendulinus","Remiz pendulinus"
"120","Tringa ochropus","Tringa ochropus"
"121","Riparia riparia","Riparia riparia"
"122","Acrocephalus schoenobaenus","Acrocephalus schoenobaenus"
"123","Anas crecca","Anas crecca"
"124","Ixobrychus minutus","Ixobrychus minutus"
"125","Phylloscopus trochiloides","Phylloscopus trochiloides"
"126","Podiceps nigricollis","Podiceps nigricollis"
"127","Botaurus stellaris","Botaurus stellaris"
"128","Chlidonias niger","Chlidonias niger"
"129","Galerida cristata","Galerida cristata"
"130","Locustella luscinioides","Locustella luscinioides"
"131","Motacilla flava","Motacilla flava"
"132","Tetrao urogallus","Tetrao urogallus"
"133","Turdus torquatus","Turdus torquatus"
"134","Podiceps grisegena","Podiceps grisegena"
"135","Corvus frugilegus","Corvus frugilegus"
"136","Aythya nyroca","Aythya nyroca"
"137","Falco subbuteo","Falco subbuteo"
"138","Netta rufina","Netta rufina"
"139","Phalacrocorax carbo","Phalacrocorax carbo"
