"","verbatim_name","dataset","log_R2_1","tp1_AOO_1","tp2_AOO_1"
"1","Acanthis flammea","Birds_atlas_EBBA",0.132118173964092,2284413.67762806,2607071.52196239
"2","Accipiter brevipes","Birds_atlas_EBBA",0.489936064031688,201904.260380582,329550.5282916
"3","Accipiter cooperii","Birds_Atlas_New_York",0.900843784712817,13753.1314147252,33855.7997732848
"4","Accipiter gentilis","Birds_Atlas_Czechia",-0.0247001479295925,77122.3816667135,75240.7810005811
"5","Accipiter gentilis","Birds_atlas_EBBA",0.056066151204533,5217141.23953884,5518001.50103587
"6","Accipiter gentilis","Birds_atlas_Japan",-0.0820121923935539,22891.2863718286,21088.8431078114
"7","Accipiter gentilis","Birds_Atlas_New_York",-0.223809215038286,11106.0038691075,8878.89077219772
"8","Accipiter gularis","Birds_atlas_Japan",-0.265697838028919,9655.1950347925,7402.3556307962
"9","Accipiter nisus","Birds_Atlas_Czechia",0.0458622379873845,76442.6679247639,80030.1356172906
"10","Accipiter nisus","Birds_atlas_EBBA",0.0486538125706301,5824666.37046858,6115065.83314139
"11","Accipiter nisus","Birds_atlas_Japan",-0.868931708389236,18240.8067000747,7650.18248847656
"12","Accipiter striatus","Birds_Atlas_New_York",0.515950433827272,21479.8248272487,35983.6456695169
"13","Acrocephalus agricola","Birds_atlas_EBBA",0.813449978914178,99621.9351117663,224714.86936548
"14","Acrocephalus arundinaceus","Birds_Atlas_Czechia",0.0581575795490123,31809.5566455377,33714.376461846
"15","Acrocephalus arundinaceus","Birds_atlas_EBBA",0.134555412414605,3789763.79080769,4335596.08184241
"16","Acrocephalus bistrigiceps","Birds_atlas_Japan",-0.59633050826416,38666.1816212769,21298.4617078384
"17","Acrocephalus dumetorum","Birds_atlas_EBBA",0.965378734827649,435466.91653718,1143441.1663256
"18","Acrocephalus melanopogon","Birds_atlas_EBBA",-0.156942385047038,313851.169421066,268265.324017644
"19","Acrocephalus orientalis","Birds_atlas_Japan",0.00299855630441005,101880.470237054,102186.423042492
"20","Acrocephalus paludicola","Birds_atlas_EBBA",-0.120331124535379,140772.879987861,124813.008704029
"21","Acrocephalus palustris","Birds_Atlas_Czechia",0.060697905878757,72444.8406020999,76978.284214406
"22","Acrocephalus palustris","Birds_atlas_EBBA",0.142134737336714,3303124.07357916,3807616.66799638
"23","Acrocephalus schoenobaenus","Birds_Atlas_Czechia",0.197183793405805,37050.2755897675,45126.0454133955
"24","Acrocephalus schoenobaenus","Birds_atlas_EBBA",0.00126970900997197,4481473.39417605,4487167.17528023
"25","Acrocephalus scirpaceus","Birds_Atlas_Czechia",0.0412875076482119,57987.2558985154,60431.5166784961
"26","Acrocephalus scirpaceus","Birds_atlas_EBBA",0.200989452134087,4269967.22289249,5220512.63602433
"27","Actitis hypoleucos","Birds_Atlas_Czechia",0.00436178571016911,34497.735350969,34648.5357204208
"28","Actitis hypoleucos","Birds_atlas_EBBA",-0.0396797514309643,4658853.32736883,4477610.79435977
"29","Actitis hypoleucos","Birds_atlas_Japan",-0.434186479411829,45314.5018375039,29354.3466000195
"30","Actitis macularius","Birds_Atlas_New_York",-0.133624552356271,50563.6530879794,44239.0749596504
"31","Aegithalos caudatus","Birds_Atlas_Czechia",0.0363760014296008,76161.0406773723,78982.4800359817
"32","Aegithalos caudatus","Birds_atlas_EBBA",0.0787326494928014,5390512.84878913,5832076.88597548
"33","Aegithalos caudatus","Birds_atlas_Japan",-0.095260964056341,219862.452615112,199884.794160408
"34","Aegolius acadicus","Birds_Atlas_New_York",0.123689465338014,3226.73933705205,3651.58602100684
"35","Aegolius funereus","Birds_Atlas_Czechia",0.471542366470092,19509.4974235237,31263.2648347628
"36","Aegolius funereus","Birds_atlas_EBBA",0.163620746145192,2198479.7779739,2589298.1583055
"37","Aegypius monachus","Birds_atlas_EBBA",-0.351033361471758,150291.993031576,105799.591739842
"38","Agelaius phoeniceus","Birds_Atlas_New_York",-0.017954213602757,126532.915420123,124281.389103116
"39","Agropsar philippensis","Birds_atlas_Japan",0.0828071662800357,32106.1753159849,34877.9754951298
"40","Aix galericulata","Birds_atlas_EBBA",1.82345859413488,132826.713913616,822627.898243977
"41","Aix galericulata","Birds_atlas_Japan",0.269586203727644,21901.1722060933,28677.8877607567
"42","Aix sponsa","Birds_atlas_EBBA",2.16584202982251,16691.2505585027,145580.135332576
