"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11"
"CHELSA_bio1_1981.2010_V.2.1",0.358830030985666,0.259097467693865,-0.187914292519859,-0.172161773824076,-0.259522512305411,0.0569106080836064,-0.0268159218857366,-0.0119849711761201,-0.166919399141136,-0.799901545617891,-8.81900064246085e-15
"CHELSA_bio12_1981.2010_V.2.1",0.345452256316805,-0.126398755806035,0.41595571271499,-0.198902112583089,0.174838905680022,0.0691562955688266,0.0776725589031539,0.78142041796184,0.0059134931804566,-0.00823323958457228,-3.16201303523363e-15
"CHELSA_bio13_1981.2010_V.2.1",0.331324748607917,0.0341478819789355,0.336259036098962,-0.240702845444075,0.509953088135559,0.371433248689124,0.155676373298091,-0.543496167301791,-0.0202830829194371,0.000634897414478433,-3.326117969234e-16
"CHELSA_bio14_1981.2010_V.2.1",0.269960534989016,-0.29626253789932,0.408473502755617,-0.143887021212626,-0.315446481246083,-0.682389420710999,0.0254723380754359,-0.292732581511921,0.00320028317076674,0.0168074606097509,1.37641915413104e-15
"CHELSA_bio15_1981.2010_V.2.1",0.0106066801277035,0.546137791713142,-0.146353694637451,-0.0683394840781114,0.555728872410761,-0.598149313750096,-0.0518391822408397,0.0778907779963509,0.011043962180357,0.00615608623255804,-8.43656190981928e-16
"CHELSA_bio2_1981.2010_V.2.1",-0.145188780243774,0.475218692964097,0.368249551570466,0.305636578791552,-0.243177105798008,0.0227837240777257,0.642045220524352,0.0135429942229561,-0.224134911107532,0.0420692558354936,-1.29947433252355e-15
"CHELSA_bio3_1981.2010_V.2.1",0.277449386091093,0.184526931779116,0.314131706998469,0.676698673826321,0.00430398290836063,0.067798596394305,-0.570905227061582,-0.0382373754964579,0.0121775490668848,-0.0146110674320508,6.21138175777278e-15
"CHELSA_bio4_1981.2010_V.2.1",-0.358494788732481,0.142031894728536,0.275582287528316,-0.374760352804838,-0.0725467389802129,0.0571957309899002,-0.430709838486525,-0.000806946765121358,-0.659059972531508,0.0806936403454212,2.05105837637393e-14
"CHELSA_bio5_1981.2010_V.2.1",0.280991225918703,0.408664013814557,-0.0796275039719446,-0.301632984771184,-0.352191731882895,0.123432228735704,-0.12523634059875,-0.00973458137627847,0.255726142172304,0.416076638297824,-0.512977187575513
"CHELSA_bio6_1981.2010_V.2.1",0.388284886083532,0.135491616722682,-0.248535591942507,-0.0661415384300223,-0.16688713088091,0.0443655571944822,0.00729759304496462,0.00386916769917717,-0.183613295827078,0.386005808426196,0.74305454475688
"CHELSA_bio7_1981.2010_V.2.1",-0.33591485113035,0.253510338681015,0.334643660266965,-0.245661062004902,-0.131830267983745,0.0706193390353911,-0.16209072020592,-0.0183078162894418,0.622659481383312,-0.170745183279772,0.429795705589601
