"","AtlasSp","AtlasID","match_type","match","Synonyms","TaxID","AtlasSp_new","ScientificName"
"1","Luscinia svecica",168,"direct",1,"Luscinia svecica",5744,"Luscinia svecica","Luscinia svecica"
"2","Butorides striata",452,"direct",1,"Butorides virescens",8852,"Butorides striata","Butorides striata"
"3","Periparus ater",470,"direct",1,"Parus ater",9552,"Periparus ater","Periparus ater"
"4","Poecile montanus",503,"direct",1,"Parus montanus",11066,"Poecile montanus","Poecile montanus"
"5","Saxicola torquatus",532,"direct",1,"Saxicola torquata",5822,"Saxicola torquatus","Saxicola torquatus"
"6","Poecile palustris",541,"direct",1,"Parus palustris",9555,"Poecile palustris","Poecile palustris"
"7","Tetrastes bonasia",542,"direct",1,NA,263,"Tetrastes bonasia","Tetrastes bonasia"
"8","Chloris chloris",551,"direct",1,"Chloris chloris; Carduelis chloris",7566,"Chloris chloris","Chloris chloris"
"9","Cyanistes caeruleus",565,"direct",1,NA,10352,"Cyanistes caeruleus","Cyanistes caeruleus"
"10","Delichon urbicum",567,"direct",1,NA,10602,"Delichon urbicum","Delichon urbicum"
"11","Lophophanes cristatus",573,"direct",1,"Parus cristatus",6131,"Lophophanes cristatus","Lophophanes cristatus"
"12","Lyrurus tetrix",575,"direct",1,"Tetrao tetrix",259,"Lyrurus tetrix","Lyrurus tetrix"
"13","Spinus spinus",579,"direct",1,"Carduelis spinus",7571,"Spinus spinus","Spinus spinus"
"14","Acanthis flammea",582,"direct",1,"Carduelis flammea",8483,"Acanthis flammea","Acanthis flammea"
"15","Mareca strepera",609,"direct",1,"Anas strepera",386,"Mareca strepera","Mareca strepera"
"16","Spatula clypeata",617,"direct",1,"Anas clypeata",406,"Spatula clypeata","Spatula clypeata"
"17","Cecropis daurica",631,"direct",1,NA,10612,"Cecropis daurica","Cecropis daurica"
"18","Dryobates minor",635,"direct",1,"Dendrocopos minor",575,"Dryobates minor","Dryobates minor"
"19","Emberiza calandra",637,"direct",1,"Emberiza calandra; Miliaria calandra",7708,"Emberiza calandra","Emberiza calandra"
"20","Linaria cannabina",645,"direct",1,"Acanthis cannabina; Carduelis cannabina",7591,"Linaria cannabina","Linaria cannabina"
"21","Regulus ignicapilla",655,"direct",1,NA,9427,"Regulus ignicapilla","Regulus ignicapilla"
"22","Sternula albifrons",656,"direct",1,"Sternula albifrons; Sterna albifrons",2855,"Sternula albifrons","Sternula albifrons"
"23","Spatula querquedula",691,"direct",1,"Anas querquedula",416,"Spatula querquedula","Spatula querquedula"
"24","Zapornia parva",701,"direct",1,"Porzana parva",2509,"Zapornia parva","Zapornia parva"
"25","Leiopicus medius",706,"direct",1,"Dendrocopos medius",582,"Leiopicus medius","Leiopicus medius"
"26","Eudromias morinellus",716,"direct",1,"Charadrius morinellus",2737,"Eudromias morinellus","Eudromias morinellus"
"27","Hydroprogne caspia",749,"direct",1,"Hydroprogne caspia; Sterna caspia",2837,"Hydroprogne caspia","Hydroprogne caspia"
"28","Clanga pomarina",753,"direct",1,"Aquila pomarina",3076,"Clanga pomarina","Clanga pomarina"
"29","Calliope calliope",832,"direct",1,"Luscinia calliope",5743,"Calliope calliope","Calliope calliope"
"30","Carduelis spinus",24,"synonym",1,"Carduelis spinus",7571,"Spinus spinus","Spinus spinus"
"31","Dendrocopos minor",46,"synonym",1,"Dendrocopos minor",575,"Dryobates minor","Dryobates minor"
