"","sp_atlas_adapted","verbatim_name","sp_names_atlas_adapted_keep","sp_BirdTree","sp_BirdLife","sp_eBird","sp_group_eBird"
"1","Acanthis flammea","Acanthis flammea","Acanthis flammea","Carduelis hornemanni",NA,NA,"Acanthis hornemanni/flammea/cabaret"
"2","Acanthis flammea","Acanthis flammea","Acanthis flammea","Carduelis flammea",NA,"Acanthis flammea","Acanthis hornemanni/flammea/cabaret"
"3","Acanthis flammea","Acanthis flammea","Acanthis flammea","Carduelis hornemanni",NA,"Acanthis hornemanni","Acanthis hornemanni/flammea/cabaret"
"4","Acanthis flammea","Acanthis flammea","Acanthis flammea","Carduelis flammea",NA,"Acanthis cabaret","Acanthis hornemanni/flammea/cabaret"
"5","Acanthis flammea","Acanthis flammea","Acanthis flammea","Carduelis flammea",NA,NA,"Acanthis hornemanni/flammea/cabaret"
"6","Accipiter brevipes","Accipiter brevipes","Accipiter brevipes","Accipiter brevipes","Accipiter brevipes","Accipiter brevipes","Accipiter brevipes"
"7","Accipiter cooperii","Accipiter cooperii","Accipiter cooperii","Accipiter cooperii","Accipiter cooperii","Accipiter cooperii","Accipiter cooperii"
"8","Accipiter gentilis","Accipiter gentilis","Accipiter gentilis","Accipiter gentilis","Accipiter gentilis","Accipiter gentilis","Accipiter gentilis"
"9","Accipiter gularis","Accipiter gularis","Accipiter gularis","Accipiter gularis","Accipiter gularis","Accipiter gularis","Accipiter gularis"
"10","Accipiter nisus","Accipiter nisus","Accipiter nisus","Accipiter nisus","Accipiter nisus","Accipiter nisus","Accipiter nisus"
"11","Accipiter striatus","Accipiter striatus","Accipiter striatus","Accipiter chionogaster","Accipiter striatus","Accipiter striatus","Accipiter striatus"
"12","Accipiter striatus","Accipiter striatus","Accipiter striatus","Accipiter erythronemius","Accipiter striatus","Accipiter striatus","Accipiter striatus"
"13","Accipiter striatus","Accipiter striatus","Accipiter striatus","Accipiter striatus","Accipiter striatus","Accipiter striatus","Accipiter striatus"
"14","Accipiter striatus","Accipiter striatus","Accipiter striatus","Accipiter ventralis","Accipiter striatus","Accipiter striatus","Accipiter striatus"
