"","rank","full_data","resamps","full_data_imp","resamp_mean_imp","keep_resamp"
"1",1,"D_AOO_a","D_AOO_a",16.0079731951066,13.8946036938271,1
"2",2,"rel_occ_Ncells","AlphaSR_sp",14.4439416610223,13.831284962551,1
"3",3,"mean_prob_cooccur","mean_prob_cooccur",14.2588283400464,13.7670180927768,1
"4",4,"AlphaSR_sp","rel_occ_Ncells",13.6475557176148,13.4067690238605,1
"5",5,"Southernness","Southernness",13.6176713147257,12.6633476982537,1
"6",6,"Westernness","AOO",12.8403595289776,11.5325957763995,1
"7",7,"Mass","Westernness",12.6395118762242,10.8780745308084,1
"8",8,"AOO","Mass",12.5703592634521,10.7693866026762,1
"9",9,"lengthMinRect","lengthMinRect",11.3328682523417,10.6283977655294,1
"10",10,"widthMinRect","rel_relCirc",10.8907696188387,10.4542728093412,1
"11",11,"sp_centr_lat","sp_centr_lon",10.8438342580009,10.4068342827304,1
"12",12,"sp_centr_lon","rel_maxDist",10.3265616328902,9.96581310552028,1
"13",13,"rel_relCirc","widthMinRect",10.1711805692039,9.65778776290258,1
"14",14,"BetaSR_sp","circ",9.91462332114678,9.5048648135552,1
"15",15,"rel_maxDist","sp_centr_lat",9.84528160829019,9.12632865256654,1
"16",16,"rel_elonRatio","BetaSR_sp",9.24589973586082,8.60425824529967,1
"17",17,"rel_lin","rel_elonRatio",9.11035726842147,8.45135480938213,1
"18",18,"bearingMinRect","bearingMinRect",8.47891811927151,8.25030452888335,1
"19",19,"circ","rel_lin",8.41276017211307,7.81071727932347,1
"20",20,"moran","moran",8.33918208248783,7.56447528767983,1
"21",21,"HWI","bearing",7.99620708558776,7.00003787210765,1
"22",22,"Dist_centroid_to_COG","minDist_toBorder_centr",7.90634813275837,6.43455929585778,1
"23",23,"bearing","Dist_centroid_to_COG",7.70349550121902,6.35950435162878,1
"24",24,"x_intercept","x_intercept",7.44334908933394,6.16062042010945,1
"25",25,"minDist_toBorder_centr","elonMinRect",7.34517005266418,5.6875874485732,1
"26",26,"Habitat","dataset",7.00287017392925,5.19106816012942,1
"27",27,"IUCN","AtlasCOG_lat",6.38927225713849,5.14986433410186,1
"28",28,"dataset","IUCN",5.07607146255574,5.0504615182062,1
"29",29,"AtlasCOG_lat","HWI",4.94740251420273,5.00464833303788,1
"30",30,"GlobRangeSize_m2","Habitat",4.93017541764312,4.68570256499856,1
"31",31,"sd_PC1","GlobRangeSize_m2",4.8424341349838,4.03474160447628,1
"32",32,"elonMinRect","sd_PC1",4.80236163764832,3.75253316824442,1
"33",33,"Habitat.Density","Habitat.Density",3.42168308912371,3.04644652087746,1
"34",34,"sd_PC2","GammaSR",3.12895426137751,2.82158075857372,1
"35",35,"Trophic.Niche","FP",3.0611388036087,2.60805965561498,1
"36",36,"Primary.Lifestyle","sd_PC2",2.98683655639338,2.60787700538463,1
"37",37,"GammaSR","Migration",2.7291118069203,2.22565458075054,1
"38",38,"atlas_bearing","Trophic.Niche",2.15484007653397,2.2224140414018,1
"39",39,"Migration","atlas_widthMinRect",2.13367715654759,2.05607165209844,0
"40",40,"atlas_widthMinRect","Primary.Lifestyle",2.08331930464421,2.00788313595498,0
"41",41,"FP","Total_Ncells_samp",2.06393068555094,1.9976048491015,0
"42",42,"Total_Ncells_samp","atlas_bearing",1.98592062056889,1.92422850487689,0
"43",43,"Trophic.Level","Trophic.Level",0.672434659467578,1.44674712229006,0
