"","mean_prob_cooccur","nsDist","ewDist","maxDist","lengthMinRect","widthMinRect","elonMinRect","elonRatio","circ","circNorm","relCirc","lin","bearingMinRect","bearing","Dist_toCOD","minDist_toBorder","maxDist_toBorder","sp_COG_long","sp_COG_lat","atlas_xmin","atlas_xmax","atlas_xhalf","atlas_ymin","atlas_ymax","atlas_yhalf","atlas_nsDist","atlas_ewDist","atlas_maxDist","atlas_lengthMinRect","atlas_widthMinRect","atlas_elonMinRect","atlas_elonRatio","atlas_circ","atlas_circNorm","atlas_relCirc","atlas_lin","atlas_bearingMinRect","atlas_bearing","CenterOfGravity_Atlas_long","CenterOfGravity_Atlas_lat","Southernness","Westernness","log_R2_1","Telfer_1_2","Total_area","relative_occupancy_Ncells","m_AOO_s","m_relOcc_s","D_AOO_s","D_relOcc_s","D_AOO_a","D_relOcc_a","total_SR_atlas","sd_PC1","sd_PC2","var_PC1","var_PC2","AlphaSR_sp","BetaSR_sp","GammaSR","avgEffort","global_moran","mean_area","mean_area_cropped","HWI","Mass","Range.Size","FP","start_year","end_year","SampPeriodLength"
"mean_prob_cooccur",1,-0.33,-0.33,-0.35,-0.34,-0.28,-0.22,0.1,-0.23,-0.23,-0.79,-0.3,-0.43,-0.58,-0.51,-0.09,-0.56,0.14,-0.06,0.64,-0.27,NA,0.64,-0.54,NA,-0.58,-0.58,-0.58,-0.58,-0.61,-0.49,-0.46,-0.59,-0.59,-0.65,-0.57,0.64,-0.58,0.18,-0.06,-0.06,0.09,-0.21,0.03,-0.58,0.97,-0.73,-0.72,0.73,0.72,0.73,0.71,-0.6,0.15,0.19,0.12,0.18,0.07,-0.16,-0.6,-0.14,-0.47,-0.57,-0.57,-0.24,-0.13,0.24,-0.1,0.33,-0.09,-0.52
"nsDist",-0.33,1,0.95,0.94,0.94,0.92,-0.11,-0.25,0.6,0.6,0.17,-0.06,0.39,0.51,0.13,-0.1,0.77,0.18,0.28,-0.42,0.61,NA,-0.72,0.73,NA,0.73,0.73,0.73,0.73,0.73,0.72,0.71,0.73,0.73,0.71,0.73,-0.43,0.73,0.22,0.45,-0.11,0.18,0.04,0.04,0.73,-0.14,-0.18,-0.2,0.18,0.2,0.21,0.23,0.73,0.08,-0.01,0.06,-0.02,0.27,0,0.73,-0.21,0.72,0.73,0.73,0.1,0.01,0.07,0.05,-0.6,-0.12,0.75
"ewDist",-0.33,0.95,1,0.99,0.97,0.94,-0.09,-0.22,0.62,0.62,0.21,-0.04,0.4,0.53,0.12,-0.11,0.78,0.19,0.21,-0.41,0.62,NA,-0.72,0.74,NA,0.74,0.74,0.74,0.74,0.73,0.72,0.71,0.74,0.74,0.72,0.74,-0.43,0.74,0.23,0.46,-0.04,0.18,0.07,0.05,0.74,-0.15,-0.18,-0.21,0.18,0.21,0.22,0.25,0.74,0.11,0.05,0.08,0.04,0.32,-0.02,0.74,-0.22,0.71,0.74,0.74,0.1,0.03,0.06,0.06,-0.64,-0.15,0.77
"maxDist",-0.35,0.94,0.99,1,0.98,0.93,-0.06,-0.21,0.61,0.61,0.22,-0.01,0.41,0.55,0.15,-0.11,0.8,0.19,0.17,-0.43,0.64,NA,-0.75,0.76,NA,0.76,0.76,0.76,0.76,0.76,0.75,0.74,0.76,0.76,0.74,0.76,-0.44,0.76,0.24,0.47,0,0.19,0.07,0.04,0.76,-0.17,-0.16,-0.19,0.16,0.19,0.2,0.23,0.76,0.09,0.06,0.07,0.05,0.31,-0.01,0.76,-0.23,0.72,0.76,0.76,0.09,0.04,0.05,0.07,-0.65,-0.15,0.79
"lengthMinRect",-0.34,0.94,0.97,0.98,1,0.9,0.03,-0.14,0.58,0.58,0.22,0,0.39,0.53,0.14,-0.11,0.79,0.19,0.14,-0.42,0.63,NA,-0.74,0.75,NA,0.75,0.75,0.75,0.75,0.75,0.74,0.73,0.75,0.75,0.73,0.75,-0.44,0.75,0.24,0.47,0.02,0.19,0.07,0.05,0.75,-0.16,-0.16,-0.19,0.16,0.19,0.2,0.23,0.75,0.08,0.06,0.06,0.05,0.31,-0.01,0.75,-0.23,0.7,0.75,0.75,0.1,0.04,0.05,0.07,-0.64,-0.14,0.78
"widthMinRect",-0.28,0.92,0.94,0.93,0.9,1,-0.32,-0.39,0.62,0.62,0.1,-0.17,0.37,0.5,0.05,-0.11,0.74,0.21,0.16,-0.38,0.59,NA,-0.69,0.7,NA,0.7,0.7,0.7,0.7,0.7,0.69,0.68,0.7,0.7,0.68,0.7,-0.4,0.7,0.23,0.44,-0.01,0.14,0.06,0.06,0.7,-0.09,-0.24,-0.27,0.24,0.27,0.28,0.31,0.7,0.07,0.08,0.05,0.07,0.38,-0.03,0.7,-0.22,0.71,0.7,0.7,0.03,-0.01,0.08,0.04,-0.61,-0.15,0.74
"elonMinRect",-0.22,-0.11,-0.09,-0.06,0.03,-0.32,1,0.69,-0.2,-0.2,0.4,0.65,0.04,0.09,0.17,0.11,-0.01,-0.19,-0.09,-0.15,-0.1,NA,-0.03,-0.02,NA,0,0,0,0,0.02,-0.04,-0.05,0,0,0.04,-0.01,-0.14,0,-0.17,-0.14,0.1,-0.02,0.07,-0.01,0,-0.27,0.4,0.4,-0.4,-0.4,-0.4,-0.4,0.01,-0.01,-0.09,-0.02,-0.09,-0.24,0.04,0.01,0.17,-0.13,-0.01,-0.01,0.16,0.13,-0.12,0.04,0.03,0.03,-0.02
"elonRatio",0.1,-0.25,-0.22,-0.21,-0.14,-0.39,0.69,1,-0.21,-0.21,0.1,0.11,-0.13,-0.14,-0.04,0.08,-0.24,-0.06,-0.04,0.16,-0.18,NA,0.24,-0.23,NA,-0.24,-0.24,-0.24,-0.24,-0.24,-0.23,-0.22,-0.24,-0.24,-0.24,-0.24,0.16,-0.24,-0.04,-0.12,0.08,-0.03,0.01,-0.03,-0.24,0.03,0.11,0.11,-0.11,-0.11,-0.12,-0.13,-0.24,0.05,-0.02,0.04,-0.01,-0.15,-0.06,-0.24,0.1,-0.3,-0.24,-0.24,0.09,0.04,-0.07,0.02,0.15,-0.02,-0.22
"circ",-0.23,0.6,0.62,0.61,0.58,0.62,-0.2,-0.21,1,1,0.23,-0.22,0.24,0.23,-0.19,-0.1,0.33,0.01,0.05,-0.22,0.21,NA,-0.3,0.28,NA,0.29,0.29,0.29,0.29,0.3,0.27,0.26,0.29,0.29,0.3,0.29,-0.22,0.29,0.03,0.13,-0.04,0.11,-0.04,-0.07,0.29,-0.12,-0.31,-0.33,0.31,0.33,0.32,0.34,0.29,0.2,0.14,0.18,0.14,0.33,-0.1,0.29,-0.07,0.33,0.29,0.29,0.13,-0.02,0.16,0.06,-0.32,-0.12,0.36
"circNorm",-0.23,0.6,0.62,0.61,0.58,0.62,-0.2,-0.21,1,1,0.23,-0.22,0.24,0.23,-0.19,-0.1,0.33,0.01,0.05,-0.22,0.21,NA,-0.3,0.28,NA,0.29,0.29,0.29,0.29,0.3,0.27,0.26,0.29,0.29,0.3,0.29,-0.22,0.29,0.03,0.13,-0.04,0.11,-0.04,-0.07,0.29,-0.12,-0.31,-0.33,0.31,0.33,0.32,0.34,0.29,0.2,0.14,0.18,0.14,0.33,-0.1,0.29,-0.07,0.33,0.29,0.29,0.13,-0.02,0.16,0.06,-0.32,-0.12,0.36
