"","x"
"1","Acanthis flammea"
"2","Accipiter brevipes"
"3","Accipiter cooperii"
"4","Accipiter gentilis"
"5","Accipiter gularis"
"6","Accipiter nisus"
"7","Accipiter striatus"
"8","Acridotheres cristatellus"
"9","Acrocephalus agricola"
"10","Acrocephalus arundinaceus"
"11","Acrocephalus bistrigiceps"
"12","Acrocephalus dumetorum"
"13","Acrocephalus melanopogon"
"14","Acrocephalus orientalis"
"15","Acrocephalus paludicola"
"16","Acrocephalus palustris"
"17","Acrocephalus schoenobaenus"
"18","Acrocephalus scirpaceus"
"19","Actitis hypoleucos"
"20","Actitis macularius"
"21","Aegithalos caudatus"
"22","Aegolius acadicus"
"23","Aegolius funereus"
"24","Aegypius monachus"
"25","Agelaius phoeniceus"
"26","Agropsar philippensis"
"27","Aix galericulata"
"28","Aix sponsa"
"29","Alauda arvensis"
"30","Alauda leucoptera"
"31","Alaudala rufescens"
"32","Alca torda"
"33","Alcedo atthis"
"34","Alectoris barbara"
"35","Alectoris chukar"
"36","Alectoris graeca"
"37","Alectoris rufa"
"38","Alle alle"
"39","Alopochen aegyptiaca"
"40","Amandava amandava"
"41","Amaurornis phoenicurus"
"42","Ammodramus caudacutus"
"43","Ammodramus henslowii"
"44","Ammodramus maritimus"
"45","Ammodramus savannarum"
"46","Anas acuta"
"47","Anas americana"
"48","Anas clypeata"
"49","Anas crecca"
"50","Anas discors"
"51","Anas falcata"
"52","Anas platyrhynchos"
"53","Anas querquedula"
"54","Anas rubripes"
"55","Anas strepera"
"56","Anas zonorhyncha"
"57","Anous stolidus"
"58","Anser albifrons"
"59","Anser anser"
"60","Anser brachyrhynchus"
"61","Anser erythropus"
"62","Anser fabalis"
"63","Anthropoides virgo"
"64","Anthus berthelotii"
"65","Anthus campestris"
"66","Anthus cervinus"
"67","Anthus hodgsoni"
"68","Anthus petrosus"
"69","Anthus pratensis"
"70","Anthus spinoletta"
"71","Anthus trivialis"
"72","Apalopteron familiare"
"73","Apus apus"
"74","Apus caffer"
"75","Apus nipalensis"
"76","Apus pacificus"
"77","Apus pallidus"
"78","Apus unicolor"
"79","Aquila adalberti"
"80","Aquila chrysaetos"
"81","Aquila fasciata"
"82","Aquila heliaca"
"83","Aquila nipalensis"
"84","Aquila pomarina"
"85","Archilochus colubris"
"86","Ardea alba"
"87","Ardea cinerea"
"88","Ardea herodias"
"89","Ardea purpurea"
"90","Ardeola ralloides"
"91","Arenaria interpres"
"92","Asio flammeus"
"93","Asio otus"
"94","Athene noctua"
"95","Aythya affinis"
"96","Aythya americana"
"97","Aythya collaris"
"98","Aythya ferina"
"99","Aythya fuligula"
"100","Aythya marila"
"101","Aythya nyroca"
"102","Aythya valisineria"
"103","Baeolophus bicolor"
"104","Bambusicola thoracicus"
"105","Bartramia longicauda"
"106","Bombycilla cedrorum"
"107","Bombycilla garrulus"
"108","Bonasa bonasia"
"109","Bonasa umbellus"
"110","Botaurus lentiginosus"
"111","Botaurus stellaris"
"112","Branta bernicla"
"113","Branta canadensis"
"114","Branta leucopsis"
"115","Bubo bubo"
"116","Bubo scandiacus"
"117","Bubo virginianus"
"118","Bubulcus ibis"
"119","Bucanetes githagineus"
"120","Bucanetes mongolicus"
"121","Bucephala clangula"
"122","Bucephala islandica"
"123","Bulweria bulwerii"
"124","Burhinus oedicnemus"
"125","Butastur indicus"
"126","Buteo buteo"
"127","Buteo jamaicensis"
"128","Buteo lagopus"
"129","Buteo lineatus"
"130","Buteo platypterus"
"131","Buteo rufinus"
"132","Butorides striata"
"133","Butorides virescens"
"134","Calandrella brachydactyla"
"135","Calcarius lapponicus"
"136","Calidris alba"
"137","Calidris alpina"
"138","Calidris canutus"
"139","Calidris falcinellus"
"140","Calidris maritima"
