sp_atlas;sp_atlas adapted1;Family_BL;Order_BL;Hand-Wing.Index_BL;Mass_BL;Habitat_BL;Habitat.Density_BL;Migration_BL;Trophic.Level_BL;Trophic.Niche_BL;Primary.Lifestyle_BL;Range.Size_BL;sp_atlas adapted2;Family_BT;Order_BT;Hand-Wing.Index_BT;Mass_BT;Habitat_BT;Habitat.Density_BT;Migration_BT;Trophic.Level_BT;Trophic.Niche_BT;Primary.Lifestyle_BT;Range.Size_BT
Accipiter gentilis;Accipiter gentilis;Accipitridae;Accipitriformes;36.3;866.04;Forest;1;2;Carnivore;Vertivore;Generalist;31775270.74;Accipiter gentilis;Accipitridae;Accipitriformes;36.3;866.04;Forest;1;2;Carnivore;Vertivore;Generalist;31775270.74
Accipiter gentilis;Accipiter gentilis;Accipitridae;Accipitriformes;36.3;866.04;Forest;1;2;Carnivore;Vertivore;Generalist;31775270.74;Accipiter gentilis;Accipitridae;Accipitriformes;36.3;866.04;Forest;1;2;Carnivore;Vertivore;Generalist;31775270.74
Accipiter gentilis;Accipiter gentilis;Accipitridae;Accipitriformes;36.3;866.04;Forest;1;2;Carnivore;Vertivore;Generalist;31775270.74;Accipiter gentilis;Accipitridae;Accipitriformes;36.3;866.04;Forest;1;2;Carnivore;Vertivore;Generalist;31775270.74
Accipiter nisus;Accipiter nisus;Accipitridae;Accipitriformes;35.5;220.79;Forest;1;2;Carnivore;Vertivore;Insessorial;23601609.31;Accipiter nisus;Accipitridae;Accipitriformes;35.5;220.79;Forest;1;2;Carnivore;Vertivore;Insessorial;23601609.31
Accipiter nisus;Accipiter nisus;Accipitridae;Accipitriformes;35.5;220.79;Forest;1;2;Carnivore;Vertivore;Insessorial;23601609.31;Accipiter nisus;Accipitridae;Accipitriformes;35.5;220.79;Forest;1;2;Carnivore;Vertivore;Insessorial;23601609.31
Accipiter nisus;Accipiter nisus;Accipitridae;Accipitriformes;35.5;220.79;Forest;1;2;Carnivore;Vertivore;Insessorial;23601609.31;Accipiter nisus;Accipitridae;Accipitriformes;35.5;220.79;Forest;1;2;Carnivore;Vertivore;Insessorial;23601609.31
Acrocephalus arundinaceus;Acrocephalus arundinaceus;Acrocephalidae;Passeriformes;28.6;30;Wetland;3;3;Carnivore;Invertivore;Insessorial;9336953.31;Acrocephalus arundinaceus;Sylviidae;Passeriformes;26.8;30;Wetland;3;3;Carnivore;Invertivore;Insessorial;14642510.44
Acrocephalus arundinaceus;Acrocephalus arundinaceus;Acrocephalidae;Passeriformes;28.6;30;Wetland;3;3;Carnivore;Invertivore;Insessorial;9336953.31;Acrocephalus arundinaceus;Sylviidae;Passeriformes;26.8;30;Wetland;3;3;Carnivore;Invertivore;Insessorial;14642510.44
Acrocephalus arundinaceus;Acrocephalus arundinaceus;Acrocephalidae;Passeriformes;28.6;30;Wetland;3;3;Carnivore;Invertivore;Insessorial;9336953.31;Acrocephalus arundinaceus;Sylviidae;Passeriformes;26.8;30;Wetland;3;3;Carnivore;Invertivore;Insessorial;14642510.44
Acrocephalus palustris;Acrocephalus palustris;Acrocephalidae;Passeriformes;27.9;11.5;Shrubland;3;3;Carnivore;Invertivore;Insessorial;5996672.74;Acrocephalus palustris;Sylviidae;Passeriformes;27.9;11.5;Shrubland;2;3;Carnivore;Invertivore;Insessorial;5996672.74
Acrocephalus palustris;Acrocephalus palustris;Acrocephalidae;Passeriformes;27.9;11.5;Shrubland;3;3;Carnivore;Invertivore;Insessorial;5996672.74;Acrocephalus palustris;Sylviidae;Passeriformes;27.9;11.5;Shrubland;2;3;Carnivore;Invertivore;Insessorial;5996672.74
Acrocephalus palustris;Acrocephalus palustris;Acrocephalidae;Passeriformes;27.9;11.5;Shrubland;3;3;Carnivore;Invertivore;Insessorial;5996672.74;Acrocephalus palustris;Sylviidae;Passeriformes;27.9;11.5;Shrubland;2;3;Carnivore;Invertivore;Insessorial;5996672.74
Acrocephalus scirpaceus;Acrocephalus scirpaceus;Acrocephalidae;Passeriformes;24.3;12.3;Wetland;3;3;Carnivore;Invertivore;Insessorial;15112845.4;Acrocephalus scirpaceus;Sylviidae;Passeriformes;25.8;12.3;Wetland;3;3;Carnivore;Invertivore;Insessorial;NA
Acrocephalus scirpaceus;Acrocephalus scirpaceus;Acrocephalidae;Passeriformes;24.3;12.3;Wetland;3;3;Carnivore;Invertivore;Insessorial;15112845.4;Acrocephalus scirpaceus;Sylviidae;Passeriformes;25.8;12.3;Wetland;3;3;Carnivore;Invertivore;Insessorial;NA
Acrocephalus scirpaceus;Acrocephalus scirpaceus;Acrocephalidae;Passeriformes;24.3;12.3;Wetland;3;3;Carnivore;Invertivore;Insessorial;15112845.4;Acrocephalus scirpaceus;Sylviidae;Passeriformes;25.8;12.3;Wetland;3;3;Carnivore;Invertivore;Insessorial;NA
Acrocephalus scirpaceus;Acrocephalus scirpaceus;Acrocephalidae;Passeriformes;24.3;12.3;Wetland;3;3;Carnivore;Invertivore;Insessorial;15112845.4;Acrocephalus scirpaceus;Sylviidae;Passeriformes;25.8;12.3;Wetland;3;3;Carnivore;Invertivore;Insessorial;NA
