"","sp_atlas","Accepted_SPNAME","HWI","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Range.Size","BL_name","BT_name","FP","Shapefile_name","sd_PC1","sd_PC2"
"1","Acanthis flammea","Acanthis flammea","33.1","13","Forest","1","2","Herbivore","Granivore","Generalist","19794267.79","Acanthis flammea","Carduelis flammea",4.38034278736351,"Acanthis flammea",1.22695070996922,0.976392035741027
"2","Accipiter brevipes","Accipiter brevipes","40.2","186.48","Forest","1","3","Carnivore","Vertivore","Generalist","2936751.8","Accipiter brevipes","Accipiter brevipes",5.5951686010938,"Accipiter brevipes",0.658143533907848,1.00809333834688
"3","Accipiter cooperii","Accipiter cooperii","32.3","429.67","Woodland","2","3","Carnivore","Vertivore","Aerial","8393137.06","Accipiter cooperii","Accipiter cooperii",7.89910796384423,"Accipiter cooperii",0.948627882326785,1.00837975977643
"4","Accipiter gentilis","Accipiter gentilis","36.3","866.04","Forest","1","2","Carnivore","Vertivore","Generalist","31775270.74","Accipiter gentilis","Accipiter gentilis",6.9942015090109,"Accipiter gentilis",1.32252767048894,1.07748624224518
"5","Accipiter gularis","Accipiter gularis","33.2","120.66","Forest","1","3","Carnivore","Vertivore","Insessorial","4785704.92","Accipiter gularis","Accipiter gularis",5.72337861619258,"Accipiter gularis",1.31147694868811,1.32146941994763
"6","Accipiter nisus","Accipiter nisus","35.5","220.79","Forest","1","2","Carnivore","Vertivore","Insessorial","23601609.31","Accipiter nisus","Accipiter nisus",4.52655668557634,"Accipiter nisus",1.35690679904931,1.1259476765478
"7","Accipiter striatus","Accipiter striatus","30.7","130.59","Forest","1","3","Carnivore","Vertivore","Aerial","16375303.87","Accipiter striatus","Accipiter striatus",4.59564190899301,"Accipiter striatus",1.94300419786848,1.10291601851704
"8","Acridotheres cristatellus","Acridotheres cristatellus","24.1","116.31","Grassland","3","2","Omnivore","Omnivore","Generalist","3073262.93","Acridotheres cristatellus","Acridotheres cristatellus",1.51704517274414,"Acridotheres cristatellus",1.18518948641392,0.799887562925432
"9","Acrocephalus agricola","Acrocephalus agricola","18.4","9.6","Wetland","3","3","Carnivore","Invertivore","Insessorial","6560153.7","Acrocephalus agricola","Acrocephalus agricola",5.58700886589893,"Acrocephalus agricola",0.572088401147439,0.914210977210318
"10","Acrocephalus arundinaceus","Acrocephalus arundinaceus","28.6","30","Wetland","3","3","Carnivore","Invertivore","Insessorial","14642510.44","Acrocephalus arundinaceus","Acrocephalus arundinaceus",2.92887621461905,"Acrocephalus arundinaceus",0.909072958486164,0.955852841800912
"11","Acrocephalus bistrigiceps","Acrocephalus bistrigiceps","21.9","8.67","Wetland","3","3","Carnivore","Invertivore","Insessorial","4170337.09","Acrocephalus bistrigiceps","Acrocephalus bistrigiceps",7.59911726019337,"Acrocephalus bistrigiceps",1.26287498009218,1.3498283720601
