"","sp_atlas","Accepted_SPNAME","HWI","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Range.Size"
"1","Acanthis flammea","Acanthis flammea","33.1","13","Forest","1","2","Herbivore","Granivore","Generalist","19794267.79"
"2","Accipiter brevipes","Accipiter brevipes","40.2","186.48","Forest","1","3","Carnivore","Vertivore","Generalist","2936751.8"
"3","Accipiter cooperii","Accipiter cooperii","32.3","429.67","Woodland","2","3","Carnivore","Vertivore","Aerial","8393137.06"
"4","Accipiter gentilis","Accipiter gentilis","36.3","866.04","Forest","1","2","Carnivore","Vertivore","Generalist","31775270.74"
"5","Accipiter gularis","Accipiter gularis","33.2","120.66","Forest","1","3","Carnivore","Vertivore","Insessorial","4785704.92"
"6","Accipiter nisus","Accipiter nisus","35.5","220.79","Forest","1","2","Carnivore","Vertivore","Insessorial","23601609.31"
"7","Accipiter striatus","Accipiter striatus","30.7","130.59","Forest","1","3","Carnivore","Vertivore","Aerial","16375303.87"
"8","Acridotheres cristatellus","Acridotheres cristatellus","24.1","116.31","Grassland","3","2","Omnivore","Omnivore","Generalist","3073262.93"
"9","Acrocephalus agricola","Acrocephalus agricola","18.4","9.6","Wetland","3","3","Carnivore","Invertivore","Insessorial","6560153.7"
"10","Acrocephalus arundinaceus","Acrocephalus arundinaceus","28.6","30","Wetland","3","3","Carnivore","Invertivore","Insessorial","14642510.44"
"11","Acrocephalus bistrigiceps","Acrocephalus bistrigiceps","21.9","8.67","Wetland","3","3","Carnivore","Invertivore","Insessorial","4170337.09"
"12","Acrocephalus dumetorum","Acrocephalus dumetorum","20.4","11.2","Wetland","2","3","Carnivore","Invertivore","Insessorial","5747941.28"
"13","Acrocephalus melanopogon","Acrocephalus melanopogon","19.3","10.9","Wetland","3","3","Carnivore","Invertivore","Insessorial","2304218.81"
"14","Acrocephalus orientalis","Acrocephalus orientalis","20.9","23.5","Wetland","3","3","Carnivore","Invertivore","Insessorial","5305557.13"
"15","Acrocephalus paludicola","Acrocephalus paludicola","28.4","11.6","Wetland","3","3","Carnivore","Invertivore","Insessorial","182586.45"
"16","Acrocephalus palustris","Acrocephalus palustris","27.9","11.5","Shrubland","2","3","Carnivore","Invertivore","Insessorial","5996672.74"
"17","Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","28.2","11.83","Wetland","3","3","Carnivore","Invertivore","Insessorial","11967937.01"
"18","Acrocephalus scirpaceus","Acrocephalus scirpaceus","24.3","12.3","Wetland","3","3","Carnivore","Invertivore","Insessorial","15112845.4"
"19","Actitis hypoleucos","Actitis hypoleucos","48","48","Wetland","3","3","Carnivore","Aquatic predator","Terrestrial","25847437.41"
"20","Actitis macularius","Actitis macularius","47.5","40.4","Wetland","3","3","Carnivore","Aquatic predator","Terrestrial","13627000.39"
"21","Aegithalos caudatus","Aegithalos caudatus","22","8.6","Forest","2","1","Carnivore","Invertivore","Insessorial","20041677.81"
"22","Aegolius acadicus","Aegolius acadicus","29.8","100.69","Forest","2","3","Carnivore","Vertivore","Insessorial","5712891.95"
"23","Aegolius funereus","Aegolius funereus","31.5","137.18","Forest","1","2","Carnivore","Vertivore","Insessorial","23596074.83"
"24","Aegypius monachus","Aegypius monachus","41.1","9320.55","Forest","2","1","Scavenger","Scavenger","Terrestrial","7718571.19"
