"","Order","FamilyName","ScientificName","RL_Category","Synonyms"
"1","Struthioniformes","Rheidae","Rhea americana","NT",NA
"2","Struthioniformes","Rheidae","Rhea pennata","LC",NA
"3","Struthioniformes","Casuariidae","Casuarius casuarius","LC",NA
"4","Struthioniformes","Casuariidae","Casuarius bennetti","LC",NA
"5","Struthioniformes","Casuariidae","Casuarius unappendiculatus","LC",NA
"6","Struthioniformes","Casuariidae","Dromaius novaehollandiae","LC",NA
"7","Struthioniformes","Apterygidae","Apteryx australis","VU",NA
"8","Struthioniformes","Apterygidae","Apteryx owenii","NT",NA
"9","Struthioniformes","Apterygidae","Apteryx haastii","VU",NA
"10","Struthioniformes","Tinamidae","Tinamus tao","VU",NA
"11","Struthioniformes","Tinamidae","Tinamus solitarius","NT",NA
"12","Struthioniformes","Tinamidae","Tinamus osgoodi","VU",NA
"13","Struthioniformes","Tinamidae","Tinamus major","LC",NA
"14","Struthioniformes","Tinamidae","Tinamus guttatus","NT",NA
"15","Struthioniformes","Tinamidae","Nothocercus bonapartei","LC",NA
"16","Struthioniformes","Tinamidae","Nothocercus julius","LC",NA
"17","Struthioniformes","Tinamidae","Nothocercus nigrocapillus","LC",NA
"18","Struthioniformes","Tinamidae","Crypturellus berlepschi","LC",NA
"19","Struthioniformes","Tinamidae","Crypturellus cinereus","LC",NA
"20","Struthioniformes","Tinamidae","Crypturellus soui","LC",NA
"21","Struthioniformes","Tinamidae","Crypturellus ptaritepui","LC",NA
"22","Struthioniformes","Tinamidae","Crypturellus obsoletus","LC",NA
"23","Struthioniformes","Tinamidae","Crypturellus cinnamomeus","LC",NA
"24","Struthioniformes","Tinamidae","Crypturellus undulatus","LC",NA
"25","Struthioniformes","Tinamidae","Crypturellus transfasciatus","NT",NA
"26","Struthioniformes","Tinamidae","Crypturellus strigulosus","LC",NA
"27","Struthioniformes","Tinamidae","Crypturellus boucardi","VU",NA
"28","Struthioniformes","Tinamidae","Crypturellus kerriae","VU",NA
"29","Struthioniformes","Tinamidae","Crypturellus duidae","LC",NA
"30","Struthioniformes","Tinamidae","Crypturellus noctivagus","NT",NA
"31","Struthioniformes","Tinamidae","Crypturellus atrocapillus","LC",NA
"32","Struthioniformes","Tinamidae","Crypturellus variegatus","LC",NA
"33","Struthioniformes","Tinamidae","Crypturellus brevirostris","LC",NA
"34","Struthioniformes","Tinamidae","Crypturellus bartletti","LC",NA
"35","Struthioniformes","Tinamidae","Crypturellus parvirostris","LC",NA
"36","Struthioniformes","Tinamidae","Crypturellus casiquiare","LC",NA
"37","Struthioniformes","Tinamidae","Crypturellus tataupa","LC",NA
"38","Struthioniformes","Tinamidae","Nothoprocta taczanowskii","VU",NA
"39","Struthioniformes","Tinamidae","Nothoprocta ornata","LC",NA
"40","Struthioniformes","Tinamidae","Nothoprocta pentlandii","LC",NA
"41","Struthioniformes","Tinamidae","Nothoprocta cinerascens","LC",NA
"42","Struthioniformes","Tinamidae","Nothoprocta perdicaria","LC",NA
"43","Struthioniformes","Tinamidae","Nothoprocta curvirostris","LC",NA
"44","Struthioniformes","Tinamidae","Nothura darwinii","LC",NA
"45","Struthioniformes","Tinamidae","Nothura minor","VU",NA
"46","Struthioniformes","Tinamidae","Nothura boraquira","LC",NA
"47","Struthioniformes","Tinamidae","Taoniscus nanus","EN",NA
"48","Struthioniformes","Tinamidae","Eudromia elegans","LC",NA
"49","Struthioniformes","Tinamidae","Eudromia formosa","LC",NA
"50","Struthioniformes","Tinamidae","Tinamotis pentlandii","LC",NA
"51","Struthioniformes","Tinamidae","Tinamotis ingoufi","LC",NA
"52","Galliformes","Cracidae","Ortalis vetula","LC",NA
"53","Galliformes","Cracidae","Ortalis cinereiceps","LC",NA
"54","Galliformes","Cracidae","Ortalis garrula","LC",NA
"55","Galliformes","Cracidae","Ortalis ruficauda","LC",NA
"56","Galliformes","Cracidae","Ortalis erythroptera","VU",NA
"57","Galliformes","Cracidae","Ortalis wagleri","LC",NA
"58","Galliformes","Cracidae","Ortalis poliocephala","LC",NA
"59","Galliformes","Cracidae","Ortalis canicollis","LC",NA
"60","Galliformes","Cracidae","Ortalis leucogastra","LC",NA
"61","Galliformes","Cracidae","Ortalis motmot","LC",NA
