"","name_in_data","original_verbatim_name","wordCount","submitted_name","Birds.of.the.World","sp_eBird","American.Ornithological.Society","GBIF","sp_BirdLife","sp_BirdTree","eBird.species.group","X","Order.x","FamilyName","RL_Category","Synonyms","TipLabel","English","Taxonomy","Clade","BLFamilyLatin","BLFamilyEnglish","FamSequID","Order.y","OscSubOsc"
"1","Accipiter brevipes","Accipiter brevipes",2,"Accipiter brevipes","Accipiter brevipes",NA,"Accipiter brevipes","Accipiter brevipes","Accipiter brevipes",NA,NA,2990,"Accipitriformes","Accipitridae","LC",NA,"Accipiter_brevipes","Levant Sparrowhawk","BL3","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles",36,"ACCIPITRIFORMES","NONPASSERIFORMES"
"2","Accipiter cooperii","Accipiter cooperii",2,"Accipiter cooperii","Accipiter cooperii","Accipiter cooperii","Accipiter cooperii","Accipiter cooperii","Accipiter cooperii","Accipiter cooperii","Accipiter cooperii",3017,"Accipitriformes","Accipitridae","LC",NA,"Accipiter_cooperii","Cooper's Hawk","BL3","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles",36,"ACCIPITRIFORMES","NONPASSERIFORMES"
"3","Accipiter gentilis","Accipiter gentilis",2,"Accipiter gentilis","Accipiter gentilis","Accipiter gentilis","Accipiter gentilis","Accipiter gentilis","Accipiter gentilis","Accipiter gentilis","Accipiter gentilis",3022,"Accipitriformes","Accipitridae","LC",NA,"Accipiter_gentilis","Northern Goshawk","BL3","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles",36,"ACCIPITRIFORMES","NONPASSERIFORMES"
"4","Accipiter gularis","Accipiter gularis",2,"Accipiter gularis","Accipiter gularis","Accipiter gularis",NA,"Accipiter gularis","Accipiter gularis","Accipiter gularis","Accipiter gularis",3007,"Accipitriformes","Accipitridae","LC",NA,"Accipiter_gularis","Japanese Sparrowhawk","BL3","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles",36,"ACCIPITRIFORMES","NONPASSERIFORMES"
"5","Accipiter nisus","Accipiter nisus",2,"Accipiter nisus","Accipiter nisus","Accipiter nisus",NA,"Accipiter nisus","Accipiter nisus","Accipiter nisus","Accipiter nisus",3015,"Accipitriformes","Accipitridae","LC",NA,"Accipiter_nisus","Eurasian Sparrowhawk","BL3","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles",36,"ACCIPITRIFORMES","NONPASSERIFORMES"
"6","Accipiter striatus","Accipiter striatus",2,"Accipiter striatus","Accipiter striatus","Accipiter striatus","Accipiter striatus","Accipiter striatus","Accipiter striatus","Accipiter ventralis","Accipiter striatus",9318,"Accipitriformes","Accipitridae","LC",NA,"Accipiter_striatus","Sharp-shinned Hawk","BL3","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles",36,"ACCIPITRIFORMES","NONPASSERIFORMES"
"7","Acrocephalus agricola","Acrocephalus agricola",2,"Acrocephalus agricola","Acrocephalus agricola",NA,"Acrocephalus agricola","Acrocephalus agricola","Acrocephalus agricola",NA,NA,6580,"Passeriformes","Acrocephalidae","LC",NA,"Acrocephalus_agricola","Paddyfield Warbler","BL3","S11","Sylviidae","Old World warblers",161,"PASSERIFORMES","Passeri"
"8","Acrocephalus arundinaceus","Acrocephalus arundinaceus",2,"Acrocephalus arundinaceus","Acrocephalus arundinaceus","Acrocephalus arundinaceus",NA,"Acrocephalus arundinaceus","Acrocephalus arundinaceus","Acrocephalus arundinaceus","Acrocephalus arundinaceus",11005,"Passeriformes","Acrocephalidae","LC",NA,"Acrocephalus_arundinaceus","Great Reed-warbler","BL3","S11","Sylviidae","Old World warblers",161,"PASSERIFORMES","Passeri"
"9","Acrocephalus bistrigiceps","Acrocephalus bistrigiceps",2,"Acrocephalus bistrigiceps","Acrocephalus bistrigiceps","Acrocephalus bistrigiceps",NA,"Acrocephalus bistrigiceps","Acrocephalus bistrigiceps","Acrocephalus bistrigiceps","Acrocephalus bistrigiceps",6579,"Passeriformes","Acrocephalidae","LC",NA,"Acrocephalus_bistrigiceps","Black-browed Reed-warbler","BL3","S11","Sylviidae","Old World warblers",161,"PASSERIFORMES","Passeri"
"10","Acrocephalus dumetorum","Acrocephalus dumetorum",2,"Acrocephalus dumetorum","Acrocephalus dumetorum","Acrocephalus dumetorum","Acrocephalus dumetorum","Acrocephalus dumetorum","Acrocephalus dumetorum","Acrocephalus dumetorum","Acrocephalus dumetorum",6583,"Passeriformes","Acrocephalidae","LC",NA,"Acrocephalus_dumetorum","Blyth's Reed-warbler","BL3","S11","Sylviidae","Old World warblers",161,"PASSERIFORMES","Passeri"
"11","Acrocephalus melanopogon","Acrocephalus melanopogon",2,"Acrocephalus melanopogon","Acrocephalus melanopogon","Acrocephalus melanopogon",NA,"Acrocephalus melanopogon","Acrocephalus melanopogon","Acrocephalus melanopogon","Acrocephalus melanopogon",6575,"Passeriformes","Acrocephalidae","LC",NA,"Acrocephalus_melanopogon","Moustached Warbler","BL3","S11","Sylviidae","Old World warblers",161,"PASSERIFORMES","Passeri"
"12","Acrocephalus paludicola","Acrocephalus paludicola",2,"Acrocephalus paludicola","Acrocephalus paludicola","Acrocephalus paludicola",NA,"Acrocephalus paludicola","Acrocephalus paludicola","Acrocephalus paludicola","Acrocephalus paludicola",6576,"Passeriformes","Acrocephalidae","VU",NA,"Acrocephalus_paludicola","Aquatic Warbler","BL3","S11","Sylviidae","Old World warblers",161,"PASSERIFORMES","Passeri"
"13","Acrocephalus palustris","Acrocephalus palustris",2,"Acrocephalus palustris","Acrocephalus palustris","Acrocephalus palustris",NA,"Acrocephalus palustris","Acrocephalus palustris","Acrocephalus palustris","Acrocephalus palustris",6584,"Passeriformes","Acrocephalidae","LC",NA,"Acrocephalus_palustris","Marsh Warbler","BL3","S11","Sylviidae","Old World warblers",161,"PASSERIFORMES","Passeri"
"14","Acrocephalus schoenobaenus","Acrocephalus schoenobaenus",2,"Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","Acrocephalus schoenobaenus",6577,"Passeriformes","Acrocephalidae","LC",NA,"Acrocephalus_schoenobaenus","Sedge Warbler","BL3","S11","Sylviidae","Old World warblers",161,"PASSERIFORMES","Passeri"
"15","Acrocephalus scirpaceus","Acrocephalus scirpaceus",2,"Acrocephalus scirpaceus","Acrocephalus scirpaceus","Acrocephalus scirpaceus",NA,"Acrocephalus scirpaceus","Acrocephalus scirpaceus","Acrocephalus scirpaceus","Acrocephalus scirpaceus",6582,"Passeriformes","Acrocephalidae","LC",NA,"Acrocephalus_scirpaceus","Eurasian Reed-warbler","BL3","S11","Sylviidae","Old World warblers",161,"PASSERIFORMES","Passeri"
"16","Actitis hypoleucos","Actitis hypoleucos",2,"Actitis hypoleucos","Actitis hypoleucos","Actitis hypoleucos","Actitis hypoleucos","Actitis hypoleucos","Actitis hypoleucos","Actitis hypoleucos","Actitis hypoleucos",2630,"Charadriiformes","Scolopacidae","LC","Tringa hypoleucos","Actitis_hypoleucos","Common Sandpiper","BL3","Scolopaci","Scolopacidae","Sandpipers and allies",59,"CHARADRIIFORMES","NONPASSERIFORMES"
"17","Actitis macularius","Actitis macularius",2,"Actitis macularius","Actitis macularius","Actitis macularius","Actitis macularius","Actitis macularius","Actitis macularius","Actitis macularius","Actitis macularius",2631,"Charadriiformes","Scolopacidae","LC","Tringa macularia; Actitis macularia","Actitis_macularius","Spotted Sandpiper","BL3","Scolopaci","Scolopacidae","Sandpipers and allies",59,"CHARADRIIFORMES","NONPASSERIFORMES"
"18","Aegithalos caudatus","Aegithalos caudatus",2,"Aegithalos caudatus","Aegithalos caudatus","Aegithalos caudatus",NA,"Aegithalos caudatus","Aegithalos caudatus","Aegithalos caudatus","Aegithalos caudatus",10839,"Passeriformes","Aegithalidae","LC",NA,"Aegithalos_caudatus","Long-tailed Tit","BL3","S7S8","Aegithalidae","Long-tailed Tits",157,"PASSERIFORMES","Passeri"
"19","Aegolius acadicus","Aegolius acadicus",2,"Aegolius acadicus","Aegolius acadicus","Aegolius acadicus","Aegolius acadicus","Aegolius acadicus","Aegolius acadicus","Aegolius acadicus","Aegolius acadicus",1976,"Strigiformes","Strigidae","LC",NA,"Aegolius_acadicus","Northern Saw-whet Owl","BL3","Strigidae","Strigidae","Owls",71,"STRIGIFORMES","NONPASSERIFORMES"
"20","Aegolius funereus","Aegolius funereus",2,"Aegolius funereus","Aegolius funereus","Aegolius funereus","Aegolius funereus","Aegolius funereus","Aegolius funereus","Aegolius funereus","Aegolius funereus",1975,"Strigiformes","Strigidae","LC",NA,"Aegolius_funereus","Boreal Owl","BL3","Strigidae","Strigidae","Owls",71,"STRIGIFORMES","NONPASSERIFORMES"
"21","Aegypius monachus","Aegypius monachus",2,"Aegypius monachus","Aegypius monachus",NA,"Aegypius monachus","Aegypius monachus","Aegypius monachus",NA,NA,2951,"Accipitriformes","Accipitridae","NT",NA,"Aegypius_monachus","Cinereous Vulture","BL3","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles",36,"ACCIPITRIFORMES","NONPASSERIFORMES"
"22","Agelaius phoeniceus","Agelaius phoeniceus",2,"Agelaius phoeniceus","Agelaius phoeniceus","Agelaius phoeniceus","Agelaius phoeniceus","Agelaius phoeniceus","Agelaius phoeniceus","Agelaius phoeniceus","Agelaius phoeniceus",8355,"Passeriformes","Icteridae","LC",NA,"Agelaius_phoeniceus","Red-winged Blackbird","BL3","P21","Icteridae","New World blackbirds",190,"PASSERIFORMES","Passeri"
"23","Aix galericulata","Aix galericulata",2,"Aix galericulata","Aix galericulata","Aix galericulata",NA,"Aix galericulata","Aix galericulata","Aix galericulata","Aix galericulata",377,"Anseriformes","Anatidae","LC",NA,"Aix_galericulata","Mandarin Duck","BL3","Anatinae","Anatidae","Ducks, geese and swans",14,"ANSERIFORMES","NONPASSERIFORMES"
"24","Aix sponsa","Aix sponsa",2,"Aix sponsa","Aix sponsa","Aix sponsa","Aix sponsa","Aix sponsa","Aix sponsa","Aix sponsa","Aix sponsa",376,"Anseriformes","Anatidae","LC",NA,"Aix_sponsa","Wood Duck","BL3","Anatinae","Anatidae","Ducks, geese and swans",14,"ANSERIFORMES","NONPASSERIFORMES"
"25","Alauda arvensis","Alauda arvensis",2,"Alauda arvensis","Alauda arvensis","Alauda arvensis","Alauda arvensis","Alauda arvensis","Alauda arvensis","Alauda arvensis","Alauda arvensis",9875,"Passeriformes","Alaudidae","LC","Alauda japonica","Alauda_arvensis","Eurasian Skylark","BL3","S3","Alaudidae","Larks",158,"PASSERIFORMES","Passeri"
"26","Alca torda","Alca torda",2,"Alca torda","Alca torda","Alca torda","Alca torda","Alca torda","Alca torda","Alca torda","Alca torda",2881,"Charadriiformes","Alcidae","LC",NA,"Alca_torda","Razorbill","BL3","Lari","Alcidae","Auks",63,"CHARADRIIFORMES","NONPASSERIFORMES"
"27","Alcedo atthis","Alcedo atthis",2,"Alcedo atthis","Alcedo atthis","Alcedo atthis",NA,"Alcedo atthis","Alcedo atthis","Alcedo atthis","Alcedo atthis",927,"Coraciiformes","Alcedinidae","LC",NA,"Alcedo_atthis","Common Kingfisher","BL3","Alcedinidae","Alcedinidae","Kingfishers",85,"CORACIIFORMES","NONPASSERIFORMES"
"28","Alectoris barbara","Alectoris barbara",2,"Alectoris barbara","Alectoris barbara",NA,"Alectoris barbara","Alectoris barbara","Alectoris barbara",NA,NA,130,"Galliformes","Phasianidae","LC",NA,"Alectoris_barbara","Barbary Partridge","BL3","Phasianidae","Phasianidae","Grouse, pheasants and partridges",11,"GALLIFORMES","NONPASSERIFORMES"
