verbatim_name;sp_names_atlas_adapted_keep;sp_BirdTree;sp_BirdLife;sp_eBird;sp_group_eBird;sp_BOTW;BirdTree_tip.labels
Acanthis flammea;Acanthis flammea;Carduelis hornemanni;NA;NA;Acanthis hornemanni/flammea/cabaret;Acanthis flammea;Carduelis flammea
Acanthis flammea;Acanthis flammea;Carduelis flammea;NA;Acanthis flammea;Acanthis hornemanni/flammea/cabaret;Acanthis flammea;Carduelis hornemanni
Acanthis flammea;Acanthis flammea;Carduelis hornemanni;NA;Acanthis hornemanni;Acanthis hornemanni/flammea/cabaret;Acanthis flammea;Carduelis flammea
Acanthis flammea;Acanthis flammea;Carduelis flammea;NA;Acanthis cabaret;Acanthis hornemanni/flammea/cabaret;Acanthis flammea;Carduelis flammea
Acanthis flammea;Acanthis flammea;Carduelis flammea;NA;NA;Acanthis hornemanni/flammea/cabaret;Acanthis flammea;Accipiter brevipes
Accipiter brevipes;Accipiter brevipes;Accipiter brevipes;Accipiter brevipes;Accipiter brevipes;Accipiter brevipes;Accipiter brevipes;Accipiter cooperii
Accipiter cooperii;Accipiter cooperii;Accipiter cooperii;Accipiter cooperii;Accipiter cooperii;Accipiter cooperii;Accipiter cooperii;Accipiter gentilis
Accipiter gentilis;Accipiter gentilis;Accipiter gentilis;Accipiter gentilis;Accipiter gentilis;Accipiter gentilis;Accipiter gentilis;Accipiter gularis
Accipiter gularis;Accipiter gularis;Accipiter gularis;Accipiter gularis;Accipiter gularis;Accipiter gularis;Accipiter gularis;Accipiter nisus
Accipiter nisus;Accipiter nisus;Accipiter nisus;Accipiter nisus;Accipiter nisus;Accipiter nisus;Accipiter nisus;Accipiter chionogaster
Accipiter striatus;Accipiter striatus;Accipiter chionogaster;Accipiter striatus;Accipiter striatus;Accipiter striatus;Accipiter striatus;Accipiter erythronemius
Accipiter striatus;Accipiter striatus;Accipiter erythronemius;Accipiter striatus;Accipiter striatus;Accipiter striatus;Accipiter striatus;Accipiter striatus
