"","tp","AOO","occupancy_area","occupancy_Ncells","relative_occupancy_area","relative_occupancy_Ncells","occupancy_area_scaled","occupancy_Ncells_scaled","relative_occupancy_area_scaled","relative_occupancy_Ncells_scaled","AOO_scaled"
"1",1,0.086,0.086,-1.636,0.069,0.025,0.042,0.066,0.036,0.038,0.042
"2",1,0.058,0.058,-1.663,0.041,-0.003,0.027,0.051,0.021,0.023,0.027
"3",1,0.366,0.366,-1.364,0.356,0.306,0.192,0.222,0.187,0.193,0.192
"4",1,1.782,1.782,0,1.897,1.773,0.951,1,1,1,0.951
"5",1,1.803,1.803,0,1.803,1.64,0.962,1,0.95,0.927,0.962
"6",1,1.573,1.573,-0.253,1.569,1.402,0.839,0.856,0.827,0.796,0.839
"7",1,0.065,0.065,-1.658,0.047,0.003,0.031,0.054,0.024,0.026,0.031
"8",1,0.297,0.297,-1.437,0.29,0.234,0.155,0.18,0.152,0.153,0.155
"9",1,0.163,0.163,-1.568,0.148,0.101,0.083,0.105,0.077,0.08,0.083
"10",1,0.421,0.421,-1.312,0.411,0.358,0.221,0.251,0.216,0.221,0.221
"11",1,0.058,0.058,-1.666,0.041,-0.005,0.027,0.049,0.021,0.022,0.027
"12",1,0.441,0.441,-1.289,0.433,0.382,0.232,0.264,0.228,0.235,0.232
"13",1,1.214,1.214,-0.565,1.217,1.08,0.646,0.678,0.641,0.619,0.646
"14",1,1.583,1.583,-0.21,1.571,1.446,0.844,0.88,0.828,0.82,0.844
"15",1,0.031,0.031,-1.738,0.007,-0.015,0.012,0.008,0.003,0.016,0.012
"16",1,0.15,0.15,-1.579,0.134,0.09,0.076,0.099,0.07,0.074,0.076
"17",1,0.705,0.705,-1.05,0.705,0.592,0.373,0.401,0.371,0.35,0.373
"18",1,1.535,1.535,-0.21,1.535,1.449,0.819,0.88,0.809,0.822,0.819
"19",1,0.629,0.629,-1.113,0.627,0.552,0.333,0.365,0.33,0.328,0.333
"20",1,0.479,0.479,-1.289,0.472,0.382,0.252,0.265,0.248,0.235,0.252
"21",1,1.518,1.518,-0.267,1.531,1.403,0.809,0.848,0.807,0.796,0.809
"22",1,0.049,0.049,-1.72,0.025,0.003,0.022,0.019,0.013,0.026,0.022
"23",1,0.538,0.538,-1.188,0.531,0.483,0.284,0.322,0.279,0.291,0.284
"24",1,0.385,0.385,-1.35,0.378,0.321,0.202,0.23,0.199,0.201,0.202
"25",1,0.684,0.684,-1.054,0.684,0.608,0.362,0.399,0.36,0.359,0.362
