"","verbatim_name","tp","cell_grouping","Total_area","Total_Ncells","occupancy_area","occupancy_Ncells","AOO","relative_occupancy_area","relative_occupancy_Ncells","scale"
"1","Turdus philomelos",3,"cell1grid",89629.3065805866,671,88691.7173940051,664,88691.7173940051,0.99,0.99,0.03125
"2","Phylloscopus trochilus",3,"cell1grid",89629.3065805866,671,86546.91534592,648,86546.91534592,0.966,0.966,0.03125
"3","Dendrocopos major",3,"cell1grid",89629.3065805866,671,88290.3558259884,661,88290.3558259884,0.985,0.985,0.03125
"4","Carduelis carduelis",3,"cell1grid",89629.3065805866,671,86288.9894973158,646,86288.9894973158,0.963,0.963,0.03125
"5","Streptopelia turtur",3,"cell1grid",89629.3065805866,671,78409.8829358403,587,78409.8829358403,0.875,0.875,0.03125
"6","Pyrrhula pyrrhula",3,"cell1grid",89629.3065805866,671,70999.409551971,532,70999.409551971,0.792,0.793,0.03125
"7","Passer domesticus",3,"cell1grid",89629.3065805866,671,84279.4893271219,631,84279.4893271219,0.94,0.94,0.03125
"8","Pernis apivorus",3,"cell1grid",89629.3065805866,671,52507.5845387196,393,52507.5845387196,0.586,0.586,0.03125
"9","Anthus trivialis",3,"cell1grid",89629.3065805866,671,82674.4816085458,619,82674.4816085457,0.922,0.923,0.03125
"10","Sylvia atricapilla",3,"cell1grid",89629.3065805866,671,88695.5083225978,664,88695.5083225978,0.99,0.99,0.03125
"11","Haliaeetus albicilla",3,"cell1grid",89629.3065805866,671,30795.0311340087,230,30795.0311340087,0.344,0.343,0.03125
"12","Emberiza citrinella",3,"cell1grid",89629.3065805866,671,87887.7066997828,658,87887.7066997828,0.981,0.981,0.03125
"13","Parus caeruleus",3,"cell1grid",89629.3065805866,671,87222.0492774032,653,87222.0492774033,0.973,0.973,0.03125
"14","Regulus regulus",3,"cell1grid",89629.3065805866,671,80660.4251346698,604,80660.4251346698,0.9,0.9,0.03125
"15","Sturnus vulgaris",3,"cell1grid",89629.3065805866,671,87348.6575006148,654,87348.6575006148,0.975,0.975,0.03125
"16","Coturnix coturnix",3,"cell1grid",89629.3065805866,671,71753.9875401457,537,71753.9875401458,0.801,0.8,0.03125
